NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
BOS,2011-12-25,12:00p,New York Knicks,L,104,106
BOS,2011-12-27,8:00p,Miami Heat,L,107,115
BOS,2011-12-28,8:00p,New Orleans Hornets,L,78,97
BOS,2011-12-30,7:30p,Detroit Pistons,W,96,85
BOS,2012-01-01,6:00p,Washington Wizards,W,94,86
BOS,2012-01-02,7:30p,Washington Wizards,W,100,92
BOS,2012-01-04,7:30p,New Jersey Nets,W,89,70
BOS,2012-01-06,7:30p,Indiana Pacers,L,74,87
BOS,2012-01-11,8:00p,Dallas Mavericks,L,85,90
BOS,2012-01-13,8:00p,Chicago Bulls,L,79,88
BOS,2012-01-14,7:00p,Indiana Pacers,L,83,97
BOS,2012-01-16,8:00p,Oklahoma City Thunder,L,88,97
BOS,2012-01-18,7:30p,Toronto Raptors,W,96,73
BOS,2012-01-20,7:30p,Phoenix Suns,L,71,79
BOS,2012-01-22,1:00p,Washington Wizards,W,100,94
BOS,2012-01-23,7:30p,Orlando Magic,W,87,56
BOS,2012-01-26,8:00p,Orlando Magic,W,91,83
BOS,2012-01-27,7:30p,Indiana Pacers,W,94,87
BOS,2012-01-29,6:00p,Cleveland Cavaliers,L,87,88
BOS,2012-01-31,7:00p,Cleveland Cavaliers,W,93,90
BOS,2012-02-01,7:30p,Toronto Raptors,W,100,64
BOS,2012-02-03,8:00p,New York Knicks,W,91,89
BOS,2012-02-05,12:00p,Memphis Grizzlies,W,98,80
BOS,2012-02-07,7:30p,Charlotte Bobcats,W,94,84
BOS,2012-02-09,8:00p,Los Angeles Lakers,L,87,88
BOS,2012-02-10,7:00p,Toronto Raptors,L,74,86
BOS,2012-02-12,3:30p,Chicago Bulls,W,95,91
BOS,2012-02-15,7:30p,Detroit Pistons,L,88,98
BOS,2012-02-16,8:00p,Chicago Bulls,L,80,89
BOS,2012-02-19,6:00p,Detroit Pistons,L,81,96
BOS,2012-02-20,8:00p,Dallas Mavericks,L,73,89
BOS,2012-02-22,7:00p,Oklahoma City Thunder,L,104,119
BOS,2012-02-28,7:00p,Cleveland Cavaliers,W,86,83
BOS,2012-02-29,7:30p,Milwaukee Bucks,W,102,96
BOS,2012-03-02,7:30p,New Jersey Nets,W,107,94
BOS,2012-03-04,1:00p,New York Knicks,W,115,111
BOS,2012-03-06,7:30p,Houston Rockets,W,97,92
BOS,2012-03-07,7:00p,Philadelphia 76ers,L,71,103
BOS,2012-03-09,7:30p,Portland Trail Blazers,W,104,86
BOS,2012-03-11,3:30p,Los Angeles Lakers,L,94,97
BOS,2012-03-12,10:30p,Los Angeles Clippers,W,94,85
BOS,2012-03-14,10:30p,Golden State Warriors,W,105,103
BOS,2012-03-16,10:00p,Sacramento Kings,L,95,120
BOS,2012-03-17,9:00p,Denver Nuggets,L,91,98
BOS,2012-03-19,7:30p,Atlanta Hawks,W,79,76
BOS,2012-03-22,8:00p,Milwaukee Bucks,W,100,91
BOS,2012-03-23,8:00p,Philadelphia 76ers,L,86,99
BOS,2012-03-25,6:00p,Washington Wizards,W,88,76
BOS,2012-03-26,7:00p,Charlotte Bobcats,W,102,95
BOS,2012-03-28,7:30p,Utah Jazz,W,94,82
BOS,2012-03-30,8:00p,Minnesota Timberwolves,W,100,79
BOS,2012-04-01,3:30p,Miami Heat,W,91,72
BOS,2012-04-04,7:30p,San Antonio Spurs,L,86,87
BOS,2012-04-05,9:30p,Chicago Bulls,L,86,93
BOS,2012-04-07,7:00p,Indiana Pacers,W,86,72
BOS,2012-04-08,6:00p,Philadelphia 76ers,W,103,79
BOS,2012-04-10,7:00p,Miami Heat,W,115,107
BOS,2012-04-11,8:00p,Atlanta Hawks,W,88,86
BOS,2012-04-13,7:00p,Toronto Raptors,L,79,84
BOS,2012-04-14,7:30p,New Jersey Nets,W,94,82
BOS,2012-04-15,6:00p,Charlotte Bobcats,W,94,82
BOS,2012-04-17,8:00p,New York Knicks,L,110,118
BOS,2012-04-18,8:00p,Orlando Magic,W,102,98
BOS,2012-04-20,7:00p,Atlanta Hawks,L,92,97
BOS,2012-04-24,8:00p,Miami Heat,W,78,66
BOS,2012-04-26,8:00p,Milwaukee Bucks,W,87,74
BOS,2012-10-30,8:00p,Miami Heat,L,107,120
BOS,2012-11-02,7:30p,Milwaukee Bucks,L,88,99
BOS,2012-11-03,7:00p,Washington Wizards,W,89,86
BOS,2012-11-07,7:30p,Washington Wizards,W,100,94
BOS,2012-11-09,7:30p,Philadelphia 76ers,L,100,106
BOS,2012-11-10,8:30p,Milwaukee Bucks,W,96,92
BOS,2012-11-12,8:00p,Chicago Bulls,W,101,95
BOS,2012-11-14,7:30p,Utah Jazz,W,98,93
BOS,2012-11-15,8:00p,Brooklyn Nets,L,97,102
BOS,2012-11-17,12:30p,Toronto Raptors,W,107,89
BOS,2012-11-18,7:30p,Detroit Pistons,L,83,103
BOS,2012-11-21,7:30p,San Antonio Spurs,L,100,112
BOS,2012-11-23,7:30p,Oklahoma City Thunder,W,108,100
BOS,2012-11-25,6:00p,Orlando Magic,W,116,110
BOS,2012-11-28,7:30p,Brooklyn Nets,L,83,95
BOS,2012-11-30,7:30p,Portland Trail Blazers,W,96,78
BOS,2012-12-01,8:30p,Milwaukee Bucks,L,88,91
BOS,2012-12-05,7:30p,Minnesota Timberwolves,W,104,94
BOS,2012-12-07,7:00p,Philadelphia 76ers,L,94,95
BOS,2012-12-08,7:30p,Philadelphia 76ers,W,92,79
BOS,2012-12-12,8:00p,Dallas Mavericks,W,117,115
BOS,2012-12-14,8:00p,Houston Rockets,L,89,101
BOS,2012-12-15,8:30p,San Antonio Spurs,L,88,103
BOS,2012-12-18,8:00p,Chicago Bulls,L,89,100
BOS,2012-12-19,7:30p,Cleveland Cavaliers,W,103,91
BOS,2012-12-21,7:30p,Milwaukee Bucks,L,94,99
BOS,2012-12-25,12:00p,Brooklyn Nets,W,93,76
BOS,2012-12-27,10:30p,Los Angeles Clippers,L,77,106
BOS,2012-12-29,10:30p,Golden State Warriors,L,83,101
BOS,2012-12-30,9:00p,Sacramento Kings,L,96,118
BOS,2013-01-02,7:30p,Memphis Grizzlies,L,83,93
BOS,2013-01-04,8:00p,Indiana Pacers,W,94,75
BOS,2013-01-05,7:00p,Atlanta Hawks,W,89,81
BOS,2013-01-07,7:30p,New York Knicks,W,102,96
BOS,2013-01-09,7:30p,Phoenix Suns,W,87,79
BOS,2013-01-11,7:30p,Houston Rockets,W,103,91
BOS,2013-01-14,7:30p,Charlotte Bobcats,W,100,89
BOS,2013-01-16,8:00p,New Orleans Hornets,L,78,90
BOS,2013-01-18,7:00p,Chicago Bulls,L,99,100
BOS,2013-01-20,7:30p,Detroit Pistons,L,88,103
BOS,2013-01-22,7:00p,Cleveland Cavaliers,L,90,95
BOS,2013-01-24,8:00p,New York Knicks,L,86,89
BOS,2013-01-25,7:30p,Atlanta Hawks,L,111,123
BOS,2013-01-27,1:00p,Miami Heat,W,100,98
BOS,2013-01-30,7:30p,Sacramento Kings,W,99,81
BOS,2013-02-01,7:30p,Orlando Magic,W,97,84
BOS,2013-02-03,1:00p,Los Angeles Clippers,W,106,104
BOS,2013-02-06,7:00p,Toronto Raptors,W,99,95
BOS,2013-02-07,8:00p,Los Angeles Lakers,W,116,95
BOS,2013-02-10,6:00p,Denver Nuggets,W,118,114
BOS,2013-02-11,7:00p,Charlotte Bobcats,L,91,94
BOS,2013-02-13,7:30p,Chicago Bulls,W,71,69
BOS,2013-02-19,9:00p,Denver Nuggets,L,90,97
BOS,2013-02-20,10:30p,Los Angeles Lakers,L,99,113
BOS,2013-02-22,9:00p,Phoenix Suns,W,113,88
BOS,2013-02-24,9:00p,Portland Trail Blazers,L,86,92
BOS,2013-02-25,9:00p,Utah Jazz,W,110,107
BOS,2013-03-01,7:30p,Golden State Warriors,W,94,86
BOS,2013-03-05,7:00p,Philadelphia 76ers,W,109,101
BOS,2013-03-06,7:00p,Indiana Pacers,W,83,81
BOS,2013-03-08,8:00p,Atlanta Hawks,W,107,102
BOS,2013-03-10,1:00p,Oklahoma City Thunder,L,79,91
BOS,2013-03-12,7:00p,Charlotte Bobcats,L,74,100
BOS,2013-03-13,7:30p,Toronto Raptors,W,112,88
BOS,2013-03-16,7:30p,Charlotte Bobcats,W,105,88
BOS,2013-03-18,8:00p,Miami Heat,L,103,105
BOS,2013-03-20,8:00p,New Orleans Hornets,L,86,87
BOS,2013-03-22,8:30p,Dallas Mavericks,L,94,104
BOS,2013-03-23,8:00p,Memphis Grizzlies,L,106,110
BOS,2013-03-26,7:00p,New York Knicks,L,85,100
BOS,2013-03-27,7:00p,Cleveland Cavaliers,W,93,92
BOS,2013-03-29,7:30p,Atlanta Hawks,W,118,107
BOS,2013-03-31,7:30p,New York Knicks,L,89,108
BOS,2013-04-01,8:00p,Minnesota Timberwolves,L,100,110
BOS,2013-04-03,7:30p,Detroit Pistons,W,98,93
BOS,2013-04-05,7:30p,Cleveland Cavaliers,L,91,97
BOS,2013-04-07,6:00p,Washington Wizards,W,107,96
BOS,2013-04-10,8:00p,Brooklyn Nets,L,93,101
BOS,2013-04-12,7:30p,Miami Heat,L,101,109
BOS,2013-04-13,7:00p,Orlando Magic,W,120,88
BOS,2013-04-17,8:00p,Toronto Raptors,L,90,114
BOS,2013-10-30,7:00p,Toronto Raptors,L,87,93
BOS,2013-11-01,7:30p,Milwaukee Bucks,L,98,105
BOS,2013-11-03,6:00p,Detroit Pistons,L,77,87
BOS,2013-11-04,8:00p,Memphis Grizzlies,L,88,95
BOS,2013-11-06,7:30p,Utah Jazz,W,97,87
BOS,2013-11-08,7:00p,Orlando Magic,W,91,89
BOS,2013-11-09,7:30p,Miami Heat,W,111,110
BOS,2013-11-11,7:30p,Orlando Magic,W,120,105
BOS,2013-11-13,7:30p,Charlotte Bobcats,L,83,89
BOS,2013-11-15,7:30p,Portland Trail Blazers,L,96,109
BOS,2013-11-16,8:00p,Minnesota Timberwolves,L,88,106
BOS,2013-11-19,8:00p,Houston Rockets,L,85,109
BOS,2013-11-20,8:30p,San Antonio Spurs,L,93,104
BOS,2013-11-22,7:30p,Indiana Pacers,L,82,97
BOS,2013-11-23,7:30p,Atlanta Hawks,W,94,87
BOS,2013-11-25,7:00p,Charlotte Bobcats,W,96,86
BOS,2013-11-27,7:30p,Memphis Grizzlies,L,93,100
BOS,2013-11-29,7:30p,Cleveland Cavaliers,W,103,86
BOS,2013-11-30,9:00p,Milwaukee Bucks,L,85,92
BOS,2013-12-03,7:30p,Milwaukee Bucks,W,108,100
BOS,2013-12-06,7:30p,Denver Nuggets,W,106,98
BOS,2013-12-08,12:00p,New York Knicks,W,114,73
BOS,2013-12-10,7:30p,Brooklyn Nets,L,96,104
BOS,2013-12-11,7:30p,Los Angeles Clippers,L,88,96
BOS,2013-12-13,7:30p,New York Knicks,W,90,86
BOS,2013-12-16,7:30p,Minnesota Timberwolves,W,101,97
BOS,2013-12-18,7:30p,Detroit Pistons,L,106,107
BOS,2013-12-21,1:00p,Washington Wizards,L,99,106
BOS,2013-12-22,6:00p,Indiana Pacers,L,79,106
BOS,2013-12-28,1:00p,Cleveland Cavaliers,W,103,100
BOS,2013-12-31,1:00p,Atlanta Hawks,L,91,92
BOS,2014-01-02,8:00p,Chicago Bulls,L,82,94
BOS,2014-01-03,7:30p,New Orleans Pelicans,L,92,95
BOS,2014-01-05,7:00p,Oklahoma City Thunder,L,96,119
BOS,2014-01-07,9:00p,Denver Nuggets,L,98,129
BOS,2014-01-08,10:30p,Los Angeles Clippers,L,105,111
BOS,2014-01-10,10:30p,Golden State Warriors,L,97,99
BOS,2014-01-11,10:00p,Portland Trail Blazers,L,104,112
BOS,2014-01-13,7:30p,Houston Rockets,L,92,104
BOS,2014-01-15,7:30p,Toronto Raptors,W,88,83
