NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
BRK,2012-11-03,7:30p,Toronto Raptors,W,107,100
BRK,2012-11-05,7:30p,Minnesota Timberwolves,L,96,107
BRK,2012-11-07,7:30p,Miami Heat,L,73,103
BRK,2012-11-09,7:00p,Orlando Magic,W,107,68
BRK,2012-11-11,3:00p,Orlando Magic,W,82,74
BRK,2012-11-13,7:30p,Cleveland Cavaliers,W,114,101
BRK,2012-11-15,8:00p,Boston Celtics,W,102,97
BRK,2012-11-18,6:00p,Sacramento Kings,W,99,90
BRK,2012-11-20,10:30p,Los Angeles Lakers,L,90,95
BRK,2012-11-21,10:30p,Golden State Warriors,L,93,102
BRK,2012-11-23,7:30p,Los Angeles Clippers,W,86,76
BRK,2012-11-25,3:00p,Portland Trail Blazers,W,98,85
BRK,2012-11-26,7:00p,New York Knicks,W,96,89
BRK,2012-11-28,7:30p,Boston Celtics,W,95,83
BRK,2012-11-30,7:00p,Orlando Magic,W,98,86
BRK,2012-12-01,7:30p,Miami Heat,L,89,102
BRK,2012-12-04,7:30p,Oklahoma City Thunder,L,111,117
BRK,2012-12-07,7:30p,Golden State Warriors,L,102,109
BRK,2012-12-09,6:00p,Milwaukee Bucks,L,88,97
BRK,2012-12-11,7:00p,New York Knicks,L,97,100
BRK,2012-12-12,7:00p,Toronto Raptors,W,94,88
BRK,2012-12-14,7:30p,Detroit Pistons,W,107,105
BRK,2012-12-15,8:00p,Chicago Bulls,L,82,83
BRK,2012-12-18,7:30p,Utah Jazz,L,90,92
BRK,2012-12-19,7:00p,New York Knicks,L,86,100
BRK,2012-12-23,3:00p,Philadelphia 76ers,W,95,92
BRK,2012-12-25,12:00p,Boston Celtics,L,76,93
BRK,2012-12-26,8:00p,Milwaukee Bucks,L,93,108
BRK,2012-12-28,7:30p,Charlotte Bobcats,W,97,81
BRK,2012-12-29,7:30p,Cleveland Cavaliers,W,103,100
BRK,2012-12-31,7:00p,San Antonio Spurs,L,73,104
BRK,2013-01-02,8:00p,Oklahoma City Thunder,W,110,93
BRK,2013-01-04,7:00p,Washington Wizards,W,115,113
BRK,2013-01-05,7:30p,Sacramento Kings,W,113,93
BRK,2013-01-08,7:00p,Philadelphia 76ers,W,109,89
BRK,2013-01-11,7:30p,Phoenix Suns,W,99,79
BRK,2013-01-13,6:00p,Indiana Pacers,W,97,86
BRK,2013-01-15,7:30p,Toronto Raptors,W,113,106
BRK,2013-01-16,7:30p,Atlanta Hawks,L,95,109
BRK,2013-01-18,7:30p,Atlanta Hawks,W,94,89
BRK,2013-01-21,3:30p,New York Knicks,W,88,85
BRK,2013-01-23,8:00p,Minnesota Timberwolves,W,91,83
BRK,2013-01-25,8:00p,Memphis Grizzlies,L,77,101
BRK,2013-01-26,8:00p,Houston Rockets,L,106,119
BRK,2013-01-28,7:30p,Orlando Magic,W,97,77
BRK,2013-01-30,8:00p,Miami Heat,L,85,105
BRK,2013-02-01,7:30p,Chicago Bulls,W,93,89
BRK,2013-02-05,7:30p,Los Angeles Lakers,L,83,92
BRK,2013-02-06,7:30p,Detroit Pistons,W,93,90
BRK,2013-02-08,7:00p,Washington Wizards,L,74,89
BRK,2013-02-10,8:00p,San Antonio Spurs,L,86,111
BRK,2013-02-11,7:00p,Indiana Pacers,W,89,84
BRK,2013-02-13,7:30p,Denver Nuggets,W,119,108
BRK,2013-02-19,7:30p,Milwaukee Bucks,W,113,111
BRK,2013-02-20,8:00p,Milwaukee Bucks,W,97,94
BRK,2013-02-22,7:30p,Houston Rockets,L,96,106
BRK,2013-02-24,7:00p,Memphis Grizzlies,L,72,76
BRK,2013-02-26,8:00p,New Orleans Hornets,W,101,97
BRK,2013-03-01,8:00p,Dallas Mavericks,L,90,98
BRK,2013-03-02,8:00p,Chicago Bulls,L,85,96
BRK,2013-03-06,7:00p,Charlotte Bobcats,W,99,78
BRK,2013-03-08,7:30p,Washington Wizards,W,95,78
BRK,2013-03-09,7:00p,Atlanta Hawks,W,93,80
BRK,2013-03-11,7:00p,Philadelphia 76ers,L,97,106
BRK,2013-03-12,7:30p,New Orleans Hornets,W,108,98
BRK,2013-03-17,8:00p,Atlanta Hawks,L,93,105
BRK,2013-03-18,7:30p,Detroit Pistons,W,119,82
BRK,2013-03-20,8:00p,Dallas Mavericks,W,113,96
BRK,2013-03-23,10:30p,Los Angeles Clippers,L,95,101
BRK,2013-03-24,9:00p,Phoenix Suns,W,102,100
BRK,2013-03-27,10:30p,Portland Trail Blazers,W,111,93
BRK,2013-03-29,9:00p,Denver Nuggets,L,87,109
BRK,2013-03-30,9:00p,Utah Jazz,L,107,116
BRK,2013-04-03,7:00p,Cleveland Cavaliers,W,113,95
BRK,2013-04-04,7:00p,Chicago Bulls,L,90,92
BRK,2013-04-06,7:30p,Charlotte Bobcats,W,105,96
BRK,2013-04-09,7:30p,Philadelphia 76ers,W,104,83
BRK,2013-04-10,8:00p,Boston Celtics,W,101,93
BRK,2013-04-12,7:00p,Indiana Pacers,W,117,109
BRK,2013-04-14,3:30p,Toronto Raptors,L,87,93
BRK,2013-04-15,7:30p,Washington Wizards,W,106,101
BRK,2013-04-17,8:00p,Detroit Pistons,W,103,99
BRK,2013-10-30,7:00p,Cleveland Cavaliers,L,94,98
BRK,2013-11-01,8:00p,Miami Heat,W,101,100
BRK,2013-11-03,6:00p,Orlando Magic,L,86,107
BRK,2013-11-05,7:30p,Utah Jazz,W,104,88
BRK,2013-11-08,7:00p,Washington Wizards,L,108,112
BRK,2013-11-09,7:30p,Indiana Pacers,L,91,96
BRK,2013-11-13,10:00p,Sacramento Kings,L,86,107
BRK,2013-11-15,9:00p,Phoenix Suns,W,100,98
