NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
CHI,2011-12-25,5:00p,Los Angeles Lakers,W,88,87
CHI,2011-12-26,10:30p,Golden State Warriors,L,91,99
CHI,2011-12-29,10:00p,Sacramento Kings,W,108,98
CHI,2011-12-30,10:30p,Los Angeles Clippers,W,114,101
CHI,2012-01-01,8:00p,Memphis Grizzlies,W,104,64
CHI,2012-01-03,8:00p,Atlanta Hawks,W,76,74
CHI,2012-01-04,7:30p,Detroit Pistons,W,99,83
CHI,2012-01-06,8:00p,Orlando Magic,W,97,83
CHI,2012-01-07,7:00p,Atlanta Hawks,L,94,109
CHI,2012-01-09,8:00p,Detroit Pistons,W,92,68
CHI,2012-01-10,8:00p,Minnesota Timberwolves,W,111,100
CHI,2012-01-11,8:00p,Washington Wizards,W,78,64
CHI,2012-01-13,8:00p,Boston Celtics,W,88,79
CHI,2012-01-14,8:00p,Toronto Raptors,W,77,64
CHI,2012-01-16,1:00p,Memphis Grizzlies,L,86,102
CHI,2012-01-17,8:00p,Phoenix Suns,W,118,97
CHI,2012-01-20,7:30p,Cleveland Cavaliers,W,114,75
CHI,2012-01-21,8:00p,Charlotte Bobcats,W,95,89
CHI,2012-01-23,8:00p,New Jersey Nets,W,110,95
CHI,2012-01-25,8:00p,Indiana Pacers,L,90,95
CHI,2012-01-27,8:00p,Milwaukee Bucks,W,107,100
CHI,2012-01-29,3:30p,Miami Heat,L,93,97
CHI,2012-01-30,7:00p,Washington Wizards,W,98,88
CHI,2012-02-01,7:00p,Philadelphia 76ers,L,82,98
CHI,2012-02-02,8:00p,New York Knicks,W,105,102
CHI,2012-02-04,8:30p,Milwaukee Bucks,W,113,90
CHI,2012-02-06,7:30p,New Jersey Nets,W,108,87
CHI,2012-02-08,8:00p,New Orleans Hornets,W,90,67
CHI,2012-02-10,7:00p,Charlotte Bobcats,W,95,64
CHI,2012-02-12,3:30p,Boston Celtics,L,91,95
CHI,2012-02-14,8:00p,Sacramento Kings,W,121,115
CHI,2012-02-16,8:00p,Boston Celtics,W,89,80
CHI,2012-02-18,4:00p,New Jersey Nets,L,85,97
CHI,2012-02-20,4:00p,Atlanta Hawks,W,90,79
CHI,2012-02-22,8:00p,Milwaukee Bucks,W,110,91
CHI,2012-02-28,8:00p,New Orleans Hornets,W,99,95
CHI,2012-02-29,9:00p,San Antonio Spurs,W,96,89
CHI,2012-03-02,7:30p,Cleveland Cavaliers,W,112,91
CHI,2012-03-04,7:00p,Philadelphia 76ers,W,96,91
CHI,2012-03-05,8:00p,Indiana Pacers,W,92,72
CHI,2012-03-07,8:00p,Milwaukee Bucks,W,106,104
CHI,2012-03-08,8:00p,Orlando Magic,L,94,99
CHI,2012-03-10,8:00p,Utah Jazz,W,111,97
CHI,2012-03-12,8:00p,New York Knicks,W,104,99
CHI,2012-03-14,9:30p,Miami Heat,W,106,102
CHI,2012-03-16,8:00p,Portland Trail Blazers,L,89,100
CHI,2012-03-17,8:00p,Philadelphia 76ers,W,89,80
