NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
DAL,2011-12-25,2:30p,Miami Heat,L,94,105
DAL,2011-12-26,8:30p,Denver Nuggets,L,93,115
DAL,2011-12-29,8:00p,Oklahoma City Thunder,L,102,104
DAL,2011-12-30,8:30p,Toronto Raptors,W,99,86
DAL,2012-01-01,7:00p,Minnesota Timberwolves,L,82,99
DAL,2012-01-02,8:30p,Oklahoma City Thunder,W,100,87
DAL,2012-01-04,8:30p,Phoenix Suns,W,98,89
DAL,2012-01-05,8:30p,San Antonio Spurs,L,71,93
DAL,2012-01-07,9:00p,New Orleans Hornets,W,96,81
DAL,2012-01-10,7:30p,Detroit Pistons,W,100,86
DAL,2012-01-11,8:00p,Boston Celtics,W,90,85
DAL,2012-01-13,8:30p,Milwaukee Bucks,W,102,76
DAL,2012-01-14,9:00p,Sacramento Kings,W,99,60
DAL,2012-01-16,10:30p,Los Angeles Lakers,L,70,73
DAL,2012-01-18,10:30p,Los Angeles Clippers,L,89,91
DAL,2012-01-19,10:30p,Utah Jazz,W,94,91
DAL,2012-01-21,8:00p,New Orleans Hornets,W,83,81
DAL,2012-01-23,8:30p,Phoenix Suns,W,93,87
DAL,2012-01-25,8:30p,Minnesota Timberwolves,L,90,105
DAL,2012-01-27,8:30p,Utah Jazz,W,116,101
DAL,2012-01-29,6:30p,San Antonio Spurs,W,101,100
DAL,2012-01-30,9:00p,Phoenix Suns,W,122,99
DAL,2012-02-01,8:00p,Oklahoma City Thunder,L,86,95
DAL,2012-02-03,8:30p,Indiana Pacers,L,87,98
DAL,2012-02-04,7:30p,Cleveland Cavaliers,L,88,91
DAL,2012-02-08,9:00p,Denver Nuggets,W,105,95
DAL,2012-02-10,8:00p,Minnesota Timberwolves,W,104,97
DAL,2012-02-11,8:30p,Portland Trail Blazers,W,97,94
DAL,2012-02-13,8:30p,Los Angeles Clippers,W,96,92
DAL,2012-02-15,8:30p,Denver Nuggets,W,102,84
