NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
DEN,2011-12-26,8:30p,Dallas Mavericks,W,115,93
DEN,2011-12-28,9:00p,Utah Jazz,W,117,100
DEN,2011-12-29,10:00p,Portland Trail Blazers,L,102,111
DEN,2011-12-31,3:30p,Los Angeles Lakers,L,89,92
DEN,2012-01-01,8:00p,Los Angeles Lakers,W,99,90
DEN,2012-01-02,9:00p,Milwaukee Bucks,W,91,86
DEN,2012-01-04,9:00p,Sacramento Kings,W,110,83
DEN,2012-01-06,8:00p,New Orleans Hornets,W,96,88
DEN,2012-01-07,8:30p,San Antonio Spurs,L,117,121
DEN,2012-01-09,9:00p,New Orleans Hornets,L,81,94
DEN,2012-01-11,9:00p,New Jersey Nets,W,123,115
DEN,2012-01-13,10:30p,Miami Heat,W,117,104
DEN,2012-01-15,8:00p,Utah Jazz,L,96,106
DEN,2012-01-17,8:00p,Milwaukee Bucks,W,105,95
DEN,2012-01-18,7:00p,Philadelphia 76ers,W,108,104
DEN,2012-01-20,7:00p,Washington Wizards,W,108,104
DEN,2012-01-21,7:30p,New York Knicks,W,119,114
DEN,2012-01-25,10:00p,Sacramento Kings,W,122,93
DEN,2012-01-27,9:00p,Toronto Raptors,W,96,81
DEN,2012-01-29,8:00p,Los Angeles Clippers,L,105,109
DEN,2012-01-31,8:00p,Memphis Grizzlies,L,97,100
DEN,2012-02-02,10:30p,Los Angeles Clippers,W,112,91
DEN,2012-02-03,10:30p,Los Angeles Lakers,L,89,93
DEN,2012-02-04,10:00p,Portland Trail Blazers,L,97,117
DEN,2012-02-06,9:00p,Houston Rockets,L,90,99
DEN,2012-02-08,9:00p,Dallas Mavericks,L,95,105
DEN,2012-02-09,9:00p,Golden State Warriors,L,101,109
DEN,2012-02-11,7:00p,Indiana Pacers,W,113,109
DEN,2012-02-14,9:00p,Phoenix Suns,W,109,92
DEN,2012-02-15,8:30p,Dallas Mavericks,L,84,102
DEN,2012-02-17,8:00p,Memphis Grizzlies,L,102,103
DEN,2012-02-19,8:00p,Oklahoma City Thunder,L,118,124
DEN,2012-02-20,9:00p,Minnesota Timberwolves,W,103,101
