NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
DET,2011-12-26,7:00p,Indiana Pacers,L,79,91
DET,2011-12-28,7:30p,Cleveland Cavaliers,L,89,105
DET,2011-12-30,7:30p,Boston Celtics,L,85,96
DET,2011-12-31,6:00p,Indiana Pacers,W,96,88
DET,2012-01-02,7:30p,Orlando Magic,W,89,78
DET,2012-01-04,7:30p,Chicago Bulls,L,83,99
DET,2012-01-06,7:00p,Philadelphia 76ers,L,73,96
DET,2012-01-07,7:30p,New York Knicks,L,80,103
DET,2012-01-09,8:00p,Chicago Bulls,L,68,92
DET,2012-01-10,7:30p,Dallas Mavericks,L,86,100
DET,2012-01-12,8:00p,Milwaukee Bucks,L,93,102
DET,2012-01-13,7:00p,Charlotte Bobcats,W,98,81
DET,2012-01-15,6:00p,Golden State Warriors,L,91,99
DET,2012-01-17,8:00p,Houston Rockets,L,80,97
DET,2012-01-18,8:00p,Minnesota Timberwolves,L,85,93
DET,2012-01-20,7:30p,Memphis Grizzlies,L,81,98
DET,2012-01-21,7:30p,Portland Trail Blazers,W,94,91
DET,2012-01-23,8:00p,Oklahoma City Thunder,L,79,99
DET,2012-01-25,7:30p,Miami Heat,L,98,101
DET,2012-01-27,7:30p,Atlanta Hawks,L,101,107
DET,2012-01-28,7:00p,Philadelphia 76ers,L,74,95
DET,2012-01-30,8:00p,Milwaukee Bucks,L,82,103
DET,2012-01-31,7:30p,New York Knicks,L,86,113
DET,2012-02-01,7:30p,New Jersey Nets,L,96,99
DET,2012-02-03,7:30p,Milwaukee Bucks,W,88,80
DET,2012-02-04,7:30p,New Orleans Hornets,W,89,87
DET,2012-02-08,7:30p,New Jersey Nets,W,99,92
DET,2012-02-10,7:30p,New Jersey Nets,W,109,92
DET,2012-02-12,6:00p,Washington Wizards,L,77,98
DET,2012-02-14,7:30p,San Antonio Spurs,L,95,99
DET,2012-02-15,7:30p,Boston Celtics,W,98,88
DET,2012-02-17,7:30p,Sacramento Kings,W,114,108
DET,2012-02-19,6:00p,Boston Celtics,W,96,81
DET,2012-02-21,7:00p,Cleveland Cavaliers,L,100,101
DET,2012-02-22,7:00p,Toronto Raptors,L,93,103
DET,2012-02-28,7:30p,Philadelphia 76ers,L,68,97
DET,2012-02-29,7:30p,Charlotte Bobcats,W,109,94
DET,2012-03-03,8:00p,Memphis Grizzlies,L,83,100
DET,2012-03-06,7:30p,Los Angeles Lakers,W,88,85
DET,2012-03-09,7:30p,Atlanta Hawks,W,86,85
DET,2012-03-10,7:30p,Toronto Raptors,W,105,86
DET,2012-03-12,9:00p,Utah Jazz,L,90,105
DET,2012-03-14,10:00p,Sacramento Kings,W,124,112
DET,2012-03-16,10:00p,Phoenix Suns,L,101,109
DET,2012-03-18,3:30p,Los Angeles Clippers,L,83,87
DET,2012-03-21,9:00p,Denver Nuggets,L,115,116
DET,2012-03-23,7:30p,Miami Heat,L,73,88
DET,2012-03-24,7:30p,New York Knicks,L,79,101
DET,2012-03-26,7:00p,Washington Wizards,W,79,77
DET,2012-03-28,7:00p,Cleveland Cavaliers,W,87,75
DET,2012-03-30,8:00p,Chicago Bulls,L,71,83
DET,2012-03-31,7:30p,Charlotte Bobcats,W,110,107
DET,2012-04-03,7:30p,Orlando Magic,W,102,95
DET,2012-04-05,7:30p,Washington Wizards,W,99,94
DET,2012-04-06,7:30p,Atlanta Hawks,L,96,101
DET,2012-04-08,6:00p,Miami Heat,L,75,98
DET,2012-04-09,7:00p,Orlando Magic,L,89,119
DET,2012-04-12,7:00p,Charlotte Bobcats,W,109,85
DET,2012-04-13,8:00p,Milwaukee Bucks,L,97,113
DET,2012-04-15,6:00p,Chicago Bulls,L,94,100
DET,2012-04-17,7:30p,Cleveland Cavaliers,W,116,77
DET,2012-04-18,7:30p,Atlanta Hawks,L,84,116
DET,2012-04-19,7:30p,Minnesota Timberwolves,L,80,91
