NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
GSW,2011-12-25,10:30p,Los Angeles Clippers,L,86,105
GSW,2011-12-26,10:30p,Chicago Bulls,W,99,91
GSW,2011-12-28,10:30p,New York Knicks,W,92,78
GSW,2011-12-31,9:00p,Philadelphia 76ers,L,79,107
GSW,2012-01-02,3:30p,Phoenix Suns,L,91,102
GSW,2012-01-04,8:30p,San Antonio Spurs,L,95,101
GSW,2012-01-06,10:30p,Los Angeles Lakers,L,90,97
GSW,2012-01-07,10:30p,Utah Jazz,L,87,88
GSW,2012-01-10,10:30p,Miami Heat,W,111,106
GSW,2012-01-12,10:30p,Orlando Magic,L,109,117
GSW,2012-01-14,7:00p,Charlotte Bobcats,L,100,112
GSW,2012-01-15,6:00p,Detroit Pistons,W,99,91
GSW,2012-01-17,7:00p,Cleveland Cavaliers,W,105,95
GSW,2012-01-18,7:30p,New Jersey Nets,L,100,107
GSW,2012-01-20,10:30p,Indiana Pacers,L,91,94
GSW,2012-01-23,10:30p,Memphis Grizzlies,L,90,91
GSW,2012-01-25,10:30p,Portland Trail Blazers,W,101,93
GSW,2012-01-27,10:30p,Oklahoma City Thunder,L,109,120
GSW,2012-01-31,10:30p,Sacramento Kings,W,93,90
GSW,2012-02-02,10:30p,Utah Jazz,W,119,101
GSW,2012-02-04,10:00p,Sacramento Kings,L,106,114
GSW,2012-02-07,10:30p,Oklahoma City Thunder,L,116,119
GSW,2012-02-09,9:00p,Denver Nuggets,W,109,101
GSW,2012-02-12,9:00p,Houston Rockets,W,106,97
GSW,2012-02-13,10:30p,Phoenix Suns,W,102,96
GSW,2012-02-15,10:00p,Portland Trail Blazers,L,91,93
GSW,2012-02-17,8:00p,Oklahoma City Thunder,L,87,110
GSW,2012-02-18,8:00p,Memphis Grizzlies,L,103,104
GSW,2012-02-20,10:30p,Los Angeles Clippers,W,104,97
GSW,2012-02-22,9:00p,Phoenix Suns,W,106,104
GSW,2012-02-28,7:00p,Indiana Pacers,L,78,102
GSW,2012-02-29,7:30p,Atlanta Hawks,W,85,82
GSW,2012-03-02,8:00p,Philadelphia 76ers,L,83,105
GSW,2012-03-04,6:00p,Toronto Raptors,L,75,83
GSW,2012-03-05,7:00p,Washington Wizards,W,120,100
GSW,2012-03-07,10:30p,Memphis Grizzlies,L,92,110
GSW,2012-03-10,10:30p,Dallas Mavericks,W,111,87
GSW,2012-03-11,9:30p,Los Angeles Clippers,W,97,93
GSW,2012-03-13,10:00p,Sacramento Kings,W,115,89
GSW,2012-03-14,10:30p,Boston Celtics,L,103,105
GSW,2012-03-16,10:30p,Milwaukee Bucks,L,98,120
GSW,2012-03-17,9:00p,Utah Jazz,L,92,99
GSW,2012-03-19,10:30p,Minnesota Timberwolves,L,93,97
GSW,2012-03-21,8:00p,New Orleans Hornets,W,101,92
GSW,2012-03-22,8:00p,Houston Rockets,L,83,109
GSW,2012-03-24,10:30p,Sacramento Kings,W,111,108
GSW,2012-03-25,9:00p,Portland Trail Blazers,L,87,90
GSW,2012-03-27,10:30p,Los Angeles Lakers,L,101,104
GSW,2012-03-28,10:30p,New Orleans Hornets,L,87,102
GSW,2012-03-30,10:30p,New Jersey Nets,L,100,102
GSW,2012-04-01,9:30p,Los Angeles Lakers,L,112,120
GSW,2012-04-03,8:00p,Memphis Grizzlies,L,94,98
GSW,2012-04-04,8:00p,Minnesota Timberwolves,W,97,94
GSW,2012-04-06,9:00p,Utah Jazz,L,98,104
GSW,2012-04-07,10:30p,Denver Nuggets,W,112,97
GSW,2012-04-09,9:00p,Denver Nuggets,L,84,123
GSW,2012-04-11,10:30p,Portland Trail Blazers,L,110,118
GSW,2012-04-12,10:30p,Dallas Mavericks,L,103,112
GSW,2012-04-14,3:30p,Los Angeles Clippers,L,104,112
GSW,2012-04-16,10:30p,San Antonio Spurs,L,99,120
GSW,2012-04-18,10:30p,Los Angeles Lakers,L,87,99
GSW,2012-04-20,8:30p,Dallas Mavericks,L,94,104
GSW,2012-04-21,8:00p,Houston Rockets,L,96,99
GSW,2012-04-22,7:00p,Minnesota Timberwolves,W,93,88
GSW,2012-04-24,10:30p,New Orleans Hornets,L,81,83
GSW,2012-04-26,10:30p,San Antonio Spurs,L,101,107
GSW,2012-10-31,10:00p,Phoenix Suns,W,87,85
GSW,2012-11-02,10:30p,Memphis Grizzlies,L,94,104
GSW,2012-11-03,10:30p,Los Angeles Clippers,W,114,110
GSW,2012-11-05,10:00p,Sacramento Kings,L,92,94
GSW,2012-11-07,10:30p,Cleveland Cavaliers,W,106,96
GSW,2012-11-09,10:30p,Los Angeles Lakers,L,77,101
GSW,2012-11-10,10:30p,Denver Nuggets,L,101,107
GSW,2012-11-14,10:30p,Atlanta Hawks,W,92,88
GSW,2012-11-16,8:00p,Minnesota Timberwolves,W,106,98
GSW,2012-11-18,7:00p,Oklahoma City Thunder,L,109,119
GSW,2012-11-19,8:30p,Dallas Mavericks,W,105,101
GSW,2012-11-21,10:30p,Brooklyn Nets,W,102,93
GSW,2012-11-23,9:00p,Denver Nuggets,L,91,102
GSW,2012-11-24,10:30p,Minnesota Timberwolves,W,96,85
GSW,2012-11-29,10:30p,Denver Nuggets,W,106,105
GSW,2012-12-01,10:30p,Indiana Pacers,W,103,92
GSW,2012-12-03,10:30p,Orlando Magic,L,94,102
GSW,2012-12-05,7:30p,Detroit Pistons,W,104,97
GSW,2012-12-07,7:30p,Brooklyn Nets,W,109,102
GSW,2012-12-08,7:00p,Washington Wizards,W,101,97
GSW,2012-12-10,7:00p,Charlotte Bobcats,W,104,96
GSW,2012-12-12,7:30p,Miami Heat,W,97,95
GSW,2012-12-14,7:00p,Orlando Magic,L,85,99
GSW,2012-12-15,7:00p,Atlanta Hawks,W,115,93
GSW,2012-12-18,10:30p,New Orleans Hornets,W,103,96
GSW,2012-12-19,10:00p,Sacramento Kings,L,127,131
GSW,2012-12-21,10:30p,Charlotte Bobcats,W,115,100
GSW,2012-12-22,10:30p,Los Angeles Lakers,L,115,118
GSW,2012-12-26,9:00p,Utah Jazz,W,94,83
GSW,2012-12-28,10:30p,Philadelphia 76ers,W,96,89
GSW,2012-12-29,10:30p,Boston Celtics,W,101,83
GSW,2013-01-02,10:30p,Los Angeles Clippers,W,115,94
GSW,2013-01-05,10:30p,Los Angeles Clippers,L,89,115
GSW,2013-01-09,10:30p,Memphis Grizzlies,L,87,94
