NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
LAC,2011-12-25,10:30p,Golden State Warriors,W,105,86
LAC,2011-12-28,8:30p,San Antonio Spurs,L,90,115
LAC,2011-12-30,10:30p,Chicago Bulls,L,101,114
LAC,2012-01-01,9:30p,Portland Trail Blazers,W,93,88
LAC,2012-01-04,10:30p,Houston Rockets,W,117,89
LAC,2012-01-07,10:30p,Milwaukee Bucks,W,92,86
LAC,2012-01-10,10:00p,Portland Trail Blazers,L,97,105
LAC,2012-01-11,10:30p,Miami Heat,W,95,89
LAC,2012-01-14,10:30p,Los Angeles Lakers,W,102,94
LAC,2012-01-16,3:30p,New Jersey Nets,W,101,91
LAC,2012-01-17,9:00p,Utah Jazz,L,79,108
LAC,2012-01-18,10:30p,Dallas Mavericks,W,91,89
LAC,2012-01-20,10:30p,Minnesota Timberwolves,L,98,101
LAC,2012-01-22,3:30p,Toronto Raptors,W,103,91
LAC,2012-01-25,10:30p,Los Angeles Lakers,L,91,96
LAC,2012-01-26,10:30p,Memphis Grizzlies,W,98,91
LAC,2012-01-29,8:00p,Denver Nuggets,W,109,105
LAC,2012-01-30,10:30p,Oklahoma City Thunder,W,112,100
LAC,2012-02-01,10:30p,Utah Jazz,W,107,105
LAC,2012-02-02,10:30p,Denver Nuggets,L,91,112
LAC,2012-02-04,7:00p,Washington Wizards,W,107,81
LAC,2012-02-06,7:00p,Orlando Magic,W,107,102
LAC,2012-02-08,7:00p,Cleveland Cavaliers,L,92,99
LAC,2012-02-10,7:00p,Philadelphia 76ers,W,78,77
LAC,2012-02-11,7:00p,Charlotte Bobcats,W,111,86
LAC,2012-02-13,8:30p,Dallas Mavericks,L,92,96
LAC,2012-02-15,10:30p,Washington Wizards,W,102,84
LAC,2012-02-16,10:30p,Portland Trail Blazers,W,74,71
LAC,2012-02-18,3:30p,San Antonio Spurs,L,100,103
LAC,2012-02-20,10:30p,Golden State Warriors,L,97,104
LAC,2012-02-22,10:30p,Denver Nuggets,W,103,95
LAC,2012-02-28,10:30p,Minnesota Timberwolves,L,97,109
LAC,2012-03-01,10:00p,Sacramento Kings,W,108,100
LAC,2012-03-02,10:30p,Phoenix Suns,L,78,81
LAC,2012-03-04,7:00p,Houston Rockets,W,105,103
LAC,2012-03-05,8:00p,Minnesota Timberwolves,L,94,95
LAC,2012-03-07,8:00p,New Jersey Nets,L,100,101
LAC,2012-03-09,8:30p,San Antonio Spurs,W,120,108
LAC,2012-03-11,9:30p,Golden State Warriors,L,93,97
LAC,2012-03-12,10:30p,Boston Celtics,L,85,94
LAC,2012-03-14,10:30p,Atlanta Hawks,W,96,82
LAC,2012-03-15,10:30p,Phoenix Suns,L,87,91
LAC,2012-03-17,3:30p,Houston Rockets,W,95,91
LAC,2012-03-18,3:30p,Detroit Pistons,W,87,83
LAC,2012-03-20,7:00p,Indiana Pacers,L,89,102
LAC,2012-03-21,8:00p,Oklahoma City Thunder,L,91,114
LAC,2012-03-22,8:00p,New Orleans Hornets,L,90,97
LAC,2012-03-24,3:00p,Memphis Grizzlies,W,101,85
LAC,2012-03-26,10:30p,New Orleans Hornets,W,97,85
LAC,2012-03-28,10:30p,Phoenix Suns,W,103,86
LAC,2012-03-30,10:30p,Portland Trail Blazers,W,98,97
LAC,2012-03-31,10:30p,Utah Jazz,W,105,96
LAC,2012-04-02,8:30p,Dallas Mavericks,W,94,75
LAC,2012-04-04,10:30p,Los Angeles Lakers,L,108,113
LAC,2012-04-05,10:00p,Sacramento Kings,W,93,85
LAC,2012-04-07,10:30p,Sacramento Kings,W,109,94
LAC,2012-04-09,8:00p,Memphis Grizzlies,L,85,94
LAC,2012-04-11,8:00p,Oklahoma City Thunder,W,100,98
LAC,2012-04-12,8:00p,Minnesota Timberwolves,W,95,82
LAC,2012-04-14,3:30p,Golden State Warriors,W,112,104
LAC,2012-04-16,10:30p,Oklahoma City Thunder,W,92,77
LAC,2012-04-18,9:00p,Denver Nuggets,W,104,98
LAC,2012-04-19,10:30p,Phoenix Suns,L,90,93
LAC,2012-04-22,9:30p,New Orleans Hornets,W,107,98
LAC,2012-04-24,7:30p,Atlanta Hawks,L,102,109
LAC,2012-04-25,8:00p,New York Knicks,L,93,99
LAC,2012-10-31,10:30p,Memphis Grizzlies,W,101,92
LAC,2012-11-02,10:30p,Los Angeles Lakers,W,105,95
LAC,2012-11-03,10:30p,Golden State Warriors,L,110,114
LAC,2012-11-05,10:30p,Cleveland Cavaliers,L,101,108
LAC,2012-11-07,10:30p,San Antonio Spurs,W,106,84
LAC,2012-11-08,10:30p,Portland Trail Blazers,W,103,90
LAC,2012-11-11,3:30p,Atlanta Hawks,W,89,76
LAC,2012-11-14,10:30p,Miami Heat,W,107,100
LAC,2012-11-17,9:00p,Chicago Bulls,W,101,80
LAC,2012-11-19,8:30p,San Antonio Spurs,W,92,87
LAC,2012-11-21,7:30p,Oklahoma City Thunder,L,111,117
LAC,2012-11-23,7:30p,Brooklyn Nets,L,76,86
LAC,2012-11-24,7:00p,Atlanta Hawks,L,93,104
LAC,2012-11-26,10:30p,New Orleans Hornets,L,98,105
LAC,2012-11-28,10:30p,Minnesota Timberwolves,W,101,95
LAC,2012-12-01,10:30p,Sacramento Kings,W,116,81
LAC,2012-12-03,9:00p,Utah Jazz,W,105,104
LAC,2012-12-05,10:30p,Dallas Mavericks,W,112,90
LAC,2012-12-08,3:30p,Phoenix Suns,W,117,99
LAC,2012-12-09,3:30p,Toronto Raptors,W,102,83
LAC,2012-12-11,9:30p,Chicago Bulls,W,94,89
LAC,2012-12-12,7:30p,Charlotte Bobcats,W,100,94
LAC,2012-12-15,8:30p,Milwaukee Bucks,W,111,85
LAC,2012-12-17,7:30p,Detroit Pistons,W,88,76
LAC,2012-12-19,10:30p,New Orleans Hornets,W,93,77
LAC,2012-12-21,10:30p,Sacramento Kings,W,97,85
LAC,2012-12-23,8:00p,Phoenix Suns,W,103,77
LAC,2012-12-25,10:30p,Denver Nuggets,W,112,100
LAC,2012-12-27,10:30p,Boston Celtics,W,106,77
LAC,2012-12-28,9:00p,Utah Jazz,W,116,114
LAC,2012-12-30,9:30p,Utah Jazz,W,107,96
LAC,2013-01-01,9:00p,Denver Nuggets,L,78,92
LAC,2013-01-02,10:30p,Golden State Warriors,L,94,115
LAC,2013-01-04,10:30p,Los Angeles Lakers,W,107,102
LAC,2013-01-05,10:30p,Golden State Warriors,W,115,89
LAC,2013-01-09,10:30p,Dallas Mavericks,W,99,93
LAC,2013-01-12,3:30p,Orlando Magic,L,101,104
LAC,2013-01-14,8:00p,Memphis Grizzlies,W,99,73
LAC,2013-01-15,8:00p,Houston Rockets,W,117,109
LAC,2013-01-17,8:00p,Minnesota Timberwolves,W,90,77
LAC,2013-01-19,10:30p,Washington Wizards,W,94,87
LAC,2013-01-21,4:00p,Golden State Warriors,L,99,106
LAC,2013-01-22,10:30p,Oklahoma City Thunder,L,97,109
LAC,2013-01-24,10:30p,Phoenix Suns,L,88,93
LAC,2013-01-26,10:00p,Portland Trail Blazers,L,100,101
LAC,2013-01-27,9:30p,Portland Trail Blazers,W,96,83
LAC,2013-01-30,8:00p,Minnesota Timberwolves,W,96,90
LAC,2013-02-01,7:00p,Toronto Raptors,L,73,98
LAC,2013-02-03,1:00p,Boston Celtics,L,104,106
LAC,2013-02-04,7:00p,Washington Wizards,L,90,98
LAC,2013-02-06,7:00p,Orlando Magic,W,86,76
LAC,2013-02-08,8:00p,Miami Heat,L,89,111
LAC,2013-02-10,1:00p,New York Knicks,W,102,88
LAC,2013-02-11,7:00p,Philadelphia 76ers,W,107,90
LAC,2013-02-13,10:30p,Houston Rockets,W,106,96
LAC,2013-02-14,10:30p,Los Angeles Lakers,W,125,101
LAC,2013-02-21,10:30p,San Antonio Spurs,L,90,116
LAC,2013-02-23,10:30p,Utah Jazz,W,107,94
LAC,2013-02-26,10:30p,Charlotte Bobcats,W,106,84
LAC,2013-02-28,7:00p,Indiana Pacers,W,99,91
LAC,2013-03-01,7:30p,Cleveland Cavaliers,W,105,89
LAC,2013-03-03,3:30p,Oklahoma City Thunder,L,104,108
LAC,2013-03-06,10:30p,Milwaukee Bucks,W,117,101
LAC,2013-03-07,10:30p,Denver Nuggets,L,92,107
LAC,2013-03-10,9:30p,Detroit Pistons,W,129,97
LAC,2013-03-13,10:30p,Memphis Grizzlies,L,85,96
