NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
LAL,2011-12-25,5:00p,Chicago Bulls,L,87,88
LAL,2011-12-26,10:00p,Sacramento Kings,L,91,100
LAL,2011-12-27,10:30p,Utah Jazz,W,96,71
LAL,2011-12-29,10:30p,New York Knicks,W,99,82
LAL,2011-12-31,3:30p,Denver Nuggets,W,92,89
LAL,2012-01-01,8:00p,Denver Nuggets,L,90,99
LAL,2012-01-03,10:30p,Houston Rockets,W,108,99
LAL,2012-01-05,10:30p,Portland Trail Blazers,L,96,107
LAL,2012-01-06,10:30p,Golden State Warriors,W,97,90
LAL,2012-01-08,9:30p,Memphis Grizzlies,W,90,82
LAL,2012-01-10,10:30p,Phoenix Suns,W,99,83
LAL,2012-01-11,9:00p,Utah Jazz,W,90,87
LAL,2012-01-13,10:30p,Cleveland Cavaliers,W,97,92
LAL,2012-01-14,10:30p,Los Angeles Clippers,L,94,102
LAL,2012-01-16,10:30p,Dallas Mavericks,W,73,70
LAL,2012-01-19,8:00p,Miami Heat,L,87,98
LAL,2012-01-20,8:00p,Orlando Magic,L,80,92
LAL,2012-01-22,9:30p,Indiana Pacers,L,96,98
LAL,2012-01-25,10:30p,Los Angeles Clippers,W,96,91
LAL,2012-01-28,8:30p,Milwaukee Bucks,L,89,100
LAL,2012-01-29,7:00p,Minnesota Timberwolves,W,106,101
LAL,2012-01-31,10:30p,Charlotte Bobcats,W,106,73
LAL,2012-02-03,10:30p,Denver Nuggets,W,93,89
LAL,2012-02-04,9:00p,Utah Jazz,L,87,96
LAL,2012-02-06,7:00p,Philadelphia 76ers,L,90,95
LAL,2012-02-09,8:00p,Boston Celtics,W,88,87
LAL,2012-02-10,8:00p,New York Knicks,L,85,92
LAL,2012-02-12,1:00p,Toronto Raptors,W,94,92
LAL,2012-02-14,10:30p,Atlanta Hawks,W,86,78
LAL,2012-02-17,10:30p,Phoenix Suns,W,111,99
LAL,2012-02-19,8:00p,Phoenix Suns,L,90,102
LAL,2012-02-20,10:30p,Portland Trail Blazers,W,103,92
LAL,2012-02-22,9:30p,Dallas Mavericks,W,96,91
LAL,2012-02-23,9:30p,Oklahoma City Thunder,L,85,100
LAL,2012-02-29,10:30p,Minnesota Timberwolves,W,104,85
