NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
MIA,2011-12-25,2:30p,Dallas Mavericks,W,105,94
MIA,2011-12-27,8:00p,Boston Celtics,W,115,107
MIA,2011-12-28,7:00p,Charlotte Bobcats,W,96,95
MIA,2011-12-30,8:00p,Minnesota Timberwolves,W,103,101
MIA,2012-01-01,6:00p,Charlotte Bobcats,W,129,90
MIA,2012-01-02,7:30p,Atlanta Hawks,L,92,100
MIA,2012-01-04,7:30p,Indiana Pacers,W,118,83
MIA,2012-01-05,8:00p,Atlanta Hawks,W,116,109
MIA,2012-01-07,7:30p,New Jersey Nets,W,101,90
MIA,2012-01-10,10:30p,Golden State Warriors,L,106,111
MIA,2012-01-11,10:30p,Los Angeles Clippers,L,89,95
MIA,2012-01-13,10:30p,Denver Nuggets,L,104,117
MIA,2012-01-17,7:30p,San Antonio Spurs,W,120,98
MIA,2012-01-19,8:00p,Los Angeles Lakers,W,98,87
MIA,2012-01-21,7:30p,Philadelphia 76ers,W,113,92
MIA,2012-01-22,6:00p,Milwaukee Bucks,L,82,91
MIA,2012-01-24,7:30p,Cleveland Cavaliers,W,92,85
MIA,2012-01-25,7:30p,Detroit Pistons,W,101,98
MIA,2012-01-27,8:00p,New York Knicks,W,99,89
MIA,2012-01-29,3:30p,Chicago Bulls,W,97,93
MIA,2012-01-30,7:30p,New Orleans Hornets,W,109,95
MIA,2012-02-01,8:00p,Milwaukee Bucks,L,97,105
MIA,2012-02-03,7:00p,Philadelphia 76ers,W,99,79
MIA,2012-02-05,1:00p,Toronto Raptors,W,95,89
MIA,2012-02-07,7:30p,Cleveland Cavaliers,W,107,91
MIA,2012-02-08,7:00p,Orlando Magic,L,89,102
MIA,2012-02-10,7:00p,Washington Wizards,W,106,89
MIA,2012-02-12,7:00p,Atlanta Hawks,W,107,87
MIA,2012-02-13,8:00p,Milwaukee Bucks,W,114,96
MIA,2012-02-14,7:00p,Indiana Pacers,W,105,90
MIA,2012-02-17,7:30p,Cleveland Cavaliers,W,111,87
MIA,2012-02-19,3:30p,Orlando Magic,W,90,78
MIA,2012-02-21,7:30p,Sacramento Kings,W,120,108
MIA,2012-02-23,7:00p,New York Knicks,W,102,88
MIA,2012-03-01,10:30p,Portland Trail Blazers,W,107,93
MIA,2012-03-02,9:00p,Utah Jazz,L,98,99
MIA,2012-03-04,3:30p,Los Angeles Lakers,L,83,93
MIA,2012-03-06,7:30p,New Jersey Nets,W,108,78
MIA,2012-03-07,7:30p,Atlanta Hawks,W,89,86
MIA,2012-03-10,7:30p,Indiana Pacers,W,93,91
MIA,2012-03-13,7:00p,Orlando Magic,L,98,104
MIA,2012-03-14,9:30p,Chicago Bulls,L,102,106
MIA,2012-03-16,7:00p,Philadelphia 76ers,W,84,78
MIA,2012-03-18,7:00p,Orlando Magic,W,91,81
MIA,2012-03-20,7:30p,Phoenix Suns,W,99,95
MIA,2012-03-23,7:30p,Detroit Pistons,W,88,73
MIA,2012-03-25,8:00p,Oklahoma City Thunder,L,87,103
MIA,2012-03-26,7:00p,Indiana Pacers,L,90,105
MIA,2012-03-29,8:00p,Dallas Mavericks,W,106,85
MIA,2012-03-30,7:00p,Toronto Raptors,W,113,101
MIA,2012-04-01,3:30p,Boston Celtics,L,72,91
MIA,2012-04-03,7:30p,Philadelphia 76ers,W,99,93
MIA,2012-04-04,8:00p,Oklahoma City Thunder,W,98,93
MIA,2012-04-06,7:30p,Memphis Grizzlies,L,82,97
MIA,2012-04-08,6:00p,Detroit Pistons,W,98,75
MIA,2012-04-10,7:00p,Boston Celtics,L,107,115
MIA,2012-04-12,8:00p,Chicago Bulls,L,86,96
MIA,2012-04-13,7:30p,Charlotte Bobcats,W,105,82
MIA,2012-04-15,1:00p,New York Knicks,W,93,85
MIA,2012-04-16,7:30p,New Jersey Nets,W,101,98
MIA,2012-04-18,7:30p,Toronto Raptors,W,96,72
MIA,2012-04-19,8:00p,Chicago Bulls,W,83,72
MIA,2012-04-21,7:30p,Washington Wizards,L,84,86
MIA,2012-04-22,6:00p,Houston Rockets,W,97,88
MIA,2012-04-24,8:00p,Boston Celtics,L,66,78
MIA,2012-04-26,8:00p,Washington Wizards,L,70,104
MIA,2012-10-30,8:00p,Boston Celtics,W,120,107
MIA,2012-11-02,8:00p,New York Knicks,L,84,104
MIA,2012-11-03,7:30p,Denver Nuggets,W,119,116
MIA,2012-11-05,7:30p,Phoenix Suns,W,124,99
MIA,2012-11-07,7:30p,Brooklyn Nets,W,103,73
MIA,2012-11-09,7:30p,Atlanta Hawks,W,95,89
MIA,2012-11-11,6:00p,Memphis Grizzlies,L,86,104
MIA,2012-11-12,8:00p,Houston Rockets,W,113,110
MIA,2012-11-14,10:30p,Los Angeles Clippers,L,100,107
MIA,2012-11-15,10:30p,Denver Nuggets,W,98,93
MIA,2012-11-17,9:00p,Phoenix Suns,W,97,88
MIA,2012-11-21,7:30p,Milwaukee Bucks,W,113,106
MIA,2012-11-24,7:30p,Cleveland Cavaliers,W,110,108
MIA,2012-11-29,8:00p,San Antonio Spurs,W,105,100
MIA,2012-12-01,7:30p,Brooklyn Nets,W,102,89
MIA,2012-12-04,7:00p,Washington Wizards,L,101,105
MIA,2012-12-06,8:00p,New York Knicks,L,92,112
MIA,2012-12-08,7:30p,New Orleans Hornets,W,106,90
MIA,2012-12-10,7:30p,Atlanta Hawks,W,101,92
MIA,2012-12-12,7:30p,Golden State Warriors,L,95,97
MIA,2012-12-15,7:30p,Washington Wizards,W,102,72
MIA,2012-12-18,7:30p,Minnesota Timberwolves,W,103,92
MIA,2012-12-20,9:30p,Dallas Mavericks,W,110,95
MIA,2012-12-22,7:30p,Utah Jazz,W,105,89
MIA,2012-12-25,5:30p,Oklahoma City Thunder,W,103,97
MIA,2012-12-26,7:00p,Charlotte Bobcats,W,105,92
MIA,2012-12-28,7:30p,Detroit Pistons,L,99,109
