NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
MIN,2011-12-26,8:00p,Oklahoma City Thunder,L,100,104
MIN,2011-12-27,8:30p,Milwaukee Bucks,L,95,98
MIN,2011-12-30,8:00p,Miami Heat,L,101,103
MIN,2012-01-01,7:00p,Dallas Mavericks,W,99,82
MIN,2012-01-02,8:00p,San Antonio Spurs,W,106,96
MIN,2012-01-04,8:00p,Memphis Grizzlies,L,86,90
MIN,2012-01-06,8:00p,Cleveland Cavaliers,L,87,98
MIN,2012-01-08,1:00p,Washington Wizards,W,93,72
MIN,2012-01-09,7:00p,Toronto Raptors,L,87,97
MIN,2012-01-10,8:00p,Chicago Bulls,L,100,111
MIN,2012-01-13,8:00p,New Orleans Hornets,W,87,80
MIN,2012-01-14,7:00p,Atlanta Hawks,L,91,93
MIN,2012-01-16,8:00p,Sacramento Kings,W,99,86
MIN,2012-01-18,8:00p,Detroit Pistons,W,93,85
MIN,2012-01-20,10:30p,Los Angeles Clippers,W,101,98
MIN,2012-01-21,9:00p,Utah Jazz,L,98,108
MIN,2012-01-23,8:00p,Houston Rockets,L,92,107
MIN,2012-01-25,8:30p,Dallas Mavericks,W,105,90
MIN,2012-01-27,8:00p,San Antonio Spurs,W,87,79
MIN,2012-01-29,7:00p,Los Angeles Lakers,L,101,106
MIN,2012-01-30,8:00p,Houston Rockets,W,120,108
MIN,2012-02-01,8:00p,Indiana Pacers,L,99,109
MIN,2012-02-03,7:30p,New Jersey Nets,W,108,105
MIN,2012-02-04,8:00p,Houston Rockets,W,100,91
MIN,2012-02-07,8:00p,Sacramento Kings,W,86,84
MIN,2012-02-08,8:00p,Memphis Grizzlies,L,80,85
MIN,2012-02-10,8:00p,Dallas Mavericks,L,97,104
MIN,2012-02-11,8:00p,New York Knicks,L,98,100
MIN,2012-02-13,7:00p,Orlando Magic,L,89,102
MIN,2012-02-15,8:00p,Charlotte Bobcats,W,102,90
MIN,2012-02-17,8:00p,Houston Rockets,W,111,98
MIN,2012-02-19,7:00p,Philadelphia 76ers,W,92,91
MIN,2012-02-20,9:00p,Denver Nuggets,L,101,103
MIN,2012-02-22,8:00p,Utah Jazz,W,100,98
MIN,2012-02-28,10:30p,Los Angeles Clippers,W,109,97
MIN,2012-02-29,10:30p,Los Angeles Lakers,L,85,104
MIN,2012-03-01,9:00p,Phoenix Suns,L,95,104
MIN,2012-03-03,10:00p,Portland Trail Blazers,W,122,110
MIN,2012-03-05,8:00p,Los Angeles Clippers,W,95,94
MIN,2012-03-07,8:00p,Portland Trail Blazers,W,106,94
MIN,2012-03-09,8:00p,Los Angeles Lakers,L,102,105
MIN,2012-03-10,8:00p,New Orleans Hornets,L,89,95
MIN,2012-03-12,10:00p,Phoenix Suns,W,127,124
MIN,2012-03-15,9:00p,Utah Jazz,L,105,111
MIN,2012-03-16,10:30p,Los Angeles Lakers,L,92,97
MIN,2012-03-18,6:00p,Sacramento Kings,L,99,115
MIN,2012-03-19,10:30p,Golden State Warriors,W,97,93
MIN,2012-03-21,8:30p,San Antonio Spurs,L,100,116
MIN,2012-03-23,8:00p,Oklahoma City Thunder,L,140,149
MIN,2012-03-25,3:30p,Denver Nuggets,W,117,100
MIN,2012-03-27,8:00p,Memphis Grizzlies,L,86,93
MIN,2012-03-28,7:00p,Charlotte Bobcats,W,88,83
MIN,2012-03-30,8:00p,Boston Celtics,L,79,100
MIN,2012-04-01,9:00p,Portland Trail Blazers,L,106,119
MIN,2012-04-02,10:00p,Sacramento Kings,L,108,116
MIN,2012-04-04,8:00p,Golden State Warriors,L,94,97
MIN,2012-04-07,8:00p,New Orleans Hornets,L,90,99
MIN,2012-04-09,9:00p,Phoenix Suns,L,90,114
MIN,2012-04-11,9:00p,Denver Nuggets,L,107,113
MIN,2012-04-12,8:00p,Los Angeles Clippers,L,82,95
MIN,2012-04-14,8:00p,Oklahoma City Thunder,L,110,115
MIN,2012-04-16,7:00p,Indiana Pacers,L,88,111
MIN,2012-04-17,8:00p,Memphis Grizzlies,L,84,91
MIN,2012-04-19,7:30p,Detroit Pistons,W,91,80
MIN,2012-04-22,7:00p,Golden State Warriors,L,88,93
MIN,2012-04-26,8:00p,Denver Nuggets,L,102,131
MIN,2012-11-02,8:00p,Sacramento Kings,W,92,80
MIN,2012-11-04,6:00p,Toronto Raptors,L,86,105
MIN,2012-11-05,7:30p,Brooklyn Nets,W,107,96
MIN,2012-11-07,8:00p,Orlando Magic,W,90,75
MIN,2012-11-09,8:00p,Indiana Pacers,W,96,94
MIN,2012-11-10,8:00p,Chicago Bulls,L,80,87
