NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
NYK,2011-12-25,12:00p,Boston Celtics,W,106,104
NYK,2011-12-28,10:30p,Golden State Warriors,L,78,92
NYK,2011-12-29,10:30p,Los Angeles Lakers,L,82,99
NYK,2011-12-31,8:00p,Sacramento Kings,W,114,92
NYK,2012-01-02,7:30p,Toronto Raptors,L,85,90
NYK,2012-01-04,7:30p,Charlotte Bobcats,L,110,118
NYK,2012-01-06,7:00p,Washington Wizards,W,99,96
NYK,2012-01-07,7:30p,Detroit Pistons,W,103,80
NYK,2012-01-09,7:30p,Charlotte Bobcats,W,91,87
NYK,2012-01-11,7:30p,Philadelphia 76ers,W,85,79
NYK,2012-01-12,8:00p,Memphis Grizzlies,L,83,94
NYK,2012-01-14,8:00p,Oklahoma City Thunder,L,92,104
NYK,2012-01-16,1:00p,Orlando Magic,L,93,102
NYK,2012-01-18,7:30p,Phoenix Suns,L,88,91
NYK,2012-01-20,7:30p,Milwaukee Bucks,L,86,100
NYK,2012-01-21,7:30p,Denver Nuggets,L,114,119
NYK,2012-01-24,7:00p,Charlotte Bobcats,W,111,78
NYK,2012-01-25,7:00p,Cleveland Cavaliers,L,81,91
NYK,2012-01-27,8:00p,Miami Heat,L,89,99
NYK,2012-01-28,8:00p,Houston Rockets,L,84,97
NYK,2012-01-31,7:30p,Detroit Pistons,W,113,86
NYK,2012-02-02,8:00p,Chicago Bulls,L,102,105
NYK,2012-02-03,8:00p,Boston Celtics,L,89,91
NYK,2012-02-04,7:30p,New Jersey Nets,W,99,92
NYK,2012-02-06,7:30p,Utah Jazz,W,99,88
NYK,2012-02-08,7:00p,Washington Wizards,W,107,93
NYK,2012-02-10,8:00p,Los Angeles Lakers,W,92,85
NYK,2012-02-11,8:00p,Minnesota Timberwolves,W,100,98
NYK,2012-02-14,7:00p,Toronto Raptors,W,90,87
NYK,2012-02-15,7:30p,Sacramento Kings,W,100,85
NYK,2012-02-17,8:00p,New Orleans Hornets,L,85,89
NYK,2012-02-19,1:00p,Dallas Mavericks,W,104,97
NYK,2012-02-20,7:30p,New Jersey Nets,L,92,100
NYK,2012-02-22,7:30p,Atlanta Hawks,W,99,82
NYK,2012-02-23,7:00p,Miami Heat,L,88,102
NYK,2012-02-29,7:30p,Cleveland Cavaliers,W,120,103
NYK,2012-03-04,1:00p,Boston Celtics,L,111,115
NYK,2012-03-06,8:30p,Dallas Mavericks,L,85,95
NYK,2012-03-07,8:30p,San Antonio Spurs,L,105,118
NYK,2012-03-09,8:30p,Milwaukee Bucks,L,114,119
NYK,2012-03-11,12:00p,Philadelphia 76ers,L,94,106
NYK,2012-03-12,8:00p,Chicago Bulls,L,99,104
NYK,2012-03-14,7:30p,Portland Trail Blazers,W,121,79
NYK,2012-03-16,7:30p,Indiana Pacers,W,115,100
NYK,2012-03-17,7:00p,Indiana Pacers,W,102,88
NYK,2012-03-20,7:30p,Toronto Raptors,W,106,87
NYK,2012-03-21,7:00p,Philadelphia 76ers,W,82,79
NYK,2012-03-23,7:00p,Toronto Raptors,L,79,96
NYK,2012-03-24,7:30p,Detroit Pistons,W,101,79
NYK,2012-03-26,7:30p,Milwaukee Bucks,W,89,80
NYK,2012-03-28,7:00p,Orlando Magic,W,108,86
NYK,2012-03-30,7:30p,Atlanta Hawks,L,90,100
NYK,2012-03-31,7:30p,Cleveland Cavaliers,W,91,75
NYK,2012-04-03,7:00p,Indiana Pacers,L,104,112
NYK,2012-04-05,7:00p,Orlando Magic,W,96,80
NYK,2012-04-08,1:00p,Chicago Bulls,W,100,99
NYK,2012-04-10,9:30p,Chicago Bulls,L,86,98
NYK,2012-04-11,8:00p,Milwaukee Bucks,W,111,107
