NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
PHI,2011-12-26,10:00p,Portland Trail Blazers,L,103,107
PHI,2011-12-28,9:00p,Phoenix Suns,W,103,83
PHI,2011-12-30,9:00p,Utah Jazz,L,99,102
PHI,2011-12-31,9:00p,Golden State Warriors,W,107,79
PHI,2012-01-04,8:00p,New Orleans Hornets,W,101,93
PHI,2012-01-06,7:00p,Detroit Pistons,W,96,73
PHI,2012-01-07,8:00p,Toronto Raptors,W,97,62
PHI,2012-01-09,7:00p,Indiana Pacers,W,96,86
PHI,2012-01-10,7:00p,Sacramento Kings,W,112,85
PHI,2012-01-11,7:30p,New York Knicks,L,79,85
PHI,2012-01-13,7:00p,Washington Wizards,W,120,89
PHI,2012-01-14,7:00p,Washington Wizards,W,103,90
PHI,2012-01-16,2:00p,Milwaukee Bucks,W,94,82
PHI,2012-01-18,7:00p,Denver Nuggets,L,104,108
PHI,2012-01-20,7:00p,Atlanta Hawks,W,90,76
PHI,2012-01-21,7:30p,Miami Heat,L,92,113
PHI,2012-01-23,7:00p,Washington Wizards,W,103,83
PHI,2012-01-25,7:00p,New Jersey Nets,L,90,97
PHI,2012-01-27,7:00p,Charlotte Bobcats,W,89,72
PHI,2012-01-28,7:00p,Detroit Pistons,W,95,74
PHI,2012-01-30,7:00p,Orlando Magic,W,74,69
PHI,2012-02-01,7:00p,Chicago Bulls,W,98,82
PHI,2012-02-03,7:00p,Miami Heat,L,79,99
PHI,2012-02-04,7:00p,Atlanta Hawks,W,98,87
PHI,2012-02-06,7:00p,Los Angeles Lakers,W,95,90
PHI,2012-02-08,7:00p,San Antonio Spurs,L,90,100
PHI,2012-02-10,7:00p,Los Angeles Clippers,L,77,78
PHI,2012-02-11,7:30p,Cleveland Cavaliers,W,99,84
PHI,2012-02-13,7:00p,Charlotte Bobcats,W,98,89
PHI,2012-02-15,7:00p,Orlando Magic,L,87,103
PHI,2012-02-17,8:00p,Dallas Mavericks,L,75,82
PHI,2012-02-19,7:00p,Minnesota Timberwolves,L,91,92
PHI,2012-02-21,8:00p,Memphis Grizzlies,L,76,89
PHI,2012-02-22,8:00p,Houston Rockets,L,87,93
PHI,2012-02-28,7:30p,Detroit Pistons,W,97,68
PHI,2012-02-29,7:00p,Oklahoma City Thunder,L,88,92
PHI,2012-03-02,8:00p,Golden State Warriors,W,105,83
PHI,2012-03-04,7:00p,Chicago Bulls,L,91,96
PHI,2012-03-05,8:00p,Milwaukee Bucks,L,93,97
PHI,2012-03-07,7:00p,Boston Celtics,W,103,71
PHI,2012-03-09,7:00p,Utah Jazz,W,104,91
PHI,2012-03-11,12:00p,New York Knicks,W,106,94
PHI,2012-03-14,7:00p,Indiana Pacers,L,94,111
PHI,2012-03-16,7:00p,Miami Heat,L,78,84
PHI,2012-03-17,8:00p,Chicago Bulls,L,80,89
PHI,2012-03-19,7:00p,Charlotte Bobcats,W,105,80
PHI,2012-03-21,7:00p,New York Knicks,L,79,82
PHI,2012-03-23,8:00p,Boston Celtics,W,99,86
PHI,2012-03-25,7:00p,San Antonio Spurs,L,76,93
PHI,2012-03-27,7:00p,Cleveland Cavaliers,W,103,85
PHI,2012-03-30,7:00p,Washington Wizards,L,76,97
PHI,2012-03-31,7:30p,Atlanta Hawks,W,95,90
PHI,2012-04-03,7:30p,Miami Heat,L,93,99
PHI,2012-04-04,7:00p,Toronto Raptors,L,78,99
PHI,2012-04-07,8:00p,Orlando Magic,L,82,88
PHI,2012-04-08,6:00p,Boston Celtics,L,79,103
PHI,2012-04-10,7:30p,New Jersey Nets,W,107,88
PHI,2012-04-11,7:00p,Toronto Raptors,W,93,75
PHI,2012-04-13,7:00p,New Jersey Nets,L,89,95
PHI,2012-04-16,7:00p,Orlando Magic,L,100,113
PHI,2012-04-17,7:00p,Indiana Pacers,L,97,102
PHI,2012-04-18,7:00p,Cleveland Cavaliers,W,103,87
PHI,2012-04-21,7:00p,Indiana Pacers,W,109,106
PHI,2012-04-23,7:30p,New Jersey Nets,W,105,87
PHI,2012-04-25,8:00p,Milwaukee Bucks,W,90,85
PHI,2012-04-26,8:00p,Detroit Pistons,L,86,108
PHI,2012-10-31,7:00p,Denver Nuggets,W,84,75
PHI,2012-11-04,12:00p,New York Knicks,L,84,100
PHI,2012-11-05,7:00p,New York Knicks,L,88,110
PHI,2012-11-07,8:00p,New Orleans Hornets,W,77,62
PHI,2012-11-09,7:30p,Boston Celtics,W,106,100
PHI,2012-11-10,7:00p,Toronto Raptors,W,93,83
PHI,2012-11-12,7:00p,Milwaukee Bucks,L,96,105
PHI,2012-11-14,7:00p,Detroit Pistons,L,76,94
PHI,2012-11-16,7:00p,Utah Jazz,W,99,93
PHI,2012-11-18,6:00p,Cleveland Cavaliers,W,86,79
PHI,2012-11-20,7:00p,Toronto Raptors,W,106,98
PHI,2012-11-21,7:00p,Cleveland Cavaliers,L,83,92
PHI,2012-11-24,7:00p,Oklahoma City Thunder,L,109,116
PHI,2012-11-25,6:00p,Phoenix Suns,W,104,101
PHI,2012-11-27,7:00p,Dallas Mavericks,W,100,98
PHI,2012-11-30,7:00p,Charlotte Bobcats,W,104,98
PHI,2012-12-01,8:00p,Chicago Bulls,L,88,93
PHI,2012-12-04,7:00p,Minnesota Timberwolves,L,88,105
PHI,2012-12-07,7:00p,Boston Celtics,W,95,94
PHI,2012-12-08,7:30p,Boston Celtics,L,79,92
PHI,2012-12-10,7:00p,Detroit Pistons,W,104,97
PHI,2012-12-12,7:30p,Chicago Bulls,L,89,96
PHI,2012-12-14,7:00p,Indiana Pacers,L,85,95
PHI,2012-12-16,6:00p,Los Angeles Lakers,L,98,111
PHI,2012-12-18,8:30p,Dallas Mavericks,L,100,107
PHI,2012-12-19,8:00p,Houston Rockets,L,103,125
PHI,2012-12-21,7:00p,Atlanta Hawks,W,99,80
PHI,2012-12-23,3:00p,Brooklyn Nets,L,92,95
PHI,2012-12-26,8:00p,Memphis Grizzlies,W,99,89
PHI,2012-12-28,10:30p,Golden State Warriors,L,89,96
PHI,2012-12-29,10:00p,Portland Trail Blazers,L,85,89
PHI,2013-01-01,10:30p,Los Angeles Lakers,W,103,99
PHI,2013-01-02,9:00p,Phoenix Suns,L,89,95
PHI,2013-01-04,8:00p,Oklahoma City Thunder,L,85,109
PHI,2013-01-05,8:30p,San Antonio Spurs,L,86,109
PHI,2013-01-08,7:00p,Brooklyn Nets,L,89,109
PHI,2013-01-09,7:00p,Toronto Raptors,L,72,90
PHI,2013-01-12,7:30p,Houston Rockets,W,107,100
PHI,2013-01-15,7:00p,New Orleans Hornets,L,99,111
PHI,2013-01-18,7:00p,Toronto Raptors,W,108,101
PHI,2013-01-21,7:00p,San Antonio Spurs,L,85,90
PHI,2013-01-22,8:00p,Milwaukee Bucks,L,102,110
PHI,2013-01-26,7:00p,New York Knicks,W,97,80
PHI,2013-01-28,7:00p,Memphis Grizzlies,L,100,103
PHI,2013-01-30,7:00p,Washington Wizards,W,92,84
PHI,2013-02-01,7:30p,Sacramento Kings,W,89,80
PHI,2013-02-04,7:00p,Orlando Magic,W,78,61
PHI,2013-02-06,7:00p,Indiana Pacers,L,69,88
PHI,2013-02-09,8:00p,Charlotte Bobcats,W,87,76
PHI,2013-02-11,7:00p,Los Angeles Clippers,L,90,107
PHI,2013-02-13,8:00p,Milwaukee Bucks,L,92,94
PHI,2013-02-20,8:00p,Minnesota Timberwolves,L,87,94
PHI,2013-02-23,7:30p,Miami Heat,L,90,114
PHI,2013-02-24,7:00p,New York Knicks,L,93,99
PHI,2013-02-26,7:00p,Orlando Magic,L,84,98
PHI,2013-02-28,8:00p,Chicago Bulls,L,82,93
PHI,2013-03-02,7:00p,Golden State Warriors,W,104,97
PHI,2013-03-03,6:00p,Washington Wizards,L,87,90
PHI,2013-03-05,7:00p,Boston Celtics,L,101,109
PHI,2013-03-06,7:30p,Atlanta Hawks,L,96,107
PHI,2013-03-08,8:00p,Miami Heat,L,93,102
PHI,2013-03-10,6:00p,Orlando Magic,L,91,99
PHI,2013-03-11,7:00p,Brooklyn Nets,W,106,97
PHI,2013-03-13,7:00p,Miami Heat,L,94,98
PHI,2013-03-16,7:30p,Indiana Pacers,W,98,91
PHI,2013-03-18,7:00p,Portland Trail Blazers,W,101,100
PHI,2013-03-20,10:30p,Los Angeles Clippers,L,72,101
PHI,2013-03-21,9:00p,Denver Nuggets,L,100,101
PHI,2013-03-24,9:00p,Sacramento Kings,W,117,103
PHI,2013-03-25,9:00p,Utah Jazz,L,91,107
PHI,2013-03-27,7:00p,Milwaukee Bucks,W,100,92
PHI,2013-03-29,7:30p,Cleveland Cavaliers,W,97,87
PHI,2013-03-30,8:00p,Charlotte Bobcats,W,100,92
PHI,2013-04-03,7:00p,Charlotte Bobcats,L,83,88
PHI,2013-04-05,7:30p,Atlanta Hawks,W,101,90
PHI,2013-04-06,7:30p,Miami Heat,L,87,106
PHI,2013-04-09,7:30p,Brooklyn Nets,L,83,104
PHI,2013-04-10,7:00p,Atlanta Hawks,L,101,124
PHI,2013-04-12,7:00p,Washington Wizards,W,97,86
PHI,2013-04-14,3:30p,Cleveland Cavaliers,W,91,77
PHI,2013-04-15,7:30p,Detroit Pistons,L,101,109
PHI,2013-04-17,8:00p,Indiana Pacers,W,105,95
PHI,2013-10-30,7:00p,Miami Heat,W,114,110
PHI,2013-11-01,7:00p,Washington Wizards,W,109,102
PHI,2013-11-02,7:30p,Chicago Bulls,W,107,104
PHI,2013-11-04,7:00p,Golden State Warriors,L,90,110
PHI,2013-11-06,7:00p,Washington Wizards,L,102,116
PHI,2013-11-08,7:00p,Cleveland Cavaliers,W,94,79
PHI,2013-11-09,7:30p,Cleveland Cavaliers,L,125,127
PHI,2013-11-11,7:00p,San Antonio Spurs,L,85,109
PHI,2013-11-13,7:00p,Houston Rockets,W,123,117
PHI,2013-11-15,7:30p,Atlanta Hawks,L,103,113
PHI,2013-11-16,8:00p,New Orleans Pelicans,L,98,135
PHI,2013-11-18,8:30p,Dallas Mavericks,L,94,97
PHI,2013-11-20,7:00p,Toronto Raptors,L,98,108
PHI,2013-11-22,7:00p,Milwaukee Bucks,W,115,107
PHI,2013-11-23,7:00p,Indiana Pacers,L,98,106
PHI,2013-11-27,7:00p,Orlando Magic,L,94,105
PHI,2013-11-29,8:00p,New Orleans Pelicans,L,105,121
PHI,2013-12-01,3:30p,Detroit Pistons,L,100,115
PHI,2013-12-03,7:00p,Orlando Magic,W,126,125
PHI,2013-12-06,7:00p,Charlotte Bobcats,L,88,105
PHI,2013-12-07,7:00p,Denver Nuggets,L,92,103
PHI,2013-12-09,7:00p,Los Angeles Clippers,L,83,94
PHI,2013-12-11,8:00p,Minnesota Timberwolves,L,99,106
