NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
PHO,2011-12-26,9:00p,New Orleans Hornets,L,84,85
PHO,2011-12-28,9:00p,Philadelphia 76ers,L,83,103
PHO,2011-12-30,8:00p,New Orleans Hornets,W,93,78
PHO,2011-12-31,8:00p,Oklahoma City Thunder,L,97,107
PHO,2012-01-02,3:30p,Golden State Warriors,W,102,91
PHO,2012-01-04,8:30p,Dallas Mavericks,L,89,98
PHO,2012-01-06,10:30p,Portland Trail Blazers,W,102,77
PHO,2012-01-08,8:00p,Milwaukee Bucks,W,109,93
PHO,2012-01-10,10:30p,Los Angeles Lakers,L,83,99
PHO,2012-01-12,9:00p,Cleveland Cavaliers,L,90,101
PHO,2012-01-13,9:00p,New Jersey Nets,L,103,110
PHO,2012-01-15,9:00p,San Antonio Spurs,L,91,102
PHO,2012-01-17,8:00p,Chicago Bulls,L,97,118
PHO,2012-01-18,7:30p,New York Knicks,W,91,88
PHO,2012-01-20,7:30p,Boston Celtics,W,79,71
PHO,2012-01-23,8:30p,Dallas Mavericks,L,87,93
PHO,2012-01-24,9:00p,Toronto Raptors,L,96,99
PHO,2012-01-27,10:00p,Portland Trail Blazers,L,71,109
PHO,2012-01-28,9:00p,Memphis Grizzlies,W,86,84
PHO,2012-01-30,9:00p,Dallas Mavericks,L,99,122
PHO,2012-02-01,8:00p,New Orleans Hornets,W,120,103
PHO,2012-02-03,8:00p,Houston Rockets,L,81,99
PHO,2012-02-04,9:00p,Charlotte Bobcats,W,95,89
PHO,2012-02-06,7:30p,Atlanta Hawks,W,99,90
PHO,2012-02-07,8:00p,Milwaukee Bucks,W,107,105
PHO,2012-02-09,9:00p,Houston Rockets,L,89,96
PHO,2012-02-11,10:00p,Sacramento Kings,W,98,84
PHO,2012-02-13,10:30p,Golden State Warriors,L,96,102
PHO,2012-02-14,9:00p,Denver Nuggets,L,92,109
PHO,2012-02-15,9:00p,Atlanta Hawks,L,99,101
PHO,2012-02-17,10:30p,Los Angeles Lakers,L,99,111
PHO,2012-02-19,8:00p,Los Angeles Lakers,W,102,90
PHO,2012-02-20,9:00p,Washington Wizards,W,104,88
PHO,2012-02-22,9:00p,Golden State Warriors,L,104,106
PHO,2012-03-01,9:00p,Minnesota Timberwolves,W,104,95
PHO,2012-03-02,10:30p,Los Angeles Clippers,W,81,78
PHO,2012-03-04,8:00p,Sacramento Kings,W,96,88
PHO,2012-03-07,8:00p,Oklahoma City Thunder,L,104,115
PHO,2012-03-08,10:30p,Dallas Mavericks,W,96,94
PHO,2012-03-10,9:00p,Memphis Grizzlies,W,98,91
PHO,2012-03-12,10:00p,Minnesota Timberwolves,L,124,127
PHO,2012-03-14,10:30p,Utah Jazz,W,120,111
PHO,2012-03-15,10:30p,Los Angeles Clippers,W,91,87
