NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
TOR,2011-12-26,7:00p,Cleveland Cavaliers,W,104,96
TOR,2011-12-28,6:00p,Indiana Pacers,L,85,90
TOR,2011-12-30,8:30p,Dallas Mavericks,L,86,99
TOR,2012-01-01,6:00p,Orlando Magic,L,96,102
TOR,2012-01-02,7:30p,New York Knicks,W,90,85
TOR,2012-01-04,7:00p,Cleveland Cavaliers,W,92,77
TOR,2012-01-06,7:00p,New Jersey Nets,L,85,97
TOR,2012-01-07,8:00p,Philadelphia 76ers,L,62,97
TOR,2012-01-09,7:00p,Minnesota Timberwolves,W,97,87
TOR,2012-01-10,7:00p,Washington Wizards,L,78,93
TOR,2012-01-11,7:00p,Sacramento Kings,L,91,98
TOR,2012-01-13,7:00p,Indiana Pacers,L,90,95
TOR,2012-01-14,8:00p,Chicago Bulls,L,64,77
TOR,2012-01-16,4:00p,Atlanta Hawks,L,84,93
TOR,2012-01-18,7:30p,Boston Celtics,L,73,96
TOR,2012-01-20,7:00p,Portland Trail Blazers,L,84,94
TOR,2012-01-22,3:30p,Los Angeles Clippers,L,91,103
TOR,2012-01-24,9:00p,Phoenix Suns,W,99,96
TOR,2012-01-25,9:00p,Utah Jazz,W,111,106
TOR,2012-01-27,9:00p,Denver Nuggets,L,81,96
TOR,2012-01-29,6:00p,New Jersey Nets,W,94,73
TOR,2012-01-31,7:00p,Atlanta Hawks,L,77,100
TOR,2012-02-01,7:30p,Boston Celtics,L,64,100
TOR,2012-02-03,7:00p,Washington Wizards,W,106,89
TOR,2012-02-05,1:00p,Miami Heat,L,89,95
TOR,2012-02-06,7:00p,Washington Wizards,L,108,111
TOR,2012-02-08,7:00p,Milwaukee Bucks,L,99,105
TOR,2012-02-10,7:00p,Boston Celtics,W,86,74
TOR,2012-02-12,1:00p,Los Angeles Lakers,L,92,94
TOR,2012-02-14,7:00p,New York Knicks,L,87,90
TOR,2012-02-15,7:00p,San Antonio Spurs,L,106,113
TOR,2012-02-17,7:00p,Charlotte Bobcats,L,91,98
TOR,2012-02-22,7:00p,Detroit Pistons,W,103,93
TOR,2012-02-28,8:00p,Houston Rockets,L,85,88
TOR,2012-02-29,8:00p,New Orleans Hornets,W,95,84
TOR,2012-03-02,7:00p,Memphis Grizzlies,L,99,102
TOR,2012-03-04,6:00p,Golden State Warriors,W,83,75
TOR,2012-03-05,7:00p,Orlando Magic,L,88,92
TOR,2012-03-07,7:00p,Houston Rockets,W,116,98
TOR,2012-03-10,7:30p,Detroit Pistons,L,86,105
TOR,2012-03-11,6:00p,Milwaukee Bucks,L,99,105
TOR,2012-03-13,7:00p,Cleveland Cavaliers,W,96,88
TOR,2012-03-14,7:30p,New Jersey Nets,L,84,98
TOR,2012-03-16,8:00p,Memphis Grizzlies,W,114,110
TOR,2012-03-17,7:00p,Charlotte Bobcats,L,103,107
TOR,2012-03-20,7:30p,New York Knicks,L,87,106
TOR,2012-03-21,7:00p,Chicago Bulls,L,82,94
TOR,2012-03-23,7:00p,New York Knicks,W,96,79
TOR,2012-03-24,8:00p,Chicago Bulls,L,101,102
TOR,2012-03-26,7:00p,Orlando Magic,L,101,117
TOR,2012-03-28,7:00p,Denver Nuggets,W,105,96
TOR,2012-03-30,7:00p,Miami Heat,L,101,113
TOR,2012-04-01,6:00p,Washington Wizards,W,99,92
TOR,2012-04-03,7:00p,Charlotte Bobcats,W,92,87
TOR,2012-04-04,7:00p,Philadelphia 76ers,W,99,78
TOR,2012-04-06,7:30p,Cleveland Cavaliers,L,80,84
TOR,2012-04-08,7:00p,Oklahoma City Thunder,L,75,91
TOR,2012-04-09,7:00p,Indiana Pacers,L,98,103
TOR,2012-04-11,7:00p,Philadelphia 76ers,L,75,93
TOR,2012-04-13,7:00p,Boston Celtics,W,84,79
TOR,2012-04-15,6:00p,Atlanta Hawks,W,102,86
TOR,2012-04-16,7:00p,Atlanta Hawks,L,87,109
TOR,2012-04-18,7:30p,Miami Heat,L,72,96
TOR,2012-04-22,6:00p,Detroit Pistons,L,73,76
TOR,2012-04-23,8:00p,Milwaukee Bucks,L,86,92
TOR,2012-04-26,7:00p,New Jersey Nets,W,98,67
TOR,2012-10-31,7:00p,Indiana Pacers,L,88,90
TOR,2012-11-03,7:30p,Brooklyn Nets,L,100,107
TOR,2012-11-04,6:00p,Minnesota Timberwolves,W,105,86
TOR,2012-11-06,8:00p,Oklahoma City Thunder,L,88,108
TOR,2012-11-07,8:30p,Dallas Mavericks,L,104,109
TOR,2012-11-10,7:00p,Philadelphia 76ers,L,83,93
TOR,2012-11-12,7:00p,Utah Jazz,L,133,140
TOR,2012-11-13,7:00p,Indiana Pacers,W,74,72
TOR,2012-11-17,12:30p,Boston Celtics,L,89,107
TOR,2012-11-18,1:00p,Orlando Magic,W,97,86
TOR,2012-11-20,7:00p,Philadelphia 76ers,L,98,106
TOR,2012-11-21,7:00p,Charlotte Bobcats,L,97,98
TOR,2012-11-23,7:30p,Detroit Pistons,L,90,91
TOR,2012-11-25,1:00p,San Antonio Spurs,L,106,111
TOR,2012-11-27,8:00p,Houston Rockets,L,101,117
TOR,2012-11-28,8:00p,Memphis Grizzlies,L,82,103
TOR,2012-11-30,7:00p,Phoenix Suns,W,101,97
