NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
WAS,2011-12-26,7:00p,New Jersey Nets,L,84,90
WAS,2011-12-28,7:30p,Atlanta Hawks,L,83,101
WAS,2011-12-30,8:30p,Milwaukee Bucks,L,81,102
WAS,2012-01-01,6:00p,Boston Celtics,L,86,94
WAS,2012-01-02,7:30p,Boston Celtics,L,92,100
WAS,2012-01-04,7:00p,Orlando Magic,L,85,103
WAS,2012-01-06,7:00p,New York Knicks,L,96,99
WAS,2012-01-08,1:00p,Minnesota Timberwolves,L,72,93
WAS,2012-01-10,7:00p,Toronto Raptors,W,93,78
WAS,2012-01-11,8:00p,Chicago Bulls,L,64,78
WAS,2012-01-13,7:00p,Philadelphia 76ers,L,89,120
WAS,2012-01-14,7:00p,Philadelphia 76ers,L,90,103
WAS,2012-01-16,2:00p,Houston Rockets,L,106,114
WAS,2012-01-18,7:00p,Oklahoma City Thunder,W,105,102
WAS,2012-01-20,7:00p,Denver Nuggets,L,104,108
WAS,2012-01-22,1:00p,Boston Celtics,L,94,100
WAS,2012-01-23,7:00p,Philadelphia 76ers,L,83,103
WAS,2012-01-25,7:00p,Charlotte Bobcats,W,92,75
WAS,2012-01-27,8:00p,Houston Rockets,L,76,103
WAS,2012-01-28,7:00p,Charlotte Bobcats,W,102,99
WAS,2012-01-30,7:00p,Chicago Bulls,L,88,98
WAS,2012-02-01,7:00p,Orlando Magic,L,103,109
WAS,2012-02-03,7:00p,Toronto Raptors,L,89,106
WAS,2012-02-04,7:00p,Los Angeles Clippers,L,81,107
WAS,2012-02-06,7:00p,Toronto Raptors,W,111,108
WAS,2012-02-08,7:00p,New York Knicks,L,93,107
WAS,2012-02-10,7:00p,Miami Heat,L,89,106
WAS,2012-02-12,6:00p,Detroit Pistons,W,98,77
WAS,2012-02-14,10:00p,Portland Trail Blazers,W,124,109
WAS,2012-02-15,10:30p,Los Angeles Clippers,L,84,102
WAS,2012-02-17,9:00p,Utah Jazz,L,100,114
WAS,2012-02-20,9:00p,Phoenix Suns,L,88,104
WAS,2012-02-22,7:00p,Sacramento Kings,L,107,115
WAS,2012-02-28,8:00p,Milwaukee Bucks,L,118,119
WAS,2012-02-29,7:00p,Orlando Magic,L,95,102
WAS,2012-03-03,7:00p,Cleveland Cavaliers,W,101,98
WAS,2012-03-05,7:00p,Golden State Warriors,L,100,120
WAS,2012-03-07,7:00p,Los Angeles Lakers,W,106,101
WAS,2012-03-10,7:00p,Portland Trail Blazers,L,99,110
WAS,2012-03-12,8:30p,San Antonio Spurs,L,97,112
WAS,2012-03-13,8:30p,Dallas Mavericks,L,98,107
WAS,2012-03-15,8:00p,New Orleans Hornets,W,99,89
WAS,2012-03-16,7:30p,Atlanta Hawks,L,88,102
WAS,2012-03-18,6:00p,Memphis Grizzlies,L,92,97
WAS,2012-03-21,7:30p,New Jersey Nets,W,108,89
WAS,2012-03-22,7:00p,Indiana Pacers,L,83,85
WAS,2012-03-24,7:00p,Atlanta Hawks,L,92,95
WAS,2012-03-25,6:00p,Boston Celtics,L,76,88
WAS,2012-03-26,7:00p,Detroit Pistons,L,77,79
WAS,2012-03-29,7:00p,Indiana Pacers,L,89,93
WAS,2012-03-30,7:00p,Philadelphia 76ers,W,97,76
WAS,2012-04-01,6:00p,Toronto Raptors,L,92,99
WAS,2012-04-02,7:00p,Milwaukee Bucks,L,98,112
WAS,2012-04-04,7:00p,Indiana Pacers,L,96,109
WAS,2012-04-05,7:30p,Detroit Pistons,L,94,99
WAS,2012-04-06,7:30p,New Jersey Nets,L,98,110
WAS,2012-04-09,7:00p,Charlotte Bobcats,W,113,85
WAS,2012-04-10,7:00p,Orlando Magic,W,93,85
WAS,2012-04-13,7:30p,New York Knicks,L,65,103
WAS,2012-04-14,7:00p,Cleveland Cavaliers,L,89,98
WAS,2012-04-16,8:00p,Chicago Bulls,W,87,84
WAS,2012-04-18,7:00p,Milwaukee Bucks,W,121,112
WAS,2012-04-21,7:30p,Miami Heat,W,86,84
WAS,2012-04-23,7:00p,Charlotte Bobcats,W,101,73
WAS,2012-04-25,7:00p,Cleveland Cavaliers,W,96,85
WAS,2012-04-26,8:00p,Miami Heat,W,104,70
WAS,2012-10-30,7:00p,Cleveland Cavaliers,L,84,94
WAS,2012-11-03,7:00p,Boston Celtics,L,86,89
WAS,2012-11-07,7:30p,Boston Celtics,L,94,100
WAS,2012-11-09,7:00p,Milwaukee Bucks,L,91,101
WAS,2012-11-10,7:00p,Indiana Pacers,L,85,89
WAS,2012-11-13,7:00p,Charlotte Bobcats,L,76,92
WAS,2012-11-14,8:30p,Dallas Mavericks,L,101,107
WAS,2012-11-17,7:00p,Utah Jazz,L,76,83
WAS,2012-11-19,7:00p,Indiana Pacers,L,89,96
WAS,2012-11-21,7:30p,Atlanta Hawks,L,100,101
WAS,2012-11-24,7:00p,Charlotte Bobcats,L,106,108
WAS,2012-11-26,7:00p,San Antonio Spurs,L,92,118
WAS,2012-11-28,7:00p,Portland Trail Blazers,W,84,82
WAS,2012-11-30,7:30p,New York Knicks,L,87,108
WAS,2012-12-04,7:00p,Miami Heat,W,105,101
WAS,2012-12-07,7:30p,Atlanta Hawks,L,95,104
WAS,2012-12-08,7:00p,Golden State Warriors,L,97,101
WAS,2012-12-11,8:00p,New Orleans Hornets,W,77,70
WAS,2012-12-12,8:00p,Houston Rockets,L,93,99
WAS,2012-12-14,7:00p,Los Angeles Lakers,L,96,102
WAS,2012-12-15,7:30p,Miami Heat,L,72,102
WAS,2012-12-18,7:00p,Atlanta Hawks,L,95,100
WAS,2012-12-19,7:00p,Orlando Magic,L,83,90
WAS,2012-12-21,7:30p,Detroit Pistons,L,68,100
WAS,2012-12-22,7:00p,Detroit Pistons,L,87,96
WAS,2012-12-26,7:00p,Cleveland Cavaliers,L,84,87
WAS,2012-12-28,7:00p,Orlando Magic,W,105,97
WAS,2012-12-29,8:00p,Chicago Bulls,L,77,87
WAS,2013-01-01,6:00p,Dallas Mavericks,L,94,103
WAS,2013-01-02,7:00p,Indiana Pacers,L,81,89
WAS,2013-01-04,7:00p,Brooklyn Nets,L,113,115
WAS,2013-01-06,6:00p,Miami Heat,L,71,99
WAS,2013-01-07,7:00p,Oklahoma City Thunder,W,101,99
WAS,2013-01-12,7:00p,Atlanta Hawks,W,93,83
WAS,2013-01-14,7:00p,Orlando Magic,W,120,91
WAS,2013-01-16,10:00p,Sacramento Kings,L,94,95
WAS,2013-01-18,9:00p,Denver Nuggets,W,112,108
WAS,2013-01-19,10:30p,Los Angeles Clippers,L,87,94
WAS,2013-01-21,10:00p,Portland Trail Blazers,W,98,95
