NHL Team,Date,Opponent,Result,Team Score,Opponent Score
ANA,2011-10-07,Buffalo Sabres,L,1,4
ANA,2011-10-08,New York Rangers,W,2,1
ANA,2011-10-14,San Jose Sharks,W,1,0
ANA,2011-10-16,St. Louis Blues,W,4,2
ANA,2011-10-17,San Jose Sharks,W,3,2
ANA,2011-10-21,Dallas Stars,L,1,3
ANA,2011-10-23,Phoenix Coyotes,L,4,5
ANA,2011-10-25,Chicago Blackhawks,L,2,3
ANA,2011-10-27,Minnesota Wild,W,3,2
ANA,2011-10-29,Nashville Predators,L,0,3
ANA,2011-10-30,Columbus Blue Jackets,L,1,3
ANA,2011-11-01,Washington Capitals,L,4,5
ANA,2011-11-03,New York Rangers,L,1,2
ANA,2011-11-05,Detroit Red Wings,L,0,5
ANA,2011-11-09,Nashville Predators,L,2,4
ANA,2011-11-11,Vancouver Canucks,W,4,3
ANA,2011-11-13,Minnesota Wild,L,2,3
ANA,2011-11-16,Los Angeles Kings,L,1,2
ANA,2011-11-17,Los Angeles Kings,L,3,5
ANA,2011-11-20,Detroit Red Wings,L,2,4
ANA,2011-11-23,Phoenix Coyotes,L,2,4
ANA,2011-11-25,Chicago Blackhawks,L,5,6
ANA,2011-11-27,Toronto Maple Leafs,L,2,5
ANA,2011-11-30,Montreal Canadiens,W,4,1
ANA,2011-12-02,Philadelphia Flyers,L,3,4
ANA,2011-12-04,Minnesota Wild,L,3,5
ANA,2011-12-06,Los Angeles Kings,W,3,2
ANA,2011-12-08,St. Louis Blues,L,2,4
ANA,2011-12-10,Nashville Predators,L,2,3
ANA,2011-12-14,Phoenix Coyotes,W,4,1
ANA,2011-12-16,Chicago Blackhawks,L,1,4
ANA,2011-12-17,Winnipeg Jets,L,3,5
ANA,2011-12-19,Dallas Stars,L,3,5
ANA,2011-12-22,Los Angeles Kings,L,2,3
ANA,2011-12-26,San Jose Sharks,W,3,2
ANA,2011-12-29,Vancouver Canucks,L,2,5
ANA,2011-12-31,Colorado Avalanche,L,2,4
ANA,2012-01-04,San Jose Sharks,L,1,3
ANA,2012-01-06,New York Islanders,W,4,2
ANA,2012-01-08,Columbus Blue Jackets,W,7,4
ANA,2012-01-10,Dallas Stars,W,5,2
ANA,2012-01-12,Calgary Flames,L,0,1
ANA,2012-01-13,Edmonton Oilers,W,5,0
ANA,2012-01-15,Vancouver Canucks,W,4,2
ANA,2012-01-18,Phoenix Coyotes,W,6,2
ANA,2012-01-21,Ottawa Senators,W,2,1
ANA,2012-01-22,Colorado Avalanche,W,3,2
ANA,2012-01-24,Dallas Stars,L,0,1
ANA,2012-01-31,Phoenix Coyotes,W,4,1
ANA,2012-02-01,Dallas Stars,L,2,6
ANA,2012-02-03,Columbus Blue Jackets,L,2,3
ANA,2012-02-06,Calgary Flames,W,3,2
ANA,2012-02-08,Carolina Hurricanes,W,3,2
ANA,2012-02-10,Detroit Red Wings,L,1,2
ANA,2012-02-12,Columbus Blue Jackets,W,5,3
ANA,2012-02-14,Minnesota Wild,W,2,1
ANA,2012-02-15,Pittsburgh Penguins,W,2,1
ANA,2012-02-17,New Jersey Devils,L,2,3
