NHL Team,Date,Opponent,Result,Team Score,Opponent Score
ARI,2014-10-09,Winnipeg Jets,L,2,6
ARI,2014-10-11,Los Angeles Kings,W,3,2
ARI,2014-10-15,Edmonton Oilers,W,7,4
ARI,2014-10-18,St. Louis Blues,L,1,6
ARI,2014-10-21,Nashville Predators,L,3,4
ARI,2014-10-23,Minnesota Wild,L,0,2
ARI,2014-10-25,Florida Panthers,W,2,1
ARI,2014-10-28,Tampa Bay Lightning,L,3,7
ARI,2014-10-30,Florida Panthers,L,1,2
ARI,2014-11-01,Carolina Hurricanes,L,0,3
ARI,2014-11-02,Washington Capitals,W,6,5
ARI,2014-11-04,Toronto Maple Leafs,W,3,2
ARI,2014-11-07,Anaheim Ducks,W,3,2
ARI,2014-11-08,New York Islanders,L,0,1
ARI,2014-11-11,Dallas Stars,L,3,4
ARI,2014-11-13,Calgary Flames,L,3,5
ARI,2014-11-14,Vancouver Canucks,W,5,0
ARI,2014-11-16,Edmonton Oilers,W,2,1
ARI,2014-11-18,Washington Capitals,L,1,2
ARI,2014-11-20,Dallas Stars,L,1,3
ARI,2014-11-22,San Jose Sharks,W,4,3
ARI,2014-11-23,Anaheim Ducks,L,1,2
ARI,2014-11-25,Colorado Avalanche,L,3,4
ARI,2014-11-29,Calgary Flames,L,0,3
ARI,2014-12-01,Edmonton Oilers,W,5,2
ARI,2014-12-02,Calgary Flames,L,2,5
ARI,2014-12-04,Los Angeles Kings,L,0,4
ARI,2014-12-06,Boston Bruins,L,2,5
ARI,2014-12-11,Nashville Predators,L,1,5
ARI,2014-12-13,Minnesota Wild,L,3,4
ARI,2014-12-16,Edmonton Oilers,W,2,1
ARI,2014-12-20,Los Angeles Kings,L,2,4
ARI,2014-12-22,Vancouver Canucks,L,1,7
ARI,2014-12-23,Edmonton Oilers,W,5,1
ARI,2014-12-27,Anaheim Ducks,W,2,1
ARI,2014-12-29,Philadelphia Flyers,W,4,2
ARI,2014-12-31,Dallas Stars,L,0,6
ARI,2015-01-03,Columbus Blue Jackets,W,6,3
ARI,2015-01-06,St. Louis Blues,L,0,6
ARI,2015-01-08,Winnipeg Jets,W,4,1
ARI,2015-01-10,Ottawa Senators,L,1,5
ARI,2015-01-13,San Jose Sharks,L,2,3
ARI,2015-01-15,Calgary Flames,L,1,4
ARI,2015-01-17,Minnesota Wild,L,1,3
ARI,2015-01-18,Winnipeg Jets,L,3,4
ARI,2015-01-20,Chicago Blackhawks,L,1,6
ARI,2015-01-27,Philadelphia Flyers,L,3,4
ARI,2015-01-29,Toronto Maple Leafs,W,3,1
ARI,2015-01-31,Ottawa Senators,L,2,7
ARI,2015-02-01,Montreal Canadiens,W,3,2
ARI,2015-02-03,Columbus Blue Jackets,W,4,1
ARI,2015-02-05,Carolina Hurricanes,L,1,2
ARI,2015-02-07,Detroit Red Wings,L,1,3
ARI,2015-02-09,Chicago Blackhawks,W,3,2
ARI,2015-02-10,St. Louis Blues,L,1,2
ARI,2015-02-13,San Jose Sharks,L,2,4
ARI,2015-02-14,New York Rangers,L,1,5
ARI,2015-02-16,Colorado Avalanche,L,2,5
ARI,2015-02-21,Tampa Bay Lightning,L,2,4
ARI,2015-02-23,New Jersey Devils,L,0,3
ARI,2015-02-24,New York Islanders,L,1,5
ARI,2015-02-26,New York Rangers,L,3,4
ARI,2015-02-28,Boston Bruins,L,1,4
ARI,2015-03-03,Anaheim Ducks,L,1,4
ARI,2015-03-05,Vancouver Canucks,W,3,2
ARI,2015-03-07,Montreal Canadiens,L,0,2
ARI,2015-03-09,Nashville Predators,L,1,2
ARI,2015-03-12,Chicago Blackhawks,L,1,2
ARI,2015-03-14,New Jersey Devils,L,1,4
ARI,2015-03-16,Los Angeles Kings,L,0,1
ARI,2015-03-19,Colorado Avalanche,L,2,5
ARI,2015-03-21,Pittsburgh Penguins,L,1,3
ARI,2015-03-22,Vancouver Canucks,L,1,3
ARI,2015-03-24,Detroit Red Wings,W,5,4
ARI,2015-03-26,Buffalo Sabres,W,4,3
ARI,2015-03-28,Pittsburgh Penguins,L,2,3
ARI,2015-03-30,Buffalo Sabres,L,1,4
ARI,2015-04-03,San Jose Sharks,L,1,3
ARI,2015-04-04,San Jose Sharks,W,5,3
ARI,2015-04-07,Calgary Flames,L,2,3
ARI,2015-04-09,Vancouver Canucks,L,0,5
ARI,2015-04-11,Anaheim Ducks,L,1,2
ARI,2015-10-09,Los Angeles Kings,W,4,1
ARI,2015-10-10,Pittsburgh Penguins,W,2,1
ARI,2015-10-14,Anaheim Ducks,W,4,0
ARI,2015-10-15,Minnesota Wild,L,3,4
ARI,2015-10-17,Boston Bruins,L,3,5
ARI,2015-10-20,New Jersey Devils,L,2,3
ARI,2015-10-22,New York Rangers,L,1,4
ARI,2015-10-24,Ottawa Senators,W,4,1
ARI,2015-10-26,Toronto Maple Leafs,W,4,3
ARI,2015-10-27,Boston Bruins,L,0,6
ARI,2015-10-30,Vancouver Canucks,L,3,4
ARI,2015-11-05,Colorado Avalanche,W,4,2
ARI,2015-11-07,New York Rangers,L,1,4
ARI,2015-11-09,Anaheim Ducks,W,4,3
ARI,2015-11-10,Los Angeles Kings,W,3,2
ARI,2015-11-12,Edmonton Oilers,W,4,1
ARI,2015-11-14,Columbus Blue Jackets,L,2,5
ARI,2015-11-16,New York Islanders,L,2,5
