NHL Team,Date,Opponent,Result,Team Score,Opponent Score
BOS,2011-10-06,Philadelphia Flyers,L,1,2
BOS,2011-10-08,Tampa Bay Lightning,W,4,1
BOS,2011-10-10,Colorado Avalanche,L,0,1
BOS,2011-10-12,Carolina Hurricanes,L,2,3
BOS,2011-10-15,Chicago Blackhawks,W,3,2
BOS,2011-10-18,Carolina Hurricanes,L,1,4
BOS,2011-10-20,Toronto Maple Leafs,W,6,2
BOS,2011-10-22,San Jose Sharks,L,2,4
BOS,2011-10-27,Montreal Canadiens,L,1,2
BOS,2011-10-29,Montreal Canadiens,L,2,4
BOS,2011-11-01,Ottawa Senators,W,5,3
BOS,2011-11-05,Toronto Maple Leafs,W,7,0
BOS,2011-11-07,New York Islanders,W,6,2
BOS,2011-11-10,Edmonton Oilers,W,6,3
BOS,2011-11-12,Buffalo Sabres,W,6,2
BOS,2011-11-15,New Jersey Devils,W,4,3
BOS,2011-11-17,Columbus Blue Jackets,W,2,1
BOS,2011-11-19,New York Islanders,W,6,0
BOS,2011-11-21,Montreal Canadiens,W,1,0
BOS,2011-11-23,Buffalo Sabres,W,4,3
BOS,2011-11-25,Detroit Red Wings,L,2,3
BOS,2011-11-26,Winnipeg Jets,W,4,2
BOS,2011-11-30,Toronto Maple Leafs,W,6,3
BOS,2011-12-03,Toronto Maple Leafs,W,4,1
BOS,2011-12-05,Pittsburgh Penguins,W,3,1
BOS,2011-12-06,Winnipeg Jets,L,1,2
BOS,2011-12-08,Florida Panthers,L,0,2
BOS,2011-12-10,Columbus Blue Jackets,W,5,3
BOS,2011-12-13,Los Angeles Kings,W,3,0
BOS,2011-12-14,Ottawa Senators,W,5,2
BOS,2011-12-17,Philadelphia Flyers,W,6,0
BOS,2011-12-19,Montreal Canadiens,W,3,2
BOS,2011-12-23,Florida Panthers,W,8,0
BOS,2011-12-28,Phoenix Coyotes,W,2,1
BOS,2011-12-31,Dallas Stars,L,2,4
BOS,2012-01-04,New Jersey Devils,W,6,1
BOS,2012-01-05,Calgary Flames,W,9,0
BOS,2012-01-07,Vancouver Canucks,L,3,4
BOS,2012-01-10,Winnipeg Jets,W,5,3
BOS,2012-01-12,Montreal Canadiens,W,2,1
BOS,2012-01-14,Carolina Hurricanes,L,2,4
BOS,2012-01-16,Florida Panthers,W,3,2
BOS,2012-01-17,Tampa Bay Lightning,L,3,5
BOS,2012-01-19,New Jersey Devils,W,4,1
BOS,2012-01-21,New York Rangers,L,2,3
BOS,2012-01-22,Philadelphia Flyers,W,6,5
BOS,2012-01-24,Washington Capitals,L,3,5
BOS,2012-01-31,Ottawa Senators,W,4,3
BOS,2012-02-02,Carolina Hurricanes,L,0,3
BOS,2012-02-04,Pittsburgh Penguins,L,1,2
BOS,2012-02-05,Washington Capitals,W,4,1
BOS,2012-02-08,Buffalo Sabres,L,0,6
BOS,2012-02-11,Nashville Predators,W,4,3
BOS,2012-02-14,New York Rangers,L,0,3
BOS,2012-02-15,Montreal Canadiens,W,4,3
BOS,2012-02-17,Winnipeg Jets,L,2,4
BOS,2012-02-19,Minnesota Wild,L,0,2
BOS,2012-02-22,St. Louis Blues,W,4,2
BOS,2012-02-24,Buffalo Sabres,L,1,2
BOS,2012-02-25,Ottawa Senators,W,5,3
BOS,2012-02-28,Ottawa Senators,L,0,1
BOS,2012-03-01,New Jersey Devils,W,4,3
