NHL Team,Date,Opponent,Result,Team Score,Opponent Score
CHI,2011-10-07,Dallas Stars,L,1,2
CHI,2011-10-08,Dallas Stars,W,5,2
CHI,2011-10-13,Winnipeg Jets,W,4,3
CHI,2011-10-15,Boston Bruins,L,2,3
CHI,2011-10-18,Phoenix Coyotes,W,5,2
CHI,2011-10-20,Colorado Avalanche,W,3,1
CHI,2011-10-22,Colorado Avalanche,L,4,5
CHI,2011-10-25,Anaheim Ducks,W,3,2
CHI,2011-10-28,Carolina Hurricanes,L,0,3
CHI,2011-10-29,Columbus Blue Jackets,W,5,2
CHI,2011-10-31,Nashville Predators,W,5,4
CHI,2011-11-03,Florida Panthers,W,3,2
CHI,2011-11-04,Tampa Bay Lightning,L,4,5
CHI,2011-11-06,Vancouver Canucks,L,2,6
CHI,2011-11-08,St. Louis Blues,L,0,3
CHI,2011-11-10,Columbus Blue Jackets,W,6,3
CHI,2011-11-11,Calgary Flames,W,4,1
CHI,2011-11-13,Edmonton Oilers,W,6,3
CHI,2011-11-16,Vancouver Canucks,W,5,1
CHI,2011-11-18,Calgary Flames,L,2,5
CHI,2011-11-19,Edmonton Oilers,L,2,9
CHI,2011-11-23,San Jose Sharks,L,0,1
CHI,2011-11-25,Anaheim Ducks,W,6,5
CHI,2011-11-26,Los Angeles Kings,W,2,1
CHI,2011-11-29,Phoenix Coyotes,L,1,4
CHI,2011-12-02,New York Islanders,W,5,4
CHI,2011-12-03,St. Louis Blues,W,5,2
CHI,2011-12-05,Phoenix Coyotes,L,3,4
CHI,2011-12-08,New York Islanders,W,3,2
CHI,2011-12-11,San Jose Sharks,W,3,2
CHI,2011-12-14,Minnesota Wild,W,4,3
CHI,2011-12-16,Anaheim Ducks,W,4,1
CHI,2011-12-18,Calgary Flames,W,4,2
CHI,2011-12-20,Pittsburgh Penguins,L,2,3
CHI,2011-12-21,Montreal Canadiens,W,5,1
CHI,2011-12-26,Columbus Blue Jackets,W,4,1
CHI,2011-12-28,Los Angeles Kings,L,0,2
CHI,2011-12-30,Detroit Red Wings,W,3,2
CHI,2012-01-02,Edmonton Oilers,L,3,4
CHI,2012-01-05,Philadelphia Flyers,L,4,5
CHI,2012-01-06,Colorado Avalanche,L,0,4
CHI,2012-01-08,Detroit Red Wings,L,2,3
CHI,2012-01-10,Columbus Blue Jackets,W,5,2
CHI,2012-01-12,Minnesota Wild,W,5,2
CHI,2012-01-14,Detroit Red Wings,L,2,3
CHI,2012-01-15,San Jose Sharks,W,4,3
CHI,2012-01-18,Buffalo Sabres,W,6,2
CHI,2012-01-20,Florida Panthers,W,3,1
CHI,2012-01-21,Nashville Predators,L,2,5
CHI,2012-01-24,Nashville Predators,L,1,3
CHI,2012-01-31,Vancouver Canucks,L,2,3
CHI,2012-02-02,Edmonton Oilers,L,4,8
CHI,2012-02-03,Calgary Flames,L,1,3
CHI,2012-02-07,Colorado Avalanche,L,2,5
CHI,2012-02-10,San Jose Sharks,L,3,5
CHI,2012-02-11,Phoenix Coyotes,L,0,3
CHI,2012-02-14,Nashville Predators,L,2,3
CHI,2012-02-16,New York Rangers,W,4,2
CHI,2012-02-18,Columbus Blue Jackets,W,6,1
CHI,2012-02-19,St. Louis Blues,W,3,1
CHI,2012-02-21,Detroit Red Wings,W,2,1
CHI,2012-02-23,Dallas Stars,L,1,3
CHI,2012-02-25,Los Angeles Kings,L,0,4
CHI,2012-02-26,Anaheim Ducks,L,1,3
CHI,2012-02-29,Toronto Maple Leafs,W,5,4
CHI,2012-03-02,Ottawa Senators,W,2,1
CHI,2012-03-04,Detroit Red Wings,W,2,1
CHI,2012-03-06,St. Louis Blues,L,1,5
CHI,2012-03-09,New York Rangers,W,4,3
CHI,2012-03-11,Los Angeles Kings,L,2,3
CHI,2012-03-13,St. Louis Blues,W,4,3
CHI,2012-03-16,Dallas Stars,W,4,1
CHI,2012-03-18,Washington Capitals,W,5,2
CHI,2012-03-20,Columbus Blue Jackets,W,5,1
CHI,2012-03-21,Vancouver Canucks,W,2,1
CHI,2012-03-25,Nashville Predators,L,1,6
CHI,2012-03-27,New Jersey Devils,L,1,2
CHI,2012-03-29,St. Louis Blues,W,4,3
CHI,2012-03-31,Nashville Predators,W,5,4
CHI,2012-04-01,Minnesota Wild,L,4,5
CHI,2012-04-05,Minnesota Wild,L,1,2
CHI,2012-04-07,Detroit Red Wings,W,3,2
CHI,2013-01-19,Los Angeles Kings,W,5,2
CHI,2013-01-20,Phoenix Coyotes,W,6,4
CHI,2013-01-22,St. Louis Blues,W,3,2
CHI,2013-01-24,Dallas Stars,W,3,2
CHI,2013-01-26,Columbus Blue Jackets,W,3,2
CHI,2013-01-27,Detroit Red Wings,W,2,1
CHI,2013-01-30,Minnesota Wild,L,2,3
CHI,2013-02-01,Vancouver Canucks,L,1,2
CHI,2013-02-02,Calgary Flames,W,3,2
CHI,2013-02-05,San Jose Sharks,W,5,3
CHI,2013-02-07,Phoenix Coyotes,W,6,2
CHI,2013-02-10,Nashville Predators,W,3,0
CHI,2013-02-12,Anaheim Ducks,L,2,3
CHI,2013-02-15,San Jose Sharks,W,4,1
CHI,2013-02-17,Los Angeles Kings,W,3,2
CHI,2013-02-19,Vancouver Canucks,W,4,3
CHI,2013-02-22,San Jose Sharks,W,2,1
CHI,2013-02-24,Columbus Blue Jackets,W,1,0
CHI,2013-02-25,Edmonton Oilers,W,3,2
CHI,2013-02-28,St. Louis Blues,W,3,0
CHI,2013-03-01,Columbus Blue Jackets,W,4,3
CHI,2013-03-03,Detroit Red Wings,W,2,1
CHI,2013-03-05,Minnesota Wild,W,5,3
CHI,2013-03-06,Colorado Avalanche,W,3,2
CHI,2013-03-08,Colorado Avalanche,L,2,6
CHI,2013-03-10,Edmonton Oilers,L,5,6
CHI,2013-03-14,Columbus Blue Jackets,W,2,1
CHI,2013-03-16,Dallas Stars,W,8,1
CHI,2013-03-18,Colorado Avalanche,W,5,2
CHI,2013-03-20,Anaheim Ducks,L,2,4
CHI,2013-03-25,Los Angeles Kings,L,4,5
CHI,2013-03-26,Calgary Flames,W,2,0
CHI,2013-03-29,Anaheim Ducks,L,1,2
CHI,2013-03-31,Detroit Red Wings,W,7,1
CHI,2013-04-01,Nashville Predators,W,3,2
CHI,2013-04-04,St. Louis Blues,L,3,4
CHI,2013-04-06,Nashville Predators,W,1,0
CHI,2013-04-07,Nashville Predators,W,5,3
CHI,2013-04-09,Minnesota Wild,W,1,0
CHI,2013-04-12,Detroit Red Wings,W,3,2
CHI,2013-04-14,St. Louis Blues,W,2,0
CHI,2013-04-15,Dallas Stars,W,5,2
CHI,2013-04-19,Nashville Predators,W,5,4
CHI,2013-04-20,Phoenix Coyotes,L,2,3
CHI,2013-04-22,Vancouver Canucks,L,1,3
CHI,2013-04-24,Edmonton Oilers,W,4,1
CHI,2013-04-26,Calgary Flames,W,3,1
CHI,2013-04-27,St. Louis Blues,L,1,3
CHI,2013-10-01,Washington Capitals,W,6,4
CHI,2013-10-05,Tampa Bay Lightning,L,2,3
CHI,2013-10-09,St. Louis Blues,L,2,3
CHI,2013-10-11,New York Islanders,W,3,2
CHI,2013-10-12,Buffalo Sabres,W,2,1
CHI,2013-10-15,Carolina Hurricanes,W,3,2
CHI,2013-10-17,St. Louis Blues,L,2,3
CHI,2013-10-19,Toronto Maple Leafs,W,3,1
CHI,2013-10-22,Florida Panthers,W,3,2
CHI,2013-10-24,Tampa Bay Lightning,L,5,6
CHI,2013-10-26,Minnesota Wild,L,3,5
CHI,2013-10-28,Minnesota Wild,W,5,1
CHI,2013-10-29,Ottawa Senators,W,6,5
CHI,2013-11-02,Winnipeg Jets,W,5,1
CHI,2013-11-03,Calgary Flames,L,2,3
CHI,2013-11-06,Winnipeg Jets,W,4,1
CHI,2013-11-09,Dallas Stars,W,5,2
CHI,2013-11-10,Edmonton Oilers,W,5,4
CHI,2013-11-14,Phoenix Coyotes,W,5,4
CHI,2013-11-16,Nashville Predators,L,2,7
CHI,2013-11-17,San Jose Sharks,W,5,1
CHI,2013-11-19,Colorado Avalanche,L,1,5
CHI,2013-11-21,Winnipeg Jets,W,6,3
CHI,2013-11-23,Vancouver Canucks,W,2,1
CHI,2013-11-25,Edmonton Oilers,W,5,1
CHI,2013-11-27,Calgary Flames,W,3,2
CHI,2013-11-29,Dallas Stars,W,2,1
CHI,2013-11-30,Phoenix Coyotes,W,5,2
CHI,2013-12-03,Dallas Stars,L,3,4
CHI,2013-12-05,Minnesota Wild,L,3,4
CHI,2013-12-06,Anaheim Ducks,L,2,3
CHI,2013-12-08,Florida Panthers,W,6,2
CHI,2013-12-10,Dallas Stars,W,6,2
CHI,2013-12-11,Philadelphia Flyers,W,7,2
CHI,2013-12-14,Toronto Maple Leafs,L,3,7
CHI,2013-12-15,Los Angeles Kings,W,3,1
CHI,2013-12-17,Nashville Predators,W,3,1
CHI,2013-12-20,Vancouver Canucks,L,2,3
CHI,2013-12-23,New Jersey Devils,W,5,2
CHI,2013-12-27,Colorado Avalanche,W,7,2
CHI,2013-12-28,St. Louis Blues,L,5,6
CHI,2013-12-30,Los Angeles Kings,W,1,0
CHI,2014-01-02,New York Islanders,L,2,3
CHI,2014-01-03,New Jersey Devils,W,5,3
CHI,2014-01-05,San Jose Sharks,L,2,3
