NHL Team,Date,Opponent,Result,Team Score,Opponent Score
COL,2011-10-08,Detroit Red Wings,L,0,3
COL,2011-10-10,Boston Bruins,W,1,0
COL,2011-10-12,Columbus Blue Jackets,W,3,2
COL,2011-10-13,Ottawa Senators,W,7,1
COL,2011-10-15,Montreal Canadiens,W,6,5
COL,2011-10-17,Toronto Maple Leafs,W,3,2
COL,2011-10-20,Chicago Blackhawks,L,1,3
COL,2011-10-22,Chicago Blackhawks,W,5,4
COL,2011-10-26,Calgary Flames,L,2,4
COL,2011-10-28,Edmonton Oilers,L,1,3
COL,2011-10-30,Los Angeles Kings,W,3,2
COL,2011-11-02,Phoenix Coyotes,L,1,4
COL,2011-11-04,Dallas Stars,L,6,7
COL,2011-11-06,Calgary Flames,L,1,2
COL,2011-11-08,Detroit Red Wings,L,2,5
COL,2011-11-10,New York Islanders,W,4,3
COL,2011-11-12,Calgary Flames,L,3,4
COL,2011-11-15,Pittsburgh Penguins,L,3,6
COL,2011-11-17,Minnesota Wild,L,0,1
COL,2011-11-18,Dallas Stars,W,3,0
COL,2011-11-20,San Jose Sharks,L,1,4
COL,2011-11-23,Vancouver Canucks,L,0,3
COL,2011-11-26,Edmonton Oilers,W,5,2
COL,2011-11-28,Dallas Stars,L,1,3
COL,2011-11-30,New Jersey Devils,W,6,1
COL,2011-12-02,St. Louis Blues,W,3,2
COL,2011-12-04,Detroit Red Wings,W,4,2
COL,2011-12-06,Vancouver Canucks,L,0,6
COL,2011-12-08,Calgary Flames,L,2,3
COL,2011-12-09,Edmonton Oilers,L,1,4
COL,2011-12-13,San Jose Sharks,W,4,3
COL,2011-12-15,San Jose Sharks,L,4,5
COL,2011-12-17,Washington Capitals,W,2,1
COL,2011-12-19,Philadelphia Flyers,W,3,2
COL,2011-12-21,St. Louis Blues,W,3,2
COL,2011-12-23,Tampa Bay Lightning,W,2,1
COL,2011-12-26,Minnesota Wild,W,4,2
COL,2011-12-27,Winnipeg Jets,L,1,4
COL,2011-12-29,Phoenix Coyotes,W,3,2
COL,2011-12-31,Anaheim Ducks,W,4,2
COL,2012-01-02,Los Angeles Kings,W,2,1
COL,2012-01-06,Chicago Blackhawks,W,4,0
COL,2012-01-07,St. Louis Blues,L,0,4
COL,2012-01-10,Nashville Predators,L,1,4
COL,2012-01-12,Nashville Predators,L,2,3
COL,2012-01-14,Dallas Stars,W,2,1
COL,2012-01-16,Phoenix Coyotes,L,1,6
COL,2012-01-18,Florida Panthers,W,4,3
COL,2012-01-21,Los Angeles Kings,W,3,1
COL,2012-01-22,Anaheim Ducks,L,2,3
COL,2012-01-24,Minnesota Wild,L,2,3
COL,2012-01-31,Edmonton Oilers,L,2,3
COL,2012-02-02,Minnesota Wild,L,0,1
COL,2012-02-04,Vancouver Canucks,L,2,3
COL,2012-02-07,Chicago Blackhawks,W,5,2
COL,2012-02-10,Carolina Hurricanes,W,4,3
COL,2012-02-11,St. Louis Blues,L,2,3
COL,2012-02-15,Vancouver Canucks,L,1,3
COL,2012-02-17,Edmonton Oilers,W,3,1
COL,2012-02-19,Winnipeg Jets,L,1,5
COL,2012-02-22,Los Angeles Kings,W,4,1
