NHL Team,Date,Opponent,Result,Team Score,Opponent Score
DAL,2011-10-07,Chicago Blackhawks,W,2,1
DAL,2011-10-08,Chicago Blackhawks,L,2,5
DAL,2011-10-10,Phoenix Coyotes,W,2,1
DAL,2011-10-13,St. Louis Blues,W,3,2
DAL,2011-10-15,Columbus Blue Jackets,W,4,2
DAL,2011-10-18,Columbus Blue Jackets,W,3,2
DAL,2011-10-21,Anaheim Ducks,W,3,1
DAL,2011-10-22,Los Angeles Kings,L,0,1
DAL,2011-10-25,Phoenix Coyotes,W,3,2
DAL,2011-10-27,Los Angeles Kings,L,3,5
DAL,2011-10-29,New Jersey Devils,W,3,1
DAL,2011-11-04,Colorado Avalanche,W,7,6
DAL,2011-11-06,Carolina Hurricanes,W,5,2
DAL,2011-11-08,Washington Capitals,W,5,2
DAL,2011-11-11,Pittsburgh Penguins,L,1,3
DAL,2011-11-12,Detroit Red Wings,L,2,5
DAL,2011-11-15,Florida Panthers,L,0,6
DAL,2011-11-18,Colorado Avalanche,L,0,3
DAL,2011-11-19,San Jose Sharks,L,1,4
DAL,2011-11-21,Edmonton Oilers,W,4,1
DAL,2011-11-23,Los Angeles Kings,W,3,2
DAL,2011-11-25,Toronto Maple Leafs,L,3,4
DAL,2011-11-26,Phoenix Coyotes,L,0,3
DAL,2011-11-28,Colorado Avalanche,W,3,1
DAL,2011-12-01,Ottawa Senators,W,3,2
DAL,2011-12-03,New York Islanders,L,4,5
DAL,2011-12-08,San Jose Sharks,L,2,5
DAL,2011-12-10,Los Angeles Kings,W,2,1
DAL,2011-12-13,New York Rangers,W,1,0
DAL,2011-12-15,New York Islanders,W,3,2
DAL,2011-12-16,New Jersey Devils,L,3,6
DAL,2011-12-19,Anaheim Ducks,W,5,3
DAL,2011-12-21,Philadelphia Flyers,L,1,4
DAL,2011-12-23,Nashville Predators,W,6,3
DAL,2011-12-26,St. Louis Blues,L,3,5
DAL,2011-12-29,Columbus Blue Jackets,L,1,4
DAL,2011-12-31,Boston Bruins,W,4,2
DAL,2012-01-03,Detroit Red Wings,L,4,5
DAL,2012-01-05,Nashville Predators,W,4,1
DAL,2012-01-07,Edmonton Oilers,W,4,1
DAL,2012-01-10,Anaheim Ducks,L,2,5
DAL,2012-01-12,Los Angeles Kings,W,5,4
DAL,2012-01-14,Colorado Avalanche,L,1,2
DAL,2012-01-16,St. Louis Blues,L,0,1
DAL,2012-01-17,Detroit Red Wings,L,2,3
DAL,2012-01-20,Tampa Bay Lightning,L,1,2
DAL,2012-01-21,Minnesota Wild,L,2,5
DAL,2012-01-24,Anaheim Ducks,W,1,0
DAL,2012-02-01,Anaheim Ducks,W,6,2
DAL,2012-02-02,San Jose Sharks,L,2,5
DAL,2012-02-04,Minnesota Wild,W,2,1
DAL,2012-02-07,Phoenix Coyotes,L,1,4
DAL,2012-02-09,Columbus Blue Jackets,W,4,2
DAL,2012-02-10,Buffalo Sabres,L,2,3
DAL,2012-02-12,Los Angeles Kings,L,2,4
DAL,2012-02-14,Detroit Red Wings,L,1,3
DAL,2012-02-16,Calgary Flames,W,3,2
DAL,2012-02-18,Phoenix Coyotes,L,1,2
DAL,2012-02-19,Nashville Predators,L,2,3
DAL,2012-02-21,Montreal Canadiens,W,3,0
DAL,2012-02-23,Chicago Blackhawks,W,3,1
DAL,2012-02-24,Minnesota Wild,W,4,1
DAL,2012-02-26,Vancouver Canucks,W,3,2
DAL,2012-02-29,Pittsburgh Penguins,L,3,4
DAL,2012-03-02,Edmonton Oilers,W,3,1
DAL,2012-03-04,Calgary Flames,W,3,2
DAL,2012-03-06,Vancouver Canucks,W,5,2
DAL,2012-03-08,San Jose Sharks,W,4,3
DAL,2012-03-10,Anaheim Ducks,W,2,0
DAL,2012-03-13,Minnesota Wild,W,1,0
DAL,2012-03-14,Winnipeg Jets,L,2,5
DAL,2012-03-16,Chicago Blackhawks,L,1,4
DAL,2012-03-20,Phoenix Coyotes,W,4,3
DAL,2012-03-22,Vancouver Canucks,L,1,2
DAL,2012-03-24,Calgary Flames,W,4,1
DAL,2012-03-26,Calgary Flames,L,4,5
DAL,2012-03-28,Edmonton Oilers,W,3,1
DAL,2012-03-30,Vancouver Canucks,L,2,5
DAL,2012-03-31,San Jose Sharks,L,0,3
DAL,2012-04-03,San Jose Sharks,L,2,5
DAL,2012-04-05,Nashville Predators,L,0,2
DAL,2012-04-07,St. Louis Blues,L,2,3
DAL,2013-01-19,Phoenix Coyotes,W,4,3
DAL,2013-01-20,Minnesota Wild,L,0,1
DAL,2013-01-22,Detroit Red Wings,W,2,1
DAL,2013-01-24,Chicago Blackhawks,L,2,3
DAL,2013-01-26,St. Louis Blues,L,3,4
DAL,2013-01-28,Columbus Blue Jackets,L,1,2
DAL,2013-01-29,Detroit Red Wings,L,1,4
DAL,2013-02-01,Phoenix Coyotes,W,4,3
DAL,2013-02-02,Phoenix Coyotes,L,0,2
DAL,2013-02-04,Colorado Avalanche,W,3,2
DAL,2013-02-06,Edmonton Oilers,W,3,2
DAL,2013-02-08,Anaheim Ducks,W,3,1
DAL,2013-02-12,Edmonton Oilers,W,4,1
DAL,2013-02-13,Calgary Flames,L,4,7
DAL,2013-02-15,Vancouver Canucks,W,4,3
DAL,2013-02-17,Calgary Flames,L,3,4
DAL,2013-02-21,Vancouver Canucks,L,3,4
DAL,2013-02-23,San Jose Sharks,W,3,1
DAL,2013-02-25,Nashville Predators,L,4,5
DAL,2013-02-26,Columbus Blue Jackets,W,5,4
DAL,2013-02-28,Edmonton Oilers,L,1,5
DAL,2013-03-03,St. Louis Blues,W,4,1
DAL,2013-03-07,Los Angeles Kings,W,5,2
DAL,2013-03-09,Phoenix Coyotes,L,1,2
DAL,2013-03-12,Nashville Predators,L,0,4
DAL,2013-03-14,Anaheim Ducks,L,1,2
DAL,2013-03-16,Chicago Blackhawks,L,1,8
DAL,2013-03-18,Calgary Flames,W,4,3
DAL,2013-03-20,Colorado Avalanche,L,3,4
DAL,2013-03-21,Los Angeles Kings,W,2,0
DAL,2013-03-23,Colorado Avalanche,W,5,2
DAL,2013-03-25,Minnesota Wild,L,4,7
DAL,2013-03-29,Minnesota Wild,W,5,3
DAL,2013-03-31,Los Angeles Kings,L,2,3
DAL,2013-04-01,Anaheim Ducks,L,0,4
DAL,2013-04-03,Anaheim Ducks,L,2,5
DAL,2013-04-05,Anaheim Ducks,W,3,1
DAL,2013-04-07,San Jose Sharks,W,5,4
DAL,2013-04-09,Los Angeles Kings,W,5,1
DAL,2013-04-12,Nashville Predators,W,5,2
DAL,2013-04-13,San Jose Sharks,W,2,1
DAL,2013-04-15,Chicago Blackhawks,L,2,5
DAL,2013-04-18,Vancouver Canucks,W,5,1
DAL,2013-04-19,St. Louis Blues,L,1,2
DAL,2013-04-21,Los Angeles Kings,L,3,4
DAL,2013-04-23,San Jose Sharks,L,2,3
DAL,2013-04-25,Columbus Blue Jackets,L,1,3
DAL,2013-04-27,Detroit Red Wings,L,0,3
DAL,2013-10-03,Florida Panthers,L,2,4
DAL,2013-10-05,Washington Capitals,W,2,1
DAL,2013-10-11,Winnipeg Jets,W,4,1
