NHL Team,Date,Opponent,Result,Team Score,Opponent Score
DET,2011-10-07,Ottawa Senators,W,5,3
DET,2011-10-08,Colorado Avalanche,W,3,0
DET,2011-10-13,Vancouver Canucks,W,2,0
DET,2011-10-15,Minnesota Wild,W,3,2
DET,2011-10-21,Columbus Blue Jackets,W,5,2
DET,2011-10-22,Washington Capitals,L,1,7
DET,2011-10-25,Columbus Blue Jackets,L,1,4
DET,2011-10-28,San Jose Sharks,L,2,4
DET,2011-10-29,Minnesota Wild,L,0,1
DET,2011-11-01,Minnesota Wild,L,1,2
DET,2011-11-03,Calgary Flames,L,1,4
DET,2011-11-05,Anaheim Ducks,W,5,0
DET,2011-11-08,Colorado Avalanche,W,5,2
DET,2011-11-11,Edmonton Oilers,W,3,0
DET,2011-11-12,Dallas Stars,W,5,2
DET,2011-11-15,St. Louis Blues,L,1,2
DET,2011-11-17,San Jose Sharks,L,2,5
DET,2011-11-19,Los Angeles Kings,W,4,1
DET,2011-11-20,Anaheim Ducks,W,4,2
DET,2011-11-23,Calgary Flames,W,5,3
DET,2011-11-25,Boston Bruins,W,3,2
DET,2011-11-26,Nashville Predators,W,4,1
DET,2011-11-30,Tampa Bay Lightning,W,4,2
DET,2011-12-02,Buffalo Sabres,W,4,1
DET,2011-12-04,Colorado Avalanche,L,2,4
DET,2011-12-06,St. Louis Blues,L,2,3
DET,2011-12-08,Phoenix Coyotes,W,5,2
DET,2011-12-10,Winnipeg Jets,W,7,1
DET,2011-12-13,Pittsburgh Penguins,W,4,1
DET,2011-12-15,Nashville Predators,L,3,4
DET,2011-12-17,Los Angeles Kings,W,8,2
DET,2011-12-19,Edmonton Oilers,W,3,2
DET,2011-12-21,Vancouver Canucks,L,2,4
DET,2011-12-22,Calgary Flames,L,2,3
DET,2011-12-26,Nashville Predators,W,4,1
DET,2011-12-27,St. Louis Blues,W,3,2
DET,2011-12-30,Chicago Blackhawks,L,2,3
DET,2011-12-31,St. Louis Blues,W,3,0
DET,2012-01-03,Dallas Stars,W,5,4
DET,2012-01-07,Toronto Maple Leafs,L,3,4
DET,2012-01-08,Chicago Blackhawks,W,3,2
DET,2012-01-10,New York Islanders,L,1,5
DET,2012-01-12,Phoenix Coyotes,W,3,2
DET,2012-01-14,Chicago Blackhawks,W,3,2
DET,2012-01-16,Buffalo Sabres,W,5,0
DET,2012-01-17,Dallas Stars,W,3,2
DET,2012-01-19,Phoenix Coyotes,W,3,2
DET,2012-01-21,Columbus Blue Jackets,W,3,2
DET,2012-01-23,St. Louis Blues,W,3,1
DET,2012-01-25,Montreal Canadiens,L,2,7
DET,2012-01-31,Calgary Flames,W,3,1
DET,2012-02-02,Vancouver Canucks,W,4,3
DET,2012-02-04,Edmonton Oilers,L,4,5
DET,2012-02-06,Phoenix Coyotes,L,1,3
DET,2012-02-08,Edmonton Oilers,W,4,2
DET,2012-02-10,Anaheim Ducks,W,2,1
DET,2012-02-12,Philadelphia Flyers,W,4,3
DET,2012-02-14,Dallas Stars,W,3,1
DET,2012-02-17,Nashville Predators,W,2,1
DET,2012-02-19,San Jose Sharks,W,3,2
DET,2012-02-21,Chicago Blackhawks,L,1,2
DET,2012-02-23,Vancouver Canucks,L,3,4
DET,2012-02-25,Colorado Avalanche,L,3,4
DET,2012-02-28,Columbus Blue Jackets,W,5,2
DET,2012-03-02,Minnesota Wild,W,6,0
DET,2012-03-04,Chicago Blackhawks,L,1,2
DET,2012-03-06,Philadelphia Flyers,L,2,3
DET,2012-03-09,Los Angeles Kings,W,4,3
DET,2012-03-10,Nashville Predators,L,2,3
