NHL Team,Date,Opponent,Result,Team Score,Opponent Score
FLA,2011-10-08,New York Islanders,W,2,0
FLA,2011-10-11,Pittsburgh Penguins,L,2,4
FLA,2011-10-15,Tampa Bay Lightning,W,3,2
FLA,2011-10-17,Tampa Bay Lightning,W,7,4
FLA,2011-10-18,Washington Capitals,L,0,3
FLA,2011-10-20,Buffalo Sabres,L,0,3
FLA,2011-10-22,New York Islanders,W,4,2
FLA,2011-10-24,Montreal Canadiens,W,2,1
FLA,2011-10-27,Ottawa Senators,L,3,4
FLA,2011-10-29,Buffalo Sabres,W,3,2
FLA,2011-10-31,Winnipeg Jets,L,3,4
FLA,2011-11-03,Chicago Blackhawks,L,2,3
FLA,2011-11-06,Tampa Bay Lightning,L,3,4
FLA,2011-11-08,Toronto Maple Leafs,W,5,1
FLA,2011-11-10,Winnipeg Jets,W,5,2
FLA,2011-11-13,Philadelphia Flyers,L,2,3
FLA,2011-11-15,Dallas Stars,W,6,0
FLA,2011-11-17,St. Louis Blues,L,1,4
FLA,2011-11-19,Pittsburgh Penguins,W,3,2
FLA,2011-11-21,New Jersey Devils,W,4,3
FLA,2011-11-23,New York Rangers,W,2,1
FLA,2011-11-25,Tampa Bay Lightning,L,1,2
FLA,2011-11-26,Tampa Bay Lightning,L,1,5
FLA,2011-11-29,Carolina Hurricanes,W,3,1
FLA,2011-12-01,Los Angeles Kings,L,1,2
FLA,2011-12-03,San Jose Sharks,W,5,3
FLA,2011-12-05,Washington Capitals,W,5,4
FLA,2011-12-08,Boston Bruins,W,2,0
FLA,2011-12-09,Buffalo Sabres,L,1,2
FLA,2011-12-11,New York Rangers,L,1,6
FLA,2011-12-13,New Jersey Devils,L,2,3
FLA,2011-12-16,Calgary Flames,W,3,2
FLA,2011-12-18,Carolina Hurricanes,W,3,2
FLA,2011-12-20,Phoenix Coyotes,L,1,2
FLA,2011-12-22,Ottawa Senators,L,3,4
FLA,2011-12-23,Boston Bruins,L,0,8
FLA,2011-12-27,Toronto Maple Leafs,W,5,3
FLA,2011-12-30,New York Rangers,L,1,4
FLA,2011-12-31,Montreal Canadiens,W,3,2
FLA,2012-01-05,New York Rangers,L,2,3
FLA,2012-01-06,New Jersey Devils,L,2,5
FLA,2012-01-09,Vancouver Canucks,W,2,1
FLA,2012-01-13,Pittsburgh Penguins,L,1,4
FLA,2012-01-16,Boston Bruins,L,2,3
FLA,2012-01-18,Colorado Avalanche,L,3,4
FLA,2012-01-20,Chicago Blackhawks,L,1,3
FLA,2012-01-21,Winnipeg Jets,W,4,3
FLA,2012-01-24,Philadelphia Flyers,L,2,3
FLA,2012-02-01,Washington Capitals,W,4,2
FLA,2012-02-03,Winnipeg Jets,W,2,1
FLA,2012-02-04,Tampa Bay Lightning,L,3,6
FLA,2012-02-07,Washington Capitals,L,0,4
FLA,2012-02-09,Los Angeles Kings,W,3,1
FLA,2012-02-11,New Jersey Devils,W,3,1
FLA,2012-02-12,New York Islanders,W,4,1
FLA,2012-02-15,Ottawa Senators,L,2,6
FLA,2012-02-17,Washington Capitals,L,1,2
FLA,2012-02-19,Anaheim Ducks,L,0,2
FLA,2012-02-23,Minnesota Wild,L,2,3
FLA,2012-02-25,Carolina Hurricanes,W,3,2
FLA,2012-02-26,Montreal Canadiens,W,4,2
FLA,2012-02-28,Toronto Maple Leafs,W,5,3
FLA,2012-03-01,Winnipeg Jets,L,0,7
FLA,2012-03-03,Nashville Predators,L,1,3
FLA,2012-03-04,Ottawa Senators,W,4,2
FLA,2012-03-08,Philadelphia Flyers,L,0,5
FLA,2012-03-09,Pittsburgh Penguins,L,1,2
FLA,2012-03-11,Carolina Hurricanes,W,2,0
FLA,2012-03-13,Toronto Maple Leafs,W,5,2
FLA,2012-03-15,Boston Bruins,W,6,2
FLA,2012-03-17,Buffalo Sabres,W,3,2
FLA,2012-03-20,Philadelphia Flyers,W,2,1
FLA,2012-03-21,Carolina Hurricanes,L,1,3
FLA,2012-03-23,Edmonton Oilers,L,1,2
FLA,2012-03-25,New York Islanders,L,2,3
FLA,2012-03-27,Montreal Canadiens,W,3,2
FLA,2012-03-29,Minnesota Wild,L,2,3
FLA,2012-03-30,Columbus Blue Jackets,L,1,4
FLA,2012-04-01,Detroit Red Wings,L,1,2
FLA,2012-04-03,Winnipeg Jets,L,4,5
FLA,2012-04-05,Washington Capitals,L,2,4
FLA,2012-04-07,Carolina Hurricanes,W,4,1
FLA,2013-01-19,Carolina Hurricanes,W,5,1
FLA,2013-01-21,Ottawa Senators,L,0,4
FLA,2013-01-22,Montreal Canadiens,L,1,4
FLA,2013-01-24,Ottawa Senators,L,1,3
FLA,2013-01-26,Philadelphia Flyers,L,1,7
FLA,2013-01-29,Tampa Bay Lightning,L,2,5
FLA,2013-01-31,Winnipeg Jets,W,6,3
FLA,2013-02-03,Buffalo Sabres,W,4,3
FLA,2013-02-05,Winnipeg Jets,L,2,3
FLA,2013-02-07,Philadelphia Flyers,W,3,2
