NHL Team,Date,Opponent,Result,Team Score,Opponent Score
LAK,2011-10-07,New York Rangers,W,3,2
LAK,2011-10-08,Buffalo Sabres,L,2,4
LAK,2011-10-13,New Jersey Devils,L,1,2
LAK,2011-10-15,Philadelphia Flyers,W,3,2
LAK,2011-10-18,St. Louis Blues,W,5,0
LAK,2011-10-20,Phoenix Coyotes,W,2,0
LAK,2011-10-22,Dallas Stars,W,1,0
LAK,2011-10-25,New Jersey Devils,L,0,3
LAK,2011-10-27,Dallas Stars,W,5,3
LAK,2011-10-29,Phoenix Coyotes,L,2,3
LAK,2011-10-30,Colorado Avalanche,L,2,3
LAK,2011-11-03,Edmonton Oilers,L,0,3
LAK,2011-11-05,Pittsburgh Penguins,L,2,3
LAK,2011-11-07,San Jose Sharks,L,2,4
LAK,2011-11-08,Nashville Predators,W,4,3
LAK,2011-11-10,Vancouver Canucks,L,2,3
LAK,2011-11-12,Minnesota Wild,W,5,2
LAK,2011-11-16,Anaheim Ducks,W,2,1
LAK,2011-11-17,Anaheim Ducks,W,5,3
LAK,2011-11-19,Detroit Red Wings,L,1,4
LAK,2011-11-22,St. Louis Blues,W,3,2
LAK,2011-11-23,Dallas Stars,L,2,3
LAK,2011-11-26,Chicago Blackhawks,L,1,2
LAK,2011-11-28,San Jose Sharks,W,2,0
LAK,2011-12-01,Florida Panthers,W,2,1
LAK,2011-12-03,Montreal Canadiens,L,1,2
LAK,2011-12-06,Anaheim Ducks,L,2,3
LAK,2011-12-08,Minnesota Wild,L,2,4
LAK,2011-12-10,Dallas Stars,L,1,2
LAK,2011-12-13,Boston Bruins,L,0,3
LAK,2011-12-15,Columbus Blue Jackets,W,2,1
LAK,2011-12-17,Detroit Red Wings,L,2,8
LAK,2011-12-19,Toronto Maple Leafs,W,3,2
LAK,2011-12-22,Anaheim Ducks,W,3,2
LAK,2011-12-23,San Jose Sharks,L,1,2
LAK,2011-12-26,Phoenix Coyotes,W,4,3
LAK,2011-12-28,Chicago Blackhawks,W,2,0
LAK,2011-12-29,Winnipeg Jets,L,0,1
LAK,2011-12-31,Vancouver Canucks,W,4,1
LAK,2012-01-02,Colorado Avalanche,L,1,2
LAK,2012-01-05,Phoenix Coyotes,W,1,0
LAK,2012-01-07,Columbus Blue Jackets,L,0,1
LAK,2012-01-09,Washington Capitals,W,5,2
LAK,2012-01-12,Dallas Stars,L,4,5
LAK,2012-01-14,Calgary Flames,W,4,1
LAK,2012-01-15,Edmonton Oilers,L,1,2
LAK,2012-01-17,Vancouver Canucks,W,3,2
LAK,2012-01-19,Calgary Flames,L,1,2
LAK,2012-01-21,Colorado Avalanche,L,1,3
LAK,2012-01-23,Ottawa Senators,W,4,1
LAK,2012-02-01,Columbus Blue Jackets,W,3,2
LAK,2012-02-03,St. Louis Blues,L,0,1
LAK,2012-02-04,Carolina Hurricanes,L,1,2
LAK,2012-02-07,Tampa Bay Lightning,W,3,1
LAK,2012-02-09,Florida Panthers,L,1,3
LAK,2012-02-11,New York Islanders,L,1,2
LAK,2012-02-12,Dallas Stars,W,4,2
