NHL Team,Date,Opponent,Result,Team Score,Opponent Score
MIN,2011-10-08,Columbus Blue Jackets,W,4,2
MIN,2011-10-10,New York Islanders,L,1,2
MIN,2011-10-11,Ottawa Senators,L,3,4
MIN,2011-10-13,Edmonton Oilers,W,2,1
MIN,2011-10-15,Detroit Red Wings,L,2,3
MIN,2011-10-18,Pittsburgh Penguins,L,2,4
MIN,2011-10-20,Edmonton Oilers,W,2,1
MIN,2011-10-22,Vancouver Canucks,L,2,3
MIN,2011-10-27,Anaheim Ducks,L,2,3
MIN,2011-10-29,Detroit Red Wings,W,1,0
MIN,2011-11-01,Detroit Red Wings,W,2,1
MIN,2011-11-03,Vancouver Canucks,W,5,1
MIN,2011-11-05,St. Louis Blues,W,2,1
MIN,2011-11-08,Calgary Flames,W,3,0
MIN,2011-11-10,San Jose Sharks,L,1,3
MIN,2011-11-12,Los Angeles Kings,L,2,5
MIN,2011-11-13,Anaheim Ducks,W,3,2
MIN,2011-11-15,Columbus Blue Jackets,W,4,2
MIN,2011-11-17,Colorado Avalanche,W,1,0
MIN,2011-11-19,St. Louis Blues,W,3,2
MIN,2011-11-23,Nashville Predators,W,3,2
MIN,2011-11-25,Edmonton Oilers,L,2,5
MIN,2011-11-27,Calgary Flames,L,2,5
MIN,2011-11-28,Tampa Bay Lightning,W,3,1
MIN,2011-11-30,Edmonton Oilers,W,3,2
MIN,2011-12-02,New Jersey Devils,W,4,2
MIN,2011-12-04,Anaheim Ducks,W,5,3
MIN,2011-12-06,San Jose Sharks,W,2,1
MIN,2011-12-08,Los Angeles Kings,W,4,2
MIN,2011-12-10,Phoenix Coyotes,W,4,1
MIN,2011-12-13,Winnipeg Jets,L,1,2
MIN,2011-12-14,Chicago Blackhawks,L,3,4
MIN,2011-12-17,New York Islanders,L,1,2
MIN,2011-12-19,Vancouver Canucks,L,0,4
MIN,2011-12-20,Calgary Flames,L,1,2
MIN,2011-12-22,Edmonton Oilers,L,1,4
MIN,2011-12-26,Colorado Avalanche,L,2,4
MIN,2011-12-28,Nashville Predators,L,1,2
MIN,2011-12-29,Edmonton Oilers,W,4,3
MIN,2011-12-31,Phoenix Coyotes,L,2,4
MIN,2012-01-04,Vancouver Canucks,L,0,3
MIN,2012-01-07,Calgary Flames,L,1,3
MIN,2012-01-10,San Jose Sharks,W,5,4
MIN,2012-01-12,Chicago Blackhawks,L,2,5
MIN,2012-01-14,St. Louis Blues,L,2,3
MIN,2012-01-17,Philadelphia Flyers,L,1,5
MIN,2012-01-19,Toronto Maple Leafs,L,1,4
MIN,2012-01-21,Dallas Stars,W,5,2
MIN,2012-01-24,Colorado Avalanche,W,3,2
MIN,2012-01-31,Nashville Predators,L,4,5
MIN,2012-02-02,Colorado Avalanche,W,1,0
MIN,2012-02-04,Dallas Stars,L,1,2
MIN,2012-02-07,Columbus Blue Jackets,L,1,3
MIN,2012-02-09,Vancouver Canucks,L,2,5
MIN,2012-02-11,Columbus Blue Jackets,L,1,3
MIN,2012-02-14,Anaheim Ducks,L,1,2
MIN,2012-02-16,Winnipeg Jets,L,3,4
MIN,2012-02-18,St. Louis Blues,L,0,4
MIN,2012-02-19,Boston Bruins,W,2,0
MIN,2012-02-23,Florida Panthers,W,3,2
MIN,2012-02-24,Dallas Stars,L,1,4
MIN,2012-02-26,San Jose Sharks,W,4,3
MIN,2012-02-28,Los Angeles Kings,L,0,4
MIN,2012-03-01,Montreal Canadiens,L,4,5
MIN,2012-03-02,Detroit Red Wings,L,0,6
MIN,2012-03-04,Colorado Avalanche,L,0,2
MIN,2012-03-06,Colorado Avalanche,L,1,7
MIN,2012-03-08,Phoenix Coyotes,W,3,2
