NHL Team,Date,Opponent,Result,Team Score,Opponent Score
NYI,2011-10-08,Florida Panthers,L,0,2
NYI,2011-10-10,Minnesota Wild,W,2,1
NYI,2011-10-13,Tampa Bay Lightning,W,5,1
NYI,2011-10-15,New York Rangers,W,4,2
NYI,2011-10-20,Tampa Bay Lightning,L,1,4
NYI,2011-10-22,Florida Panthers,L,2,4
NYI,2011-10-25,Pittsburgh Penguins,L,0,3
NYI,2011-10-27,Pittsburgh Penguins,L,2,3
NYI,2011-10-29,San Jose Sharks,L,2,3
NYI,2011-11-03,Winnipeg Jets,L,0,3
NYI,2011-11-05,Washington Capitals,W,5,3
NYI,2011-11-07,Boston Bruins,L,2,6
NYI,2011-11-10,Colorado Avalanche,L,3,4
NYI,2011-11-13,Vancouver Canucks,L,1,4
NYI,2011-11-15,New York Rangers,L,2,4
NYI,2011-11-17,Montreal Canadiens,W,4,3
NYI,2011-11-19,Boston Bruins,L,0,6
NYI,2011-11-21,Pittsburgh Penguins,L,0,5
NYI,2011-11-23,Philadelphia Flyers,L,3,4
NYI,2011-11-25,New Jersey Devils,L,0,1
NYI,2011-11-26,New Jersey Devils,W,3,2
NYI,2011-11-29,Buffalo Sabres,W,2,1
NYI,2011-12-02,Chicago Blackhawks,L,4,5
NYI,2011-12-03,Dallas Stars,W,5,4
NYI,2011-12-06,Tampa Bay Lightning,W,5,1
NYI,2011-12-08,Chicago Blackhawks,L,2,3
NYI,2011-12-10,Pittsburgh Penguins,L,3,6
NYI,2011-12-13,Montreal Canadiens,L,3,5
NYI,2011-12-15,Dallas Stars,L,2,3
NYI,2011-12-17,Minnesota Wild,W,2,1
NYI,2011-12-20,Winnipeg Jets,W,3,2
NYI,2011-12-22,New York Rangers,L,2,4
NYI,2011-12-23,Toronto Maple Leafs,L,3,5
NYI,2011-12-26,New York Rangers,L,0,3
NYI,2011-12-29,Calgary Flames,W,3,1
NYI,2011-12-31,Edmonton Oilers,W,4,1
NYI,2012-01-03,Carolina Hurricanes,W,4,3
NYI,2012-01-06,Anaheim Ducks,L,2,4
NYI,2012-01-07,Phoenix Coyotes,L,1,5
NYI,2012-01-10,Detroit Red Wings,W,5,1
NYI,2012-01-12,Philadelphia Flyers,L,2,3
NYI,2012-01-14,Buffalo Sabres,W,4,2
NYI,2012-01-16,Nashville Predators,L,1,3
NYI,2012-01-17,Washington Capitals,W,3,0
NYI,2012-01-19,Philadelphia Flyers,W,4,1
NYI,2012-01-21,Carolina Hurricanes,W,2,1
NYI,2012-01-23,Toronto Maple Leafs,L,0,3
NYI,2012-01-24,Toronto Maple Leafs,L,3,4
NYI,2012-01-31,Carolina Hurricanes,W,5,2
NYI,2012-02-03,Ottawa Senators,W,2,1
NYI,2012-02-04,Buffalo Sabres,L,3,4
NYI,2012-02-07,Philadelphia Flyers,W,1,0
NYI,2012-02-09,Montreal Canadiens,L,2,4
NYI,2012-02-11,Los Angeles Kings,W,2,1
NYI,2012-02-12,Florida Panthers,L,1,4
NYI,2012-02-14,Winnipeg Jets,W,3,1
NYI,2012-02-16,St. Louis Blues,L,1,5
NYI,2012-02-18,Carolina Hurricanes,W,4,3
NYI,2012-02-20,Ottawa Senators,L,0,6
NYI,2012-02-21,Buffalo Sabres,L,1,2
NYI,2012-02-24,New York Rangers,W,4,3
NYI,2012-02-26,Ottawa Senators,L,2,5
NYI,2012-02-28,Washington Capitals,L,2,3
NYI,2012-03-01,Philadelphia Flyers,L,3,6
NYI,2012-03-03,Boston Bruins,W,3,2
NYI,2012-03-04,New Jersey Devils,W,1,0
NYI,2012-03-08,New Jersey Devils,L,1,5
NYI,2012-03-10,New Jersey Devils,L,1,2
NYI,2012-03-11,New York Rangers,L,3,4
NYI,2012-03-13,Washington Capitals,L,4,5
NYI,2012-03-15,Philadelphia Flyers,L,2,3
NYI,2012-03-17,Montreal Canadiens,W,3,2
NYI,2012-03-20,Toronto Maple Leafs,W,5,2
NYI,2012-03-24,Tampa Bay Lightning,L,3,4
NYI,2012-03-25,Florida Panthers,W,3,2
NYI,2012-03-27,Pittsburgh Penguins,W,5,3
NYI,2012-03-29,Pittsburgh Penguins,W,5,3
NYI,2012-03-31,Boston Bruins,L,3,6
NYI,2012-04-01,Ottawa Senators,L,1,5
NYI,2012-04-03,New Jersey Devils,L,1,3
NYI,2012-04-05,Winnipeg Jets,W,5,4
NYI,2012-04-07,Columbus Blue Jackets,L,3,7
NYI,2013-01-19,New Jersey Devils,L,1,2
NYI,2013-01-21,Tampa Bay Lightning,W,4,3
NYI,2013-01-24,Toronto Maple Leafs,W,7,4
NYI,2013-01-25,Boston Bruins,L,2,4
NYI,2013-01-27,Winnipeg Jets,L,4,5
NYI,2013-01-29,Pittsburgh Penguins,W,4,1
NYI,2013-01-31,New Jersey Devils,W,5,4
NYI,2013-02-03,New Jersey Devils,L,0,3
NYI,2013-02-05,Pittsburgh Penguins,L,2,4
NYI,2013-02-07,New York Rangers,L,1,4
NYI,2013-02-09,Buffalo Sabres,L,2,3
NYI,2013-02-11,Carolina Hurricanes,L,4,6
NYI,2013-02-14,New York Rangers,W,4,3
NYI,2013-02-16,New Jersey Devils,W,5,1
NYI,2013-02-18,Philadelphia Flyers,L,0,7
NYI,2013-02-19,Ottawa Senators,L,1,3
NYI,2013-02-21,Montreal Canadiens,W,4,3
NYI,2013-02-23,Buffalo Sabres,W,4,0
NYI,2013-02-24,Carolina Hurricanes,L,2,4
NYI,2013-02-26,Boston Bruins,L,1,4
NYI,2013-02-28,Toronto Maple Leafs,L,4,5
NYI,2013-03-03,Ottawa Senators,W,3,2
NYI,2013-03-05,Montreal Canadiens,W,6,3
NYI,2013-03-07,New York Rangers,L,1,2
NYI,2013-03-09,Washington Capitals,W,5,2
NYI,2013-03-10,Pittsburgh Penguins,L,1,6
NYI,2013-03-14,Tampa Bay Lightning,W,2,0
NYI,2013-03-16,Florida Panthers,W,4,3
NYI,2013-03-19,Ottawa Senators,L,3,5
NYI,2013-03-21,Montreal Canadiens,L,2,5
NYI,2013-03-22,Pittsburgh Penguins,L,2,4
NYI,2013-03-24,Florida Panthers,W,3,0
NYI,2013-03-26,Washington Capitals,W,3,2
NYI,2013-03-28,Philadelphia Flyers,W,4,3
NYI,2013-03-30,Pittsburgh Penguins,L,0,2
NYI,2013-04-01,New Jersey Devils,W,3,1
NYI,2013-04-02,Winnipeg Jets,W,5,2
NYI,2013-04-04,Washington Capitals,L,1,2
NYI,2013-04-06,Tampa Bay Lightning,W,4,2
NYI,2013-04-09,Philadelphia Flyers,W,4,1
NYI,2013-04-11,Boston Bruins,W,2,1
NYI,2013-04-13,New York Rangers,L,0,1
NYI,2013-04-16,Florida Panthers,W,5,2
NYI,2013-04-18,Toronto Maple Leafs,W,5,3
NYI,2013-04-20,Winnipeg Jets,W,5,4
NYI,2013-04-23,Carolina Hurricanes,L,3,4
NYI,2013-04-25,Philadelphia Flyers,L,1,2
NYI,2013-04-26,Buffalo Sabres,L,1,2
NYI,2013-10-04,New Jersey Devils,W,4,3
NYI,2013-10-05,Columbus Blue Jackets,L,2,3
NYI,2013-10-08,Phoenix Coyotes,W,6,1
NYI,2013-10-11,Chicago Blackhawks,L,2,3
NYI,2013-10-12,Nashville Predators,L,2,3
NYI,2013-10-15,Buffalo Sabres,L,3,4
NYI,2013-10-17,Edmonton Oilers,W,3,2
NYI,2013-10-19,Carolina Hurricanes,L,3,4
NYI,2013-10-22,Vancouver Canucks,L,4,5
NYI,2013-10-25,Pittsburgh Penguins,W,4,3
NYI,2013-10-26,Philadelphia Flyers,L,2,5
NYI,2013-10-29,New York Rangers,L,2,3
NYI,2013-11-01,Ottawa Senators,W,5,4
NYI,2013-11-02,Boston Bruins,W,3,1
NYI,2013-11-05,Washington Capitals,L,2,6
NYI,2013-11-07,Carolina Hurricanes,L,0,1
NYI,2013-11-09,Columbus Blue Jackets,L,2,5
NYI,2013-11-10,Montreal Canadiens,L,2,4
NYI,2013-11-12,Nashville Predators,W,3,1
NYI,2013-11-14,Los Angeles Kings,L,2,3
NYI,2013-11-16,Detroit Red Wings,W,5,4
NYI,2013-11-19,Toronto Maple Leafs,L,2,5
NYI,2013-11-22,Pittsburgh Penguins,L,3,4
NYI,2013-11-23,Philadelphia Flyers,L,2,5
NYI,2013-11-27,Winnipeg Jets,L,2,3
NYI,2013-11-29,Detroit Red Wings,L,0,5
NYI,2013-11-30,Washington Capitals,L,2,3
NYI,2013-12-03,Pittsburgh Penguins,L,2,3
NYI,2013-12-05,St. Louis Blues,L,1,5
NYI,2013-12-07,Los Angeles Kings,L,0,3
NYI,2013-12-09,Anaheim Ducks,L,2,5
NYI,2013-12-10,San Jose Sharks,W,3,2
NYI,2013-12-12,Phoenix Coyotes,L,3,6
NYI,2013-12-14,Montreal Canadiens,L,0,1
NYI,2013-12-17,Tampa Bay Lightning,L,2,3
NYI,2013-12-20,New York Rangers,W,5,3
NYI,2013-12-21,Anaheim Ducks,L,3,5
NYI,2013-12-23,Detroit Red Wings,W,3,0
NYI,2013-12-28,New Jersey Devils,L,1,2
NYI,2013-12-29,Minnesota Wild,W,5,4
NYI,2013-12-31,Boston Bruins,W,5,3
NYI,2014-01-02,Chicago Blackhawks,W,3,2
NYI,2014-01-04,Carolina Hurricanes,L,2,3
NYI,2014-01-06,Dallas Stars,W,7,3
NYI,2014-01-07,Toronto Maple Leafs,W,5,3
NYI,2014-01-10,Colorado Avalanche,W,2,1
NYI,2014-01-12,Dallas Stars,W,4,2
NYI,2014-01-14,Florida Panthers,L,2,4
NYI,2014-01-16,Tampa Bay Lightning,W,2,1
NYI,2014-01-18,Philadelphia Flyers,L,4,6
NYI,2014-01-20,Philadelphia Flyers,W,4,3
NYI,2014-01-21,New York Rangers,W,5,3
NYI,2014-01-23,Pittsburgh Penguins,L,4,6
NYI,2014-01-25,St. Louis Blues,L,3,4
NYI,2014-01-27,Boston Bruins,L,3,6
NYI,2014-01-29,New York Rangers,L,1,2
NYI,2014-01-31,New York Rangers,L,1,4
NYI,2014-02-04,Washington Capitals,W,1,0
NYI,2014-02-06,Calgary Flames,L,2,4
NYI,2014-02-08,Colorado Avalanche,L,2,5
NYI,2014-02-27,Toronto Maple Leafs,W,5,4
NYI,2014-03-01,New Jersey Devils,L,1,6
NYI,2014-03-02,Florida Panthers,L,3,5
NYI,2014-03-04,Winnipeg Jets,W,3,2
NYI,2014-03-06,Edmonton Oilers,L,2,3
NYI,2014-03-07,Calgary Flames,L,3,4
NYI,2014-03-10,Vancouver Canucks,W,7,4
NYI,2014-03-14,San Jose Sharks,L,3,4
NYI,2014-03-15,Buffalo Sabres,W,4,1
NYI,2014-03-18,Minnesota Wild,L,0,6
NYI,2014-03-23,Columbus Blue Jackets,W,2,0
NYI,2014-03-25,Carolina Hurricanes,W,5,4
NYI,2014-03-27,Tampa Bay Lightning,L,2,3
NYI,2014-03-29,New Jersey Devils,W,2,1
NYI,2014-04-01,Florida Panthers,W,4,2
NYI,2014-04-02,Ottawa Senators,W,2,1
NYI,2014-04-05,Washington Capitals,L,3,4
NYI,2014-04-06,Columbus Blue Jackets,L,0,4
NYI,2014-04-08,Ottawa Senators,L,1,4
NYI,2014-04-10,Montreal Canadiens,W,2,0
NYI,2014-04-11,New Jersey Devils,W,3,2
NYI,2014-04-13,Buffalo Sabres,W,4,3
NYI,2014-10-10,Carolina Hurricanes,W,5,3
NYI,2014-10-11,Carolina Hurricanes,W,4,3
NYI,2014-10-14,New York Rangers,W,6,3
NYI,2014-10-16,San Jose Sharks,W,4,3
NYI,2014-10-18,Pittsburgh Penguins,L,1,3
NYI,2014-10-21,Toronto Maple Leafs,L,2,5
NYI,2014-10-23,Boston Bruins,W,3,2
NYI,2014-10-25,Dallas Stars,W,7,5
NYI,2014-10-28,Winnipeg Jets,L,3,4
NYI,2014-10-30,Colorado Avalanche,L,0,5
NYI,2014-11-01,San Jose Sharks,L,1,3
NYI,2014-11-05,Anaheim Ducks,W,3,2
