NHL Team,Date,Opponent,Result,Team Score,Opponent Score
NYR,2011-10-07,Los Angeles Kings,L,2,3
NYR,2011-10-08,Anaheim Ducks,L,1,2
NYR,2011-10-15,New York Islanders,L,2,4
NYR,2011-10-18,Vancouver Canucks,W,4,0
NYR,2011-10-20,Calgary Flames,W,3,2
NYR,2011-10-22,Edmonton Oilers,L,0,2
NYR,2011-10-24,Winnipeg Jets,W,2,1
NYR,2011-10-27,Toronto Maple Leafs,L,2,4
NYR,2011-10-29,Ottawa Senators,L,4,5
NYR,2011-10-31,San Jose Sharks,W,5,2
NYR,2011-11-03,Anaheim Ducks,W,2,1
NYR,2011-11-05,Montreal Canadiens,W,5,3
NYR,2011-11-06,Winnipeg Jets,W,3,0
NYR,2011-11-09,Ottawa Senators,W,3,2
NYR,2011-11-11,Carolina Hurricanes,W,5,1
NYR,2011-11-15,New York Islanders,W,4,2
NYR,2011-11-19,Montreal Canadiens,L,0,4
NYR,2011-11-23,Florida Panthers,L,1,2
NYR,2011-11-25,Washington Capitals,W,6,3
NYR,2011-11-26,Philadelphia Flyers,W,2,0
NYR,2011-11-29,Pittsburgh Penguins,W,4,3
NYR,2011-12-01,Carolina Hurricanes,W,5,3
NYR,2011-12-03,Tampa Bay Lightning,W,4,2
NYR,2011-12-05,Toronto Maple Leafs,L,2,4
NYR,2011-12-08,Tampa Bay Lightning,L,2,3
NYR,2011-12-10,Buffalo Sabres,W,4,1
NYR,2011-12-11,Florida Panthers,W,6,1
NYR,2011-12-13,Dallas Stars,L,0,1
NYR,2011-12-15,St. Louis Blues,L,1,4
NYR,2011-12-17,Phoenix Coyotes,W,3,2
NYR,2011-12-20,New Jersey Devils,W,4,1
NYR,2011-12-22,New York Islanders,W,4,2
NYR,2011-12-23,Philadelphia Flyers,W,4,2
NYR,2011-12-26,New York Islanders,W,3,0
NYR,2011-12-28,Washington Capitals,L,1,4
NYR,2011-12-30,Florida Panthers,W,4,1
NYR,2012-01-02,Philadelphia Flyers,W,3,2
NYR,2012-01-05,Florida Panthers,W,3,2
NYR,2012-01-06,Pittsburgh Penguins,W,3,1
NYR,2012-01-10,Phoenix Coyotes,W,2,1
NYR,2012-01-12,Ottawa Senators,L,0,3
NYR,2012-01-14,Toronto Maple Leafs,W,3,0
NYR,2012-01-15,Montreal Canadiens,L,1,4
NYR,2012-01-17,Nashville Predators,W,3,0
NYR,2012-01-19,Pittsburgh Penguins,L,1,4
NYR,2012-01-21,Boston Bruins,W,3,2
NYR,2012-01-24,Winnipeg Jets,W,3,0
NYR,2012-01-31,New Jersey Devils,L,3,4
NYR,2012-02-01,Buffalo Sabres,W,1,0
NYR,2012-02-05,Philadelphia Flyers,W,5,2
NYR,2012-02-07,New Jersey Devils,L,0,1
NYR,2012-02-09,Tampa Bay Lightning,W,4,3
NYR,2012-02-11,Philadelphia Flyers,W,5,2
NYR,2012-02-12,Washington Capitals,W,3,2
NYR,2012-02-14,Boston Bruins,W,3,0
NYR,2012-02-16,Chicago Blackhawks,L,2,4
NYR,2012-02-19,Columbus Blue Jackets,W,3,2
NYR,2012-02-21,Pittsburgh Penguins,L,0,2
NYR,2012-02-24,New York Islanders,L,3,4
NYR,2012-02-25,Buffalo Sabres,W,3,2
NYR,2012-02-27,New Jersey Devils,W,2,0
NYR,2012-03-01,Carolina Hurricanes,W,3,2
NYR,2012-03-02,Tampa Bay Lightning,L,3,4
NYR,2012-03-04,Boston Bruins,W,4,3
NYR,2012-03-06,New Jersey Devils,L,1,4
NYR,2012-03-08,Ottawa Senators,L,1,4
NYR,2012-03-09,Chicago Blackhawks,L,3,4
NYR,2012-03-11,New York Islanders,W,4,3
NYR,2012-03-13,Carolina Hurricanes,W,4,2
NYR,2012-03-15,Pittsburgh Penguins,L,2,5
NYR,2012-03-17,Colorado Avalanche,L,1,3
NYR,2012-03-19,New Jersey Devils,W,4,2
NYR,2012-03-21,Detroit Red Wings,W,2,1
NYR,2012-03-23,Buffalo Sabres,L,1,4
NYR,2012-03-24,Toronto Maple Leafs,W,4,3
NYR,2012-03-27,Minnesota Wild,W,3,2
NYR,2012-03-28,Winnipeg Jets,W,4,2
NYR,2012-03-30,Montreal Canadiens,W,4,1
NYR,2012-04-01,Boston Bruins,L,1,2
NYR,2012-04-03,Philadelphia Flyers,W,5,3
NYR,2012-04-05,Pittsburgh Penguins,L,2,5
NYR,2012-04-07,Washington Capitals,L,1,4
NYR,2013-01-19,Boston Bruins,L,1,3
NYR,2013-01-20,Pittsburgh Penguins,L,3,6
NYR,2013-01-23,Boston Bruins,W,4,3
NYR,2013-01-24,Philadelphia Flyers,L,1,2
NYR,2013-01-26,Toronto Maple Leafs,W,5,2
NYR,2013-01-29,Philadelphia Flyers,W,2,1
NYR,2013-01-31,Pittsburgh Penguins,L,0,3
NYR,2013-02-02,Tampa Bay Lightning,W,3,2
NYR,2013-02-05,New Jersey Devils,L,1,3
NYR,2013-02-07,New York Islanders,W,4,1
NYR,2013-02-10,Tampa Bay Lightning,W,5,1
NYR,2013-02-12,Boston Bruins,W,4,3
NYR,2013-02-14,New York Islanders,L,3,4
NYR,2013-02-17,Washington Capitals,W,2,1
NYR,2013-02-19,Montreal Canadiens,L,1,3
NYR,2013-02-21,Ottawa Senators,L,2,3
NYR,2013-02-23,Montreal Canadiens,L,0,3
NYR,2013-02-26,Winnipeg Jets,L,3,4
NYR,2013-02-28,Tampa Bay Lightning,W,4,1
NYR,2013-03-03,Buffalo Sabres,W,3,2
NYR,2013-03-05,Philadelphia Flyers,W,4,2
NYR,2013-03-07,New York Islanders,W,2,1
NYR,2013-03-08,Ottawa Senators,L,2,3
NYR,2013-03-10,Washington Capitals,W,4,1
NYR,2013-03-12,Buffalo Sabres,L,1,3
NYR,2013-03-14,Winnipeg Jets,L,1,3
NYR,2013-03-16,Pittsburgh Penguins,L,0,3
NYR,2013-03-18,Carolina Hurricanes,W,2,1
NYR,2013-03-19,New Jersey Devils,W,3,2
NYR,2013-03-21,Florida Panthers,L,1,3
NYR,2013-03-24,Washington Capitals,L,2,3
NYR,2013-03-26,Philadelphia Flyers,W,5,2
NYR,2013-03-28,Ottawa Senators,L,0,3
NYR,2013-03-30,Montreal Canadiens,L,0,3
NYR,2013-04-01,Winnipeg Jets,W,4,2
NYR,2013-04-03,Pittsburgh Penguins,W,6,1
NYR,2013-04-05,Pittsburgh Penguins,L,1,2
NYR,2013-04-06,Carolina Hurricanes,W,4,1
NYR,2013-04-08,Toronto Maple Leafs,L,3,4
NYR,2013-04-10,Toronto Maple Leafs,W,3,2
NYR,2013-04-13,New York Islanders,W,1,0
NYR,2013-04-16,Philadelphia Flyers,L,2,4
NYR,2013-04-18,Florida Panthers,W,6,1
NYR,2013-04-19,Buffalo Sabres,W,8,4
NYR,2013-04-21,New Jersey Devils,W,4,1
NYR,2013-04-23,Florida Panthers,L,2,3
NYR,2013-04-25,Carolina Hurricanes,W,4,3
NYR,2013-04-27,New Jersey Devils,W,4,0
NYR,2013-10-03,Phoenix Coyotes,L,1,4
NYR,2013-10-07,Los Angeles Kings,W,3,1
NYR,2013-10-08,San Jose Sharks,L,2,9
NYR,2013-10-10,Anaheim Ducks,L,0,6
NYR,2013-10-12,St. Louis Blues,L,3,5
NYR,2013-10-16,Washington Capitals,W,2,0
NYR,2013-10-19,New Jersey Devils,L,0,4
NYR,2013-10-24,Philadelphia Flyers,L,1,2
