NHL Team,Date,Opponent,Result,Team Score,Opponent Score
PHI,2011-10-06,Boston Bruins,W,2,1
PHI,2011-10-08,New Jersey Devils,W,3,0
PHI,2011-10-12,Vancouver Canucks,W,5,4
PHI,2011-10-15,Los Angeles Kings,L,2,3
PHI,2011-10-18,Ottawa Senators,W,7,2
PHI,2011-10-20,Washington Capitals,L,2,5
PHI,2011-10-22,St. Louis Blues,L,2,4
PHI,2011-10-24,Toronto Maple Leafs,W,4,2
PHI,2011-10-26,Montreal Canadiens,L,1,5
PHI,2011-10-27,Winnipeg Jets,L,8,9
PHI,2011-10-29,Carolina Hurricanes,W,5,1
PHI,2011-11-02,Buffalo Sabres,W,3,2
PHI,2011-11-03,New Jersey Devils,L,3,4
PHI,2011-11-05,Columbus Blue Jackets,W,9,2
PHI,2011-11-09,Tampa Bay Lightning,L,1,2
PHI,2011-11-13,Florida Panthers,W,3,2
PHI,2011-11-14,Carolina Hurricanes,W,5,3
PHI,2011-11-17,Phoenix Coyotes,W,2,1
PHI,2011-11-19,Winnipeg Jets,L,4,6
PHI,2011-11-21,Carolina Hurricanes,L,2,4
PHI,2011-11-23,New York Islanders,W,4,3
PHI,2011-11-25,Montreal Canadiens,W,3,1
PHI,2011-11-26,New York Rangers,L,0,2
PHI,2011-12-02,Anaheim Ducks,W,4,3
PHI,2011-12-03,Phoenix Coyotes,W,4,2
PHI,2011-12-07,Buffalo Sabres,W,5,4
PHI,2011-12-08,Pittsburgh Penguins,W,3,2
PHI,2011-12-10,Tampa Bay Lightning,W,5,2
PHI,2011-12-13,Washington Capitals,W,5,1
PHI,2011-12-15,Montreal Canadiens,W,4,3
PHI,2011-12-17,Boston Bruins,L,0,6
PHI,2011-12-19,Colorado Avalanche,L,2,3
PHI,2011-12-21,Dallas Stars,W,4,1
PHI,2011-12-23,New York Rangers,L,2,4
PHI,2011-12-27,Tampa Bay Lightning,L,1,5
PHI,2011-12-29,Pittsburgh Penguins,W,4,2
PHI,2012-01-02,New York Rangers,L,2,3
PHI,2012-01-05,Chicago Blackhawks,W,5,4
PHI,2012-01-07,Ottawa Senators,W,3,2
PHI,2012-01-08,Ottawa Senators,L,4,6
PHI,2012-01-10,Carolina Hurricanes,W,2,1
PHI,2012-01-12,New York Islanders,W,3,2
PHI,2012-01-14,Nashville Predators,L,2,4
PHI,2012-01-17,Minnesota Wild,W,5,1
PHI,2012-01-19,New York Islanders,L,1,4
PHI,2012-01-21,New Jersey Devils,W,4,1
PHI,2012-01-22,Boston Bruins,L,5,6
PHI,2012-01-24,Florida Panthers,W,3,2
PHI,2012-01-31,Winnipeg Jets,L,1,2
PHI,2012-02-02,Nashville Predators,W,4,1
PHI,2012-02-04,New Jersey Devils,L,4,6
PHI,2012-02-05,New York Rangers,L,2,5
PHI,2012-02-07,New York Islanders,L,0,1
PHI,2012-02-09,Toronto Maple Leafs,W,4,3
PHI,2012-02-11,New York Rangers,L,2,5
PHI,2012-02-12,Detroit Red Wings,L,3,4
PHI,2012-02-16,Buffalo Sabres,W,7,2
PHI,2012-02-18,Pittsburgh Penguins,L,4,6
PHI,2012-02-21,Winnipeg Jets,W,5,4
PHI,2012-02-23,Edmonton Oilers,L,0,2
PHI,2012-02-25,Calgary Flames,W,5,4
PHI,2012-02-28,San Jose Sharks,L,0,1
PHI,2012-03-01,New York Islanders,W,6,3
PHI,2012-03-04,Washington Capitals,W,1,0
PHI,2012-03-06,Detroit Red Wings,W,3,2
PHI,2012-03-08,Florida Panthers,W,5,0
PHI,2012-03-10,Toronto Maple Leafs,W,1,0
PHI,2012-03-11,New Jersey Devils,L,1,4
PHI,2012-03-13,New Jersey Devils,W,3,0
PHI,2012-03-15,New York Islanders,W,3,2
PHI,2012-03-17,Boston Bruins,L,2,3
PHI,2012-03-18,Pittsburgh Penguins,W,3,2
PHI,2012-03-20,Florida Panthers,L,1,2
PHI,2012-03-22,Washington Capitals,W,2,1
PHI,2012-03-24,Montreal Canadiens,W,4,1
PHI,2012-03-26,Tampa Bay Lightning,L,3,5
PHI,2012-03-29,Toronto Maple Leafs,W,7,1
PHI,2012-03-31,Ottawa Senators,L,3,4
PHI,2012-04-01,Pittsburgh Penguins,W,6,4
PHI,2012-04-03,New York Rangers,L,3,5
PHI,2012-04-05,Buffalo Sabres,W,2,1
PHI,2012-04-07,Pittsburgh Penguins,L,2,4
PHI,2013-01-19,Pittsburgh Penguins,L,1,3
PHI,2013-01-20,Buffalo Sabres,L,2,5
PHI,2013-01-22,New Jersey Devils,L,0,3
PHI,2013-01-24,New York Rangers,W,2,1
PHI,2013-01-26,Florida Panthers,W,7,1
PHI,2013-01-27,Tampa Bay Lightning,L,1,5
PHI,2013-01-29,New York Rangers,L,1,2
PHI,2013-02-01,Washington Capitals,L,2,3
PHI,2013-02-02,Carolina Hurricanes,W,5,3
PHI,2013-02-05,Tampa Bay Lightning,W,2,1
PHI,2013-02-07,Florida Panthers,L,2,3
PHI,2013-02-09,Carolina Hurricanes,W,4,3
PHI,2013-02-11,Toronto Maple Leafs,L,2,5
PHI,2013-02-12,Winnipeg Jets,W,3,2
PHI,2013-02-15,New Jersey Devils,L,3,5
PHI,2013-02-16,Montreal Canadiens,L,1,4
PHI,2013-02-18,New York Islanders,W,7,0
PHI,2013-02-20,Pittsburgh Penguins,W,6,5
PHI,2013-02-21,Florida Panthers,L,2,5
PHI,2013-02-23,Winnipeg Jets,W,5,3
PHI,2013-02-25,Toronto Maple Leafs,L,2,4
PHI,2013-02-27,Washington Capitals,W,4,1
PHI,2013-03-02,Ottawa Senators,W,2,1
PHI,2013-03-05,New York Rangers,L,2,4
PHI,2013-03-07,Pittsburgh Penguins,L,4,5
PHI,2013-03-09,Boston Bruins,L,0,3
PHI,2013-03-10,Buffalo Sabres,W,3,2
PHI,2013-03-13,New Jersey Devils,L,2,5
PHI,2013-03-15,New Jersey Devils,W,2,1
PHI,2013-03-18,Tampa Bay Lightning,L,2,4
PHI,2013-03-24,Pittsburgh Penguins,L,1,2
