NHL Team,Date,Opponent,Result,Team Score,Opponent Score
SJS,2011-10-08,Phoenix Coyotes,W,6,3
SJS,2011-10-14,Anaheim Ducks,L,0,1
SJS,2011-10-15,St. Louis Blues,L,2,4
SJS,2011-10-17,Anaheim Ducks,L,2,3
SJS,2011-10-21,New Jersey Devils,W,4,3
SJS,2011-10-22,Boston Bruins,W,4,2
SJS,2011-10-25,Nashville Predators,W,3,1
SJS,2011-10-28,Detroit Red Wings,W,4,2
SJS,2011-10-29,New York Islanders,W,3,2
SJS,2011-10-31,New York Rangers,L,2,5
SJS,2011-11-03,Pittsburgh Penguins,W,4,3
SJS,2011-11-05,Nashville Predators,L,3,4
SJS,2011-11-07,Los Angeles Kings,W,4,2
SJS,2011-11-10,Minnesota Wild,W,3,1
SJS,2011-11-12,Phoenix Coyotes,L,0,3
SJS,2011-11-17,Detroit Red Wings,W,5,2
SJS,2011-11-19,Dallas Stars,W,4,1
SJS,2011-11-20,Colorado Avalanche,W,4,1
SJS,2011-11-23,Chicago Blackhawks,W,1,0
SJS,2011-11-26,Vancouver Canucks,L,2,3
SJS,2011-11-28,Los Angeles Kings,L,0,2
SJS,2011-12-01,Montreal Canadiens,W,4,3
SJS,2011-12-03,Florida Panthers,L,3,5
SJS,2011-12-06,Minnesota Wild,L,1,2
SJS,2011-12-08,Dallas Stars,W,5,2
SJS,2011-12-10,St. Louis Blues,L,0,1
SJS,2011-12-11,Chicago Blackhawks,L,2,3
SJS,2011-12-13,Colorado Avalanche,L,3,4
SJS,2011-12-15,Colorado Avalanche,W,5,4
SJS,2011-12-17,Edmonton Oilers,W,3,2
SJS,2011-12-21,Tampa Bay Lightning,W,7,2
SJS,2011-12-23,Los Angeles Kings,W,2,1
SJS,2011-12-26,Anaheim Ducks,L,2,3
SJS,2011-12-28,Vancouver Canucks,L,2,3
SJS,2012-01-02,Vancouver Canucks,W,3,2
SJS,2012-01-04,Anaheim Ducks,W,3,1
SJS,2012-01-05,Columbus Blue Jackets,W,2,1
SJS,2012-01-07,Washington Capitals,W,5,2
SJS,2012-01-10,Minnesota Wild,L,4,5
SJS,2012-01-12,Winnipeg Jets,W,2,0
SJS,2012-01-14,Columbus Blue Jackets,W,2,1
SJS,2012-01-15,Chicago Blackhawks,L,3,4
SJS,2012-01-17,Calgary Flames,W,2,1
SJS,2012-01-19,Ottawa Senators,L,1,4
SJS,2012-01-21,Vancouver Canucks,L,3,4
SJS,2012-01-23,Edmonton Oilers,L,1,2
SJS,2012-01-24,Calgary Flames,W,1,0
SJS,2012-01-31,Columbus Blue Jackets,W,6,0
SJS,2012-02-02,Dallas Stars,W,5,2
SJS,2012-02-04,Phoenix Coyotes,L,3,5
SJS,2012-02-08,Calgary Flames,L,3,4
SJS,2012-02-10,Chicago Blackhawks,W,5,3
SJS,2012-02-12,St. Louis Blues,L,0,3
SJS,2012-02-13,Washington Capitals,W,5,3
SJS,2012-02-16,Tampa Bay Lightning,L,5,6
SJS,2012-02-17,Carolina Hurricanes,L,2,3
SJS,2012-02-19,Detroit Red Wings,L,2,3
SJS,2012-02-21,Columbus Blue Jackets,L,3,6
SJS,2012-02-23,Toronto Maple Leafs,W,2,1
SJS,2012-02-25,Nashville Predators,L,2,6
SJS,2012-02-26,Minnesota Wild,L,3,4
SJS,2012-02-28,Philadelphia Flyers,W,1,0
SJS,2012-03-01,Buffalo Sabres,L,0,1
SJS,2012-03-03,St. Louis Blues,L,1,3
SJS,2012-03-06,Edmonton Oilers,L,2,3
SJS,2012-03-08,Dallas Stars,L,3,4
SJS,2012-03-10,Phoenix Coyotes,L,0,3
SJS,2012-03-12,Edmonton Oilers,W,3,2
SJS,2012-03-13,Calgary Flames,L,2,3
SJS,2012-03-15,Nashville Predators,W,2,1
SJS,2012-03-17,Detroit Red Wings,W,3,2
SJS,2012-03-19,Anaheim Ducks,L,3,5
SJS,2012-03-20,Los Angeles Kings,L,2,5
SJS,2012-03-22,Boston Bruins,W,2,1
SJS,2012-03-24,Phoenix Coyotes,W,4,3
SJS,2012-03-26,Colorado Avalanche,W,5,1
SJS,2012-03-28,Anaheim Ducks,L,1,3
SJS,2012-03-29,Phoenix Coyotes,L,0,2
SJS,2012-03-31,Dallas Stars,W,3,0
SJS,2012-04-03,Dallas Stars,W,5,2
SJS,2012-04-05,Los Angeles Kings,W,6,5
SJS,2012-04-07,Los Angeles Kings,W,3,2
SJS,2013-01-20,Calgary Flames,W,4,1
SJS,2013-01-22,Edmonton Oilers,W,6,3
SJS,2013-01-24,Phoenix Coyotes,W,5,3
SJS,2013-01-26,Colorado Avalanche,W,4,0
SJS,2013-01-27,Vancouver Canucks,W,4,1
SJS,2013-01-29,Anaheim Ducks,W,3,2
SJS,2013-01-31,Edmonton Oilers,W,3,2
SJS,2013-02-02,Nashville Predators,L,1,2
SJS,2013-02-04,Anaheim Ducks,L,1,2
SJS,2013-02-05,Chicago Blackhawks,L,3,5
SJS,2013-02-09,Phoenix Coyotes,L,0,1
SJS,2013-02-11,Columbus Blue Jackets,L,2,6
SJS,2013-02-12,Nashville Predators,L,0,1
SJS,2013-02-15,Chicago Blackhawks,L,1,4
SJS,2013-02-19,St. Louis Blues,W,2,1
SJS,2013-02-22,Chicago Blackhawks,L,1,2
SJS,2013-02-23,Dallas Stars,L,1,3
SJS,2013-02-26,Colorado Avalanche,W,3,2
SJS,2013-02-28,Detroit Red Wings,L,1,2
SJS,2013-03-02,Nashville Predators,W,2,1
SJS,2013-03-05,Vancouver Canucks,W,3,2
SJS,2013-03-06,Calgary Flames,L,1,4
SJS,2013-03-09,St. Louis Blues,L,3,4
SJS,2013-03-10,Colorado Avalanche,L,2,3
SJS,2013-03-12,St. Louis Blues,L,2,4
SJS,2013-03-14,Los Angeles Kings,W,4,3
SJS,2013-03-16,Los Angeles Kings,L,2,5
SJS,2013-03-18,Anaheim Ducks,L,3,5
SJS,2013-03-20,Edmonton Oilers,W,4,3
SJS,2013-03-23,Minnesota Wild,L,0,2
SJS,2013-03-25,Anaheim Ducks,W,5,3
SJS,2013-03-27,Anaheim Ducks,W,4,0
SJS,2013-03-28,Detroit Red Wings,W,2,0
SJS,2013-03-30,Phoenix Coyotes,W,3,2
SJS,2013-04-01,Vancouver Canucks,W,3,2
SJS,2013-04-03,Minnesota Wild,W,4,2
SJS,2013-04-05,Calgary Flames,W,2,1
SJS,2013-04-07,Dallas Stars,L,4,5
SJS,2013-04-09,Columbus Blue Jackets,L,0,4
SJS,2013-04-11,Detroit Red Wings,W,3,2
SJS,2013-04-13,Dallas Stars,L,1,2
SJS,2013-04-15,Phoenix Coyotes,W,4,0
SJS,2013-04-16,Los Angeles Kings,W,3,2
