NHL Team,Date,Opponent,Result,Team Score,Opponent Score
TOR,2011-10-06,Montreal Canadiens,W,2,0
TOR,2011-10-08,Ottawa Senators,W,6,5
TOR,2011-10-15,Calgary Flames,W,3,2
TOR,2011-10-17,Colorado Avalanche,L,2,3
TOR,2011-10-19,Winnipeg Jets,W,4,3
TOR,2011-10-20,Boston Bruins,L,2,6
TOR,2011-10-22,Montreal Canadiens,W,5,4
TOR,2011-10-24,Philadelphia Flyers,L,2,4
TOR,2011-10-27,New York Rangers,W,4,2
TOR,2011-10-29,Pittsburgh Penguins,W,4,3
TOR,2011-10-30,Ottawa Senators,L,2,3
TOR,2011-11-02,New Jersey Devils,W,5,3
TOR,2011-11-03,Columbus Blue Jackets,W,4,1
TOR,2011-11-05,Boston Bruins,L,0,7
TOR,2011-11-08,Florida Panthers,L,1,5
TOR,2011-11-10,St. Louis Blues,W,3,2
TOR,2011-11-12,Ottawa Senators,L,2,5
TOR,2011-11-15,Phoenix Coyotes,L,2,3
TOR,2011-11-17,Nashville Predators,L,1,4
TOR,2011-11-19,Washington Capitals,W,7,1
TOR,2011-11-20,Carolina Hurricanes,L,2,3
TOR,2011-11-22,Tampa Bay Lightning,W,7,1
TOR,2011-11-25,Dallas Stars,W,4,3
TOR,2011-11-27,Anaheim Ducks,W,5,2
TOR,2011-11-30,Boston Bruins,L,3,6
TOR,2011-12-03,Boston Bruins,L,1,4
TOR,2011-12-05,New York Rangers,W,4,2
TOR,2011-12-06,New Jersey Devils,L,2,3
TOR,2011-12-09,Washington Capitals,L,2,4
TOR,2011-12-13,Carolina Hurricanes,W,2,1
TOR,2011-12-16,Buffalo Sabres,L,4,5
TOR,2011-12-17,Vancouver Canucks,L,3,5
TOR,2011-12-19,Los Angeles Kings,L,2,3
TOR,2011-12-22,Buffalo Sabres,W,3,2
TOR,2011-12-23,New York Islanders,W,5,3
TOR,2011-12-27,Florida Panthers,L,3,5
TOR,2011-12-29,Carolina Hurricanes,L,3,4
TOR,2011-12-31,Winnipeg Jets,L,2,3
TOR,2012-01-03,Tampa Bay Lightning,W,7,3
TOR,2012-01-05,Winnipeg Jets,W,4,0
TOR,2012-01-07,Detroit Red Wings,W,4,3
TOR,2012-01-10,Buffalo Sabres,W,2,0
TOR,2012-01-13,Buffalo Sabres,L,2,3
TOR,2012-01-14,New York Rangers,L,0,3
TOR,2012-01-17,Ottawa Senators,L,2,3
TOR,2012-01-19,Minnesota Wild,W,4,1
TOR,2012-01-21,Montreal Canadiens,L,1,3
TOR,2012-01-23,New York Islanders,W,3,0
TOR,2012-01-24,New York Islanders,W,4,3
TOR,2012-01-31,Pittsburgh Penguins,L,4,5
TOR,2012-02-01,Pittsburgh Penguins,W,1,0
TOR,2012-02-04,Ottawa Senators,W,5,0
TOR,2012-02-06,Edmonton Oilers,W,6,3
TOR,2012-02-07,Winnipeg Jets,L,1,2
TOR,2012-02-09,Philadelphia Flyers,L,3,4
TOR,2012-02-11,Montreal Canadiens,L,0,5
TOR,2012-02-14,Calgary Flames,L,1,5
TOR,2012-02-15,Edmonton Oilers,W,4,3
TOR,2012-02-18,Vancouver Canucks,L,2,6
TOR,2012-02-21,New Jersey Devils,L,3,4
TOR,2012-02-23,San Jose Sharks,L,1,2
TOR,2012-02-25,Washington Capitals,L,2,4
TOR,2012-02-28,Florida Panthers,L,3,5
TOR,2012-02-29,Chicago Blackhawks,L,4,5
TOR,2012-03-03,Montreal Canadiens,W,3,1
TOR,2012-03-06,Boston Bruins,L,4,5
TOR,2012-03-07,Pittsburgh Penguins,L,2,3
TOR,2012-03-10,Philadelphia Flyers,L,0,1
TOR,2012-03-11,Washington Capitals,L,0,2
TOR,2012-03-13,Florida Panthers,L,2,5
TOR,2012-03-15,Tampa Bay Lightning,W,3,1
TOR,2012-03-17,Ottawa Senators,W,3,1
TOR,2012-03-19,Boston Bruins,L,0,8
TOR,2012-03-20,New York Islanders,L,2,5
TOR,2012-03-23,New Jersey Devils,W,4,3
TOR,2012-03-24,New York Rangers,L,3,4
TOR,2012-03-27,Carolina Hurricanes,L,0,3
TOR,2012-03-29,Philadelphia Flyers,L,1,7
TOR,2012-03-31,Buffalo Sabres,W,4,3
TOR,2012-04-03,Buffalo Sabres,L,5,6
TOR,2012-04-05,Tampa Bay Lightning,W,3,2
TOR,2012-04-07,Montreal Canadiens,L,1,4
TOR,2013-01-19,Montreal Canadiens,W,2,1
TOR,2013-01-21,Buffalo Sabres,L,1,2
TOR,2013-01-23,Pittsburgh Penguins,W,5,2
TOR,2013-01-24,New York Islanders,L,4,7
TOR,2013-01-26,New York Rangers,L,2,5
TOR,2013-01-29,Buffalo Sabres,W,4,3
TOR,2013-01-31,Washington Capitals,W,3,2
TOR,2013-02-02,Boston Bruins,L,0,1
TOR,2013-02-04,Carolina Hurricanes,L,1,4
TOR,2013-02-05,Washington Capitals,W,3,2
TOR,2013-02-07,Winnipeg Jets,W,3,2
TOR,2013-02-09,Montreal Canadiens,W,6,0
TOR,2013-02-11,Philadelphia Flyers,W,5,2
TOR,2013-02-14,Carolina Hurricanes,L,1,3
TOR,2013-02-16,Ottawa Senators,W,3,0
TOR,2013-02-18,Florida Panthers,W,3,0
TOR,2013-02-19,Tampa Bay Lightning,L,2,4
TOR,2013-02-21,Buffalo Sabres,W,3,1
TOR,2013-02-23,Ottawa Senators,L,2,3
TOR,2013-02-25,Philadelphia Flyers,W,4,2
TOR,2013-02-27,Montreal Canadiens,L,2,5
TOR,2013-02-28,New York Islanders,W,5,4
TOR,2013-03-04,New Jersey Devils,W,4,2
TOR,2013-03-06,Ottawa Senators,W,5,4
TOR,2013-03-07,Boston Bruins,L,2,4
TOR,2013-03-09,Pittsburgh Penguins,L,4,5
TOR,2013-03-12,Winnipeg Jets,L,2,5
TOR,2013-03-14,Pittsburgh Penguins,L,1,3
TOR,2013-03-16,Winnipeg Jets,L,4,5
TOR,2013-03-20,Tampa Bay Lightning,W,4,2
TOR,2013-03-21,Buffalo Sabres,L,4,5
TOR,2013-03-23,Boston Bruins,W,3,2
TOR,2013-03-25,Boston Bruins,L,2,3
TOR,2013-03-26,Florida Panthers,W,3,2
TOR,2013-03-28,Carolina Hurricanes,W,6,3
TOR,2013-03-30,Ottawa Senators,W,4,0
TOR,2013-04-04,Philadelphia Flyers,L,3,5
TOR,2013-04-06,New Jersey Devils,W,2,1
TOR,2013-04-08,New York Rangers,W,4,3
TOR,2013-04-10,New York Rangers,L,2,3
TOR,2013-04-13,Montreal Canadiens,W,5,1
TOR,2013-04-15,New Jersey Devils,W,2,0
TOR,2013-04-16,Washington Capitals,L,1,5
TOR,2013-04-18,New York Islanders,L,3,5
TOR,2013-04-20,Ottawa Senators,W,4,1
TOR,2013-04-24,Tampa Bay Lightning,L,2,5
TOR,2013-04-25,Florida Panthers,W,4,0
TOR,2013-04-27,Montreal Canadiens,L,1,4
