NHL Team,Date,Opponent,Result,Team Score,Opponent Score
WSH,2011-10-08,Carolina Hurricanes,W,4,3
WSH,2011-10-10,Tampa Bay Lightning,W,6,5
WSH,2011-10-13,Pittsburgh Penguins,W,3,2
WSH,2011-10-15,Ottawa Senators,W,2,1
WSH,2011-10-18,Florida Panthers,W,3,0
WSH,2011-10-20,Philadelphia Flyers,W,5,2
WSH,2011-10-22,Detroit Red Wings,W,7,1
WSH,2011-10-27,Edmonton Oilers,L,1,2
WSH,2011-10-29,Vancouver Canucks,L,4,7
WSH,2011-11-01,Anaheim Ducks,W,5,4
WSH,2011-11-04,Carolina Hurricanes,W,5,1
WSH,2011-11-05,New York Islanders,L,3,5
WSH,2011-11-08,Dallas Stars,L,2,5
WSH,2011-11-11,New Jersey Devils,W,3,1
WSH,2011-11-12,New Jersey Devils,L,2,3
WSH,2011-11-15,Nashville Predators,L,1,3
WSH,2011-11-17,Winnipeg Jets,L,1,4
WSH,2011-11-19,Toronto Maple Leafs,L,1,7
WSH,2011-11-21,Phoenix Coyotes,W,4,3
WSH,2011-11-23,Winnipeg Jets,W,4,3
WSH,2011-11-25,New York Rangers,L,3,6
WSH,2011-11-26,Buffalo Sabres,L,1,5
WSH,2011-11-29,St. Louis Blues,L,1,2
WSH,2011-12-01,Pittsburgh Penguins,L,1,2
WSH,2011-12-03,Ottawa Senators,W,3,2
WSH,2011-12-05,Florida Panthers,L,4,5
WSH,2011-12-07,Ottawa Senators,W,5,3
WSH,2011-12-09,Toronto Maple Leafs,W,4,2
WSH,2011-12-13,Philadelphia Flyers,L,1,5
WSH,2011-12-15,Winnipeg Jets,W,1,0
WSH,2011-12-17,Colorado Avalanche,L,1,2
WSH,2011-12-20,Nashville Predators,W,4,1
WSH,2011-12-23,New Jersey Devils,L,3,4
WSH,2011-12-26,Buffalo Sabres,L,2,4
WSH,2011-12-28,New York Rangers,W,4,1
WSH,2011-12-30,Buffalo Sabres,W,3,1
WSH,2011-12-31,Columbus Blue Jackets,W,4,2
WSH,2012-01-03,Calgary Flames,W,3,1
WSH,2012-01-07,San Jose Sharks,L,2,5
WSH,2012-01-09,Los Angeles Kings,L,2,5
WSH,2012-01-11,Pittsburgh Penguins,W,1,0
WSH,2012-01-13,Tampa Bay Lightning,W,4,3
WSH,2012-01-15,Carolina Hurricanes,W,2,1
WSH,2012-01-17,New York Islanders,L,0,3
WSH,2012-01-18,Montreal Canadiens,W,3,0
WSH,2012-01-20,Carolina Hurricanes,L,0,3
WSH,2012-01-22,Pittsburgh Penguins,L,3,4
WSH,2012-01-24,Boston Bruins,W,5,3
WSH,2012-01-31,Tampa Bay Lightning,L,3,4
WSH,2012-02-01,Florida Panthers,L,2,4
WSH,2012-02-04,Montreal Canadiens,W,3,0
WSH,2012-02-05,Boston Bruins,L,1,4
WSH,2012-02-07,Florida Panthers,W,4,0
WSH,2012-02-09,Winnipeg Jets,L,2,3
WSH,2012-02-12,New York Rangers,L,2,3
WSH,2012-02-13,San Jose Sharks,L,3,5
WSH,2012-02-17,Florida Panthers,W,2,1
WSH,2012-02-18,Tampa Bay Lightning,L,1,2
WSH,2012-02-20,Carolina Hurricanes,L,0,5
WSH,2012-02-22,Ottawa Senators,L,2,5
WSH,2012-02-24,Montreal Canadiens,W,4,1
WSH,2012-02-25,Toronto Maple Leafs,W,4,2
WSH,2012-02-28,New York Islanders,W,3,2
WSH,2012-03-02,New Jersey Devils,L,0,5
WSH,2012-03-04,Philadelphia Flyers,L,0,1
WSH,2012-03-06,Carolina Hurricanes,L,3,4
WSH,2012-03-08,Tampa Bay Lightning,W,3,2
WSH,2012-03-10,Boston Bruins,W,4,3
WSH,2012-03-11,Toronto Maple Leafs,W,2,0
WSH,2012-03-13,New York Islanders,W,5,4
WSH,2012-03-16,Winnipeg Jets,L,2,3
WSH,2012-03-18,Chicago Blackhawks,L,2,5
WSH,2012-03-19,Detroit Red Wings,W,5,3
WSH,2012-03-22,Philadelphia Flyers,L,1,2
WSH,2012-03-23,Winnipeg Jets,L,3,4
WSH,2012-03-25,Minnesota Wild,W,3,0
WSH,2012-03-27,Buffalo Sabres,L,1,5
WSH,2012-03-29,Boston Bruins,W,3,2
WSH,2012-03-31,Montreal Canadiens,W,3,2
