Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-11-01,ARI,Carolina Hurricanes,L,0,3,PHO,Utah Jazz,L,91,118
2014-11-04,ARI,Toronto Maple Leafs,W,3,2,PHO,Los Angeles Lakers,W,112,106
2014-11-07,ARI,Anaheim Ducks,W,3,2,PHO,Sacramento Kings,L,112,114
2014-11-14,ARI,Vancouver Canucks,W,5,0,PHO,Charlotte Hornets,L,95,103
2014-11-22,ARI,San Jose Sharks,W,4,3,PHO,Indiana Pacers,W,106,83
2014-12-02,ARI,Calgary Flames,L,2,5,PHO,Indiana Pacers,W,116,99
2014-12-06,ARI,Boston Bruins,L,2,5,PHO,Houston Rockets,L,95,100
2014-12-20,ARI,Los Angeles Kings,L,2,4,PHO,New York Knicks,W,99,90
2014-12-23,ARI,Edmonton Oilers,W,5,1,PHO,Dallas Mavericks,W,124,115
2014-12-31,ARI,Dallas Stars,L,0,6,PHO,Oklahoma City Thunder,L,134,137
2015-01-06,ARI,St. Louis Blues,L,0,6,PHO,Milwaukee Bucks,W,102,96
2015-01-13,ARI,San Jose Sharks,L,2,3,PHO,Cleveland Cavaliers,W,107,100
2015-01-31,ARI,Ottawa Senators,L,2,7,PHO,Golden State Warriors,L,87,106
2015-02-05,ARI,Carolina Hurricanes,L,1,2,PHO,Portland Trail Blazers,L,87,108
2015-02-10,ARI,St. Louis Blues,L,1,2,PHO,Houston Rockets,L,118,127
2015-02-21,ARI,Tampa Bay Lightning,L,2,4,PHO,Chicago Bulls,L,107,112
2015-02-23,ARI,New Jersey Devils,L,0,3,PHO,Boston Celtics,L,110,115
2015-02-26,ARI,New York Rangers,L,3,4,PHO,Oklahoma City Thunder,W,117,113
2015-02-28,ARI,Boston Bruins,L,1,4,PHO,San Antonio Spurs,L,74,101
2015-03-07,ARI,Montreal Canadiens,L,0,2,PHO,Cleveland Cavaliers,L,79,89
2015-03-09,ARI,Nashville Predators,L,1,2,PHO,Golden State Warriors,L,80,98
2015-03-19,ARI,Colorado Avalanche,L,2,5,PHO,New Orleans Pelicans,W,74,72
2015-03-21,ARI,Pittsburgh Penguins,L,1,3,PHO,Houston Rockets,W,117,102
2015-03-22,ARI,Vancouver Canucks,L,1,3,PHO,Dallas Mavericks,W,98,92
2015-03-30,ARI,Buffalo Sabres,L,1,4,PHO,Portland Trail Blazers,L,86,109
2015-04-04,ARI,San Jose Sharks,W,5,3,PHO,Utah Jazz,W,87,85
2015-04-07,ARI,Calgary Flames,L,2,3,PHO,Atlanta Hawks,L,69,96
2015-10-30,ARI,Vancouver Canucks,L,3,4,PHO,Portland Trail Blazers,W,110,92
2015-11-12,ARI,Edmonton Oilers,W,4,1,PHO,Los Angeles Clippers,W,118,104
2015-11-14,ARI,Columbus Blue Jackets,L,2,5,PHO,Denver Nuggets,W,105,81
2015-11-16,ARI,New York Islanders,L,2,5,PHO,Los Angeles Lakers,W,120,101
2015-11-25,ARI,Anaheim Ducks,W,4,2,PHO,New Orleans Pelicans,L,114,120
2015-11-27,ARI,Calgary Flames,W,2,1,PHO,Golden State Warriors,L,116,135
2015-12-01,ARI,Nashville Predators,L,2,5,PHO,Brooklyn Nets,L,91,94
2015-12-04,ARI,Buffalo Sabres,L,2,5,PHO,Washington Wizards,L,106,109
2015-12-06,ARI,Carolina Hurricanes,L,4,5,PHO,Memphis Grizzlies,L,93,95
2015-12-11,ARI,Minnesota Wild,W,2,1,PHO,Portland Trail Blazers,L,96,106
2015-12-26,ARI,Los Angeles Kings,L,3,4,PHO,Philadelphia 76ers,L,104,111
2015-12-31,ARI,Winnipeg Jets,W,4,2,PHO,Oklahoma City Thunder,L,106,110
2016-01-02,ARI,Edmonton Oilers,L,3,4,PHO,Sacramento Kings,L,119,142
2016-01-12,ARI,Edmonton Oilers,W,4,3,PHO,Indiana Pacers,L,97,116
2016-01-21,ARI,San Jose Sharks,L,1,3,PHO,San Antonio Spurs,L,89,117
2016-01-23,ARI,Los Angeles Kings,W,3,2,PHO,Atlanta Hawks,W,98,95
2016-01-26,ARI,Winnipeg Jets,L,2,5,PHO,Philadelphia 76ers,L,103,113
2016-02-02,ARI,Los Angeles Kings,L,2,6,PHO,Toronto Raptors,L,97,104
2016-02-04,ARI,Chicago Blackhawks,L,4,5,PHO,Houston Rockets,L,105,111
2016-02-10,ARI,Vancouver Canucks,L,1,2,PHO,Golden State Warriors,L,104,112
2016-02-22,ARI,Washington Capitals,L,2,3,PHO,Los Angeles Clippers,L,84,124
2016-02-25,ARI,Florida Panthers,L,2,3,PHO,Brooklyn Nets,L,106,116
2016-02-27,ARI,Philadelphia Flyers,L,2,4,PHO,Memphis Grizzlies,W,111,106
2016-03-03,ARI,Anaheim Ducks,L,1,5,PHO,Miami Heat,L,92,108
2016-03-09,ARI,Vancouver Canucks,L,2,3,PHO,New York Knicks,L,97,128
2016-03-12,ARI,Edmonton Oilers,W,4,0,PHO,Golden State Warriors,L,116,123
2016-03-17,ARI,San Jose Sharks,W,3,1,PHO,Utah Jazz,L,69,103
2016-03-26,ARI,Philadelphia Flyers,W,2,1,PHO,Boston Celtics,L,99,102
2016-03-28,ARI,Calgary Flames,L,2,5,PHO,Minnesota Timberwolves,L,116,121
2016-04-05,ARI,Chicago Blackhawks,L,2,6,PHO,Atlanta Hawks,L,90,103
2016-04-07,ARI,Nashville Predators,L,2,3,PHO,Houston Rockets,W,124,115
2016-04-09,ARI,San Jose Sharks,L,0,1,PHO,New Orleans Pelicans,W,121,100
2016-11-04,ARI,Anaheim Ducks,L,1,5,PHO,New Orleans Pelicans,W,112,111
2016-11-08,ARI,Colorado Avalanche,W,4,2,PHO,Portland Trail Blazers,L,121,124
2016-11-12,ARI,Boston Bruins,L,1,2,PHO,Brooklyn Nets,L,104,122
2016-11-16,ARI,Calgary Flames,L,1,2,PHO,Denver Nuggets,L,104,120
2016-11-19,ARI,San Jose Sharks,W,3,2,PHO,Philadelphia 76ers,L,105,120
2016-11-23,ARI,Vancouver Canucks,L,1,4,PHO,Orlando Magic,W,92,87
2016-11-25,ARI,Edmonton Oilers,W,3,2,PHO,Minnesota Timberwolves,L,85,98
2016-11-27,ARI,Edmonton Oilers,W,2,1,PHO,Denver Nuggets,L,114,120
2016-12-03,ARI,Columbus Blue Jackets,L,2,3,PHO,Golden State Warriors,L,109,138
2016-12-06,ARI,Chicago Blackhawks,L,0,4,PHO,Utah Jazz,L,105,112
2016-12-13,ARI,Detroit Red Wings,W,4,1,PHO,New York Knicks,W,113,111
2016-12-15,ARI,Toronto Maple Leafs,W,3,2,PHO,San Antonio Spurs,L,92,107
2016-12-17,ARI,Minnesota Wild,L,1,4,PHO,Oklahoma City Thunder,L,101,114
2016-12-19,ARI,Calgary Flames,L,2,4,PHO,Minnesota Timberwolves,L,108,115
2016-12-21,ARI,Edmonton Oilers,L,2,3,PHO,Houston Rockets,L,111,125
2016-12-23,ARI,Toronto Maple Leafs,L,1,4,PHO,Philadelphia 76ers,W,123,116
2016-12-29,ARI,New York Rangers,L,3,6,PHO,Toronto Raptors,W,99,91
2016-12-31,ARI,Calgary Flames,L,2,4,PHO,Utah Jazz,L,86,91
2017-01-14,ARI,Anaheim Ducks,L,0,3,PHO,San Antonio Spurs,W,108,105
2017-01-16,ARI,Edmonton Oilers,L,1,3,PHO,Utah Jazz,L,101,106
2017-01-19,ARI,Minnesota Wild,L,3,4,PHO,Cleveland Cavaliers,L,103,118
2017-01-21,ARI,Tampa Bay Lightning,W,5,3,PHO,New York Knicks,W,107,105
2017-01-26,ARI,Vancouver Canucks,W,3,0,PHO,Denver Nuggets,L,120,127
2017-02-04,ARI,San Jose Sharks,W,3,2,PHO,Milwaukee Bucks,L,112,137
2017-02-11,ARI,Pittsburgh Penguins,W,4,3,PHO,Houston Rockets,L,102,133
2017-02-13,ARI,Calgary Flames,W,5,0,PHO,New Orleans Pelicans,L,108,110
2017-02-24,ARI,Dallas Stars,L,2,5,PHO,Chicago Bulls,L,121,128
2017-02-26,ARI,Buffalo Sabres,W,3,2,PHO,Milwaukee Bucks,L,96,100
2017-02-28,ARI,Boston Bruins,L,1,4,PHO,Memphis Grizzlies,L,112,130
2017-03-02,ARI,Buffalo Sabres,L,3,6,PHO,Charlotte Hornets,W,120,103
2017-03-03,ARI,Carolina Hurricanes,W,4,2,PHO,Oklahoma City Thunder,W,118,111
2017-03-05,ARI,Carolina Hurricanes,L,1,2,PHO,Boston Celtics,W,109,106
2017-03-09,ARI,Ottawa Senators,L,2,3,PHO,Los Angeles Lakers,L,110,122
2017-03-11,ARI,New Jersey Devils,W,5,4,PHO,Dallas Mavericks,W,100,98
2017-03-21,ARI,Tampa Bay Lightning,W,5,3,PHO,Miami Heat,L,97,112
2017-03-23,ARI,Florida Panthers,L,1,3,PHO,Brooklyn Nets,L,98,126
2017-04-02,ARI,Los Angeles Kings,W,2,1,PHO,Houston Rockets,L,116,123
2017-10-21,ARI,Chicago Blackhawks,L,2,4,PHO,Los Angeles Clippers,L,88,130
2017-10-28,ARI,New Jersey Devils,L,3,4,PHO,Portland Trail Blazers,L,107,114
2017-10-31,ARI,Detroit Red Wings,L,3,5,PHO,Brooklyn Nets,W,122,114
2017-11-06,ARI,Washington Capitals,L,2,3,PHO,Brooklyn Nets,L,92,98
2017-11-11,ARI,Winnipeg Jets,L,1,4,PHO,Minnesota Timberwolves,W,118,110
2017-11-16,ARI,Montreal Canadiens,W,5,4,PHO,Houston Rockets,L,116,142
2017-11-22,ARI,San Jose Sharks,L,1,3,PHO,Milwaukee Bucks,L,107,113
2017-11-24,ARI,Los Angeles Kings,W,3,2,PHO,New Orleans Pelicans,L,91,115
2017-11-28,ARI,Edmonton Oilers,L,2,3,PHO,Chicago Bulls,W,104,99
