Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-28,BOS,Phoenix Coyotes,W,2,1,BOS,New Orleans Hornets,L,78,97
2012-01-04,BOS,New Jersey Devils,W,6,1,BOS,New Jersey Nets,W,89,70
2012-01-14,BOS,Carolina Hurricanes,L,2,4,BOS,Indiana Pacers,L,83,97
2012-01-16,BOS,Florida Panthers,W,3,2,BOS,Oklahoma City Thunder,L,88,97
2012-01-22,BOS,Philadelphia Flyers,W,6,5,BOS,Washington Wizards,W,100,94
2012-01-31,BOS,Ottawa Senators,W,4,3,BOS,Cleveland Cavaliers,W,93,90
2012-02-05,BOS,Washington Capitals,W,4,1,BOS,Memphis Grizzlies,W,98,80
2012-02-15,BOS,Montreal Canadiens,W,4,3,BOS,Detroit Pistons,L,88,98
2012-02-19,BOS,Minnesota Wild,L,0,2,BOS,Detroit Pistons,L,81,96
2012-02-22,BOS,St. Louis Blues,W,4,2,BOS,Oklahoma City Thunder,L,104,119
2012-02-28,BOS,Ottawa Senators,L,0,1,BOS,Cleveland Cavaliers,W,86,83
2012-03-04,BOS,New York Rangers,L,3,4,BOS,New York Knicks,W,115,111
2012-03-06,BOS,Toronto Maple Leafs,W,5,4,BOS,Houston Rockets,W,97,92
2012-03-11,BOS,Pittsburgh Penguins,L,2,5,BOS,Los Angeles Lakers,L,94,97
2012-03-17,BOS,Philadelphia Flyers,W,3,2,BOS,Denver Nuggets,L,91,98
2012-03-19,BOS,Toronto Maple Leafs,W,8,0,BOS,Atlanta Hawks,W,79,76
2012-03-22,BOS,San Jose Sharks,L,1,2,BOS,Milwaukee Bucks,W,100,91
2012-03-25,BOS,Anaheim Ducks,W,3,2,BOS,Washington Wizards,W,88,76
2012-04-01,BOS,New York Rangers,W,2,1,BOS,Miami Heat,W,91,72
2012-04-05,BOS,Ottawa Senators,W,3,1,BOS,Chicago Bulls,L,86,93
2012-04-07,BOS,Buffalo Sabres,W,4,3,BOS,Indiana Pacers,W,86,72
2013-01-25,BOS,New York Islanders,W,4,2,BOS,Atlanta Hawks,L,111,123
2013-02-06,BOS,Montreal Canadiens,W,2,1,BOS,Toronto Raptors,W,99,95
2013-02-10,BOS,Buffalo Sabres,W,3,1,BOS,Denver Nuggets,W,118,114
2013-02-24,BOS,Florida Panthers,W,4,1,BOS,Portland Trail Blazers,L,86,92
2013-03-05,BOS,Washington Capitals,L,3,4,BOS,Philadelphia 76ers,W,109,101
2013-03-12,BOS,Pittsburgh Penguins,L,2,3,BOS,Charlotte Bobcats,L,74,100
2013-03-16,BOS,Washington Capitals,W,4,1,BOS,Charlotte Bobcats,W,105,88
2013-03-23,BOS,Toronto Maple Leafs,L,2,3,BOS,Memphis Grizzlies,L,106,110
2013-03-27,BOS,Montreal Canadiens,L,5,6,BOS,Cleveland Cavaliers,W,93,92
2013-03-31,BOS,Buffalo Sabres,W,2,0,BOS,New York Knicks,L,89,108
2013-04-10,BOS,New Jersey Devils,W,5,4,BOS,Brooklyn Nets,L,93,101
2013-04-13,BOS,Carolina Hurricanes,L,2,4,BOS,Orlando Magic,W,120,88
2013-04-17,BOS,Buffalo Sabres,L,2,3,BOS,Toronto Raptors,L,90,114
2013-10-30,BOS,Pittsburgh Penguins,L,2,3,BOS,Toronto Raptors,L,87,93
2013-11-09,BOS,Toronto Maple Leafs,W,3,1,BOS,Miami Heat,W,111,110
2013-11-11,BOS,Tampa Bay Lightning,W,3,0,BOS,Orlando Magic,W,120,105
2013-11-15,BOS,Ottawa Senators,L,2,4,BOS,Portland Trail Blazers,L,96,109
2013-11-19,BOS,New York Rangers,W,2,1,BOS,Houston Rockets,L,85,109
2013-11-23,BOS,Carolina Hurricanes,W,3,2,BOS,Atlanta Hawks,W,94,87
2013-11-25,BOS,Pittsburgh Penguins,W,4,3,BOS,Charlotte Bobcats,W,96,86
2013-11-27,BOS,Detroit Red Wings,L,1,6,BOS,Memphis Grizzlies,L,93,100
2013-11-29,BOS,New York Rangers,W,3,2,BOS,Cleveland Cavaliers,W,103,86
2013-11-30,BOS,Columbus Blue Jackets,W,3,1,BOS,Milwaukee Bucks,L,85,92
2013-12-08,BOS,Toronto Maple Leafs,W,5,2,BOS,New York Knicks,W,114,73
2013-12-10,BOS,Calgary Flames,W,2,1,BOS,Brooklyn Nets,L,96,104
2013-12-21,BOS,Buffalo Sabres,W,4,1,BOS,Washington Wizards,L,99,106
2013-12-28,BOS,Ottawa Senators,L,3,4,BOS,Cleveland Cavaliers,W,103,100
2013-12-31,BOS,New York Islanders,L,3,5,BOS,Atlanta Hawks,L,91,92
2014-01-02,BOS,Nashville Predators,W,3,2,BOS,Chicago Bulls,L,82,94
