Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-26,CHI,Columbus Blue Jackets,W,4,1,CHI,Golden State Warriors,L,91,99
2011-12-30,CHI,Detroit Red Wings,W,3,2,CHI,Los Angeles Clippers,W,114,101
2012-01-06,CHI,Colorado Avalanche,L,0,4,CHI,Orlando Magic,W,97,83
2012-01-10,CHI,Columbus Blue Jackets,W,5,2,CHI,Minnesota Timberwolves,W,111,100
2012-01-14,CHI,Detroit Red Wings,L,2,3,CHI,Toronto Raptors,W,77,64
2012-01-20,CHI,Florida Panthers,W,3,1,CHI,Cleveland Cavaliers,W,114,75
2012-01-21,CHI,Nashville Predators,L,2,5,CHI,Charlotte Bobcats,W,95,89
2012-02-02,CHI,Edmonton Oilers,L,4,8,CHI,New York Knicks,W,105,102
2012-02-10,CHI,San Jose Sharks,L,3,5,CHI,Charlotte Bobcats,W,95,64
2012-02-14,CHI,Nashville Predators,L,2,3,CHI,Sacramento Kings,W,121,115
2012-02-16,CHI,New York Rangers,W,4,2,CHI,Boston Celtics,W,89,80
2012-02-18,CHI,Columbus Blue Jackets,W,6,1,CHI,New Jersey Nets,L,85,97
2012-02-29,CHI,Toronto Maple Leafs,W,5,4,CHI,San Antonio Spurs,W,96,89
2012-03-02,CHI,Ottawa Senators,W,2,1,CHI,Cleveland Cavaliers,W,112,91
2012-03-04,CHI,Detroit Red Wings,W,2,1,CHI,Philadelphia 76ers,W,96,91
2012-03-16,CHI,Dallas Stars,W,4,1,CHI,Portland Trail Blazers,L,89,100
2012-03-21,CHI,Vancouver Canucks,W,2,1,CHI,Toronto Raptors,W,94,82
2012-04-01,CHI,Minnesota Wild,L,4,5,CHI,Oklahoma City Thunder,L,78,92
2012-04-05,CHI,Minnesota Wild,L,1,2,CHI,Boston Celtics,W,93,86
2013-01-19,CHI,Los Angeles Kings,W,5,2,CHI,Memphis Grizzlies,L,82,85
2013-01-26,CHI,Columbus Blue Jackets,W,3,2,CHI,Washington Wizards,L,73,86
2013-01-30,CHI,Minnesota Wild,L,2,3,CHI,Milwaukee Bucks,W,104,88
2013-02-01,CHI,Vancouver Canucks,L,1,2,CHI,Brooklyn Nets,L,89,93
2013-02-02,CHI,Calgary Flames,W,3,2,CHI,Atlanta Hawks,W,93,76
2013-02-07,CHI,Phoenix Coyotes,W,6,2,CHI,Denver Nuggets,L,96,128
2013-02-19,CHI,Vancouver Canucks,W,4,3,CHI,New Orleans Hornets,W,96,87
2013-02-22,CHI,San Jose Sharks,W,2,1,CHI,Charlotte Bobcats,W,105,75
2013-02-24,CHI,Columbus Blue Jackets,W,1,0,CHI,Oklahoma City Thunder,L,72,102
2013-02-28,CHI,St. Louis Blues,W,3,0,CHI,Philadelphia 76ers,W,93,82
2013-03-03,CHI,Detroit Red Wings,W,2,1,CHI,Indiana Pacers,L,92,97
2013-03-06,CHI,Colorado Avalanche,W,3,2,CHI,San Antonio Spurs,L,83,101
2013-03-08,CHI,Colorado Avalanche,L,2,6,CHI,Utah Jazz,W,89,88
2013-03-10,CHI,Edmonton Oilers,L,5,6,CHI,Los Angeles Lakers,L,81,90
2013-03-18,CHI,Colorado Avalanche,W,5,2,CHI,Denver Nuggets,L,118,119
2013-03-31,CHI,Detroit Red Wings,W,7,1,CHI,Detroit Pistons,W,95,94
2013-04-04,CHI,St. Louis Blues,L,3,4,CHI,Brooklyn Nets,W,92,90
2013-04-07,CHI,Nashville Predators,W,5,3,CHI,Detroit Pistons,L,85,99
2013-04-09,CHI,Minnesota Wild,W,1,0,CHI,Toronto Raptors,L,98,101
2013-04-12,CHI,Detroit Red Wings,W,3,2,CHI,Toronto Raptors,L,88,97
2013-04-14,CHI,St. Louis Blues,W,2,0,CHI,Miami Heat,L,93,105
2013-04-15,CHI,Dallas Stars,W,5,2,CHI,Orlando Magic,W,102,84
2013-10-29,CHI,Ottawa Senators,W,6,5,CHI,Miami Heat,L,95,107
2013-11-02,CHI,Winnipeg Jets,W,5,1,CHI,Philadelphia 76ers,L,104,107
2013-11-06,CHI,Winnipeg Jets,W,4,1,CHI,Indiana Pacers,L,80,97
2013-11-16,CHI,Nashville Predators,L,2,7,CHI,Indiana Pacers,W,110,94
2013-11-21,CHI,Winnipeg Jets,W,6,3,CHI,Denver Nuggets,L,87,97
2013-11-25,CHI,Edmonton Oilers,W,5,1,CHI,Utah Jazz,L,83,89
2013-11-27,CHI,Calgary Flames,W,3,2,CHI,Detroit Pistons,W,99,79
2013-11-30,CHI,Phoenix Coyotes,W,5,2,CHI,Cleveland Cavaliers,L,93,97
2013-12-05,CHI,Minnesota Wild,L,3,4,CHI,Miami Heat,W,107,87
2013-12-10,CHI,Dallas Stars,W,6,2,CHI,Milwaukee Bucks,L,74,78
2013-12-11,CHI,Philadelphia Flyers,W,7,2,CHI,New York Knicks,L,78,83
2013-12-14,CHI,Toronto Maple Leafs,L,3,7,CHI,Toronto Raptors,L,77,99
2013-12-28,CHI,St. Louis Blues,L,5,6,CHI,Dallas Mavericks,L,83,105
2013-12-30,CHI,Los Angeles Kings,W,1,0,CHI,Memphis Grizzlies,W,95,91
2014-01-02,CHI,New York Islanders,L,2,3,CHI,Boston Celtics,W,94,82
2014-01-11,CHI,Montreal Canadiens,L,1,2,CHI,Charlotte Bobcats,W,103,97
2014-01-17,CHI,Anaheim Ducks,W,4,2,CHI,Washington Wizards,L,93,96
2014-01-22,CHI,Detroit Red Wings,L,4,5,CHI,Cleveland Cavaliers,W,98,87
2014-01-29,CHI,Vancouver Canucks,W,5,2,CHI,San Antonio Spurs,W,96,86
2014-02-01,CHI,San Jose Sharks,L,1,2,CHI,New Orleans Pelicans,L,79,88
2014-02-03,CHI,Los Angeles Kings,W,5,3,CHI,Sacramento Kings,L,70,99
2014-03-09,CHI,Buffalo Sabres,W,2,1,CHI,Miami Heat,W,95,88
2014-03-19,CHI,St. Louis Blues,W,4,0,CHI,Philadelphia 76ers,W,102,94
2014-03-21,CHI,Carolina Hurricanes,W,3,2,CHI,Indiana Pacers,L,79,91
2014-03-28,CHI,Ottawa Senators,L,3,5,CHI,Portland Trail Blazers,L,74,91
2014-03-30,CHI,Pittsburgh Penguins,L,1,4,CHI,Boston Celtics,W,107,102
2014-04-04,CHI,Columbus Blue Jackets,W,4,3,CHI,Milwaukee Bucks,W,102,90
2014-04-09,CHI,Montreal Canadiens,W,3,2,CHI,Minnesota Timberwolves,W,102,87
2014-04-11,CHI,Washington Capitals,L,0,4,CHI,Detroit Pistons,W,106,98
2014-11-01,CHI,Toronto Maple Leafs,L,2,3,CHI,Minnesota Timberwolves,W,106,105
2014-11-04,CHI,Montreal Canadiens,W,5,0,CHI,Orlando Magic,W,98,90
2014-11-07,CHI,Washington Capitals,L,2,3,CHI,Philadelphia 76ers,W,118,115
2014-11-20,CHI,Calgary Flames,W,4,3,CHI,Sacramento Kings,L,88,103
2014-11-28,CHI,Anaheim Ducks,W,4,1,CHI,Boston Celtics,W,109,102
2014-12-03,CHI,St. Louis Blues,W,4,1,CHI,Charlotte Hornets,W,102,95
2014-12-06,CHI,Nashville Predators,W,3,1,CHI,Golden State Warriors,L,102,112
2014-12-14,CHI,Calgary Flames,W,2,1,CHI,Miami Heat,W,93,75
2014-12-23,CHI,Winnipeg Jets,L,1,5,CHI,Washington Wizards,W,99,91
2014-12-27,CHI,Colorado Avalanche,W,5,2,CHI,New Orleans Pelicans,W,107,100
2014-12-29,CHI,Nashville Predators,W,5,4,CHI,Indiana Pacers,W,92,90
2015-01-01,CHI,Washington Capitals,L,2,3,CHI,Denver Nuggets,W,106,101
2015-01-09,CHI,Edmonton Oilers,L,2,5,CHI,Washington Wizards,L,86,102
2015-01-16,CHI,Winnipeg Jets,L,2,4,CHI,Boston Celtics,W,119,103
2015-01-30,CHI,Anaheim Ducks,W,4,1,CHI,Phoenix Suns,L,93,99
2015-02-08,CHI,St. Louis Blues,W,4,2,CHI,Orlando Magic,W,98,97
2015-02-20,CHI,Colorado Avalanche,L,1,4,CHI,Detroit Pistons,L,91,100
2015-02-27,CHI,Tampa Bay Lightning,L,0,4,CHI,Minnesota Timberwolves,W,96,89
2015-03-06,CHI,Edmonton Oilers,W,2,1,CHI,Indiana Pacers,L,84,98
2015-03-08,CHI,New York Rangers,L,0,1,CHI,San Antonio Spurs,L,105,116
2015-03-18,CHI,New York Rangers,W,1,0,CHI,Indiana Pacers,W,103,86
2015-03-21,CHI,Dallas Stars,L,0,4,CHI,Detroit Pistons,L,91,107
2015-03-23,CHI,Carolina Hurricanes,W,3,1,CHI,Charlotte Hornets,W,98,86
2015-03-25,CHI,Philadelphia Flyers,L,1,4,CHI,Toronto Raptors,W,116,103
2015-04-03,CHI,Buffalo Sabres,W,4,3,CHI,Detroit Pistons,W,88,82
2015-04-05,CHI,St. Louis Blues,L,1,2,CHI,Cleveland Cavaliers,L,94,99
2015-04-09,CHI,St. Louis Blues,L,1,2,CHI,Miami Heat,W,89,78
2015-04-11,CHI,Colorado Avalanche,L,2,3,CHI,Philadelphia 76ers,W,114,107
2015-10-30,CHI,Minnesota Wild,L,4,5,CHI,Detroit Pistons,L,94,98
2015-11-18,CHI,Edmonton Oilers,W,4,3,CHI,Phoenix Suns,W,103,97
2015-11-20,CHI,Calgary Flames,L,1,2,CHI,Golden State Warriors,L,94,106
2015-11-27,CHI,Anaheim Ducks,W,3,2,CHI,Indiana Pacers,L,92,104
2015-12-10,CHI,Nashville Predators,L,1,5,CHI,Los Angeles Clippers,W,83,80
2015-12-19,CHI,Buffalo Sabres,W,3,2,CHI,New York Knicks,L,91,107
2016-01-03,CHI,Ottawa Senators,W,3,0,CHI,Toronto Raptors,W,115,113
2016-01-05,CHI,Pittsburgh Penguins,W,3,2,CHI,Milwaukee Bucks,W,117,106
2016-01-12,CHI,Nashville Predators,W,3,2,CHI,Milwaukee Bucks,L,101,106
2016-01-14,CHI,Montreal Canadiens,W,2,1,CHI,Philadelphia 76ers,W,115,111
2016-01-15,CHI,Toronto Maple Leafs,W,4,1,CHI,Dallas Mavericks,L,77,83
2016-01-22,CHI,Florida Panthers,L,0,4,CHI,Boston Celtics,L,101,110
2016-02-06,CHI,Dallas Stars,W,5,1,CHI,Minnesota Timberwolves,L,105,112
2016-02-21,CHI,Minnesota Wild,L,1,6,CHI,Los Angeles Lakers,W,126,115
2016-03-02,CHI,Detroit Red Wings,W,5,2,CHI,Orlando Magic,L,89,102
2016-03-11,CHI,Dallas Stars,L,2,5,CHI,Miami Heat,L,96,118
2016-03-14,CHI,Los Angeles Kings,L,0,5,CHI,Toronto Raptors,W,109,107
2016-03-16,CHI,Philadelphia Flyers,L,2,3,CHI,Washington Wizards,L,96,117
2016-03-26,CHI,Calgary Flames,W,4,1,CHI,Orlando Magic,L,89,111
2016-03-29,CHI,Minnesota Wild,L,1,4,CHI,Indiana Pacers,W,98,96
2016-04-03,CHI,Boston Bruins,W,6,4,CHI,Milwaukee Bucks,W,102,98
2016-04-05,CHI,Arizona Coyotes,W,6,2,CHI,Memphis Grizzlies,L,92,108
2016-04-07,CHI,St. Louis Blues,L,1,2,CHI,Miami Heat,L,98,106
