Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-26,DAL,St. Louis Blues,L,3,5,DAL,Denver Nuggets,L,93,115
2011-12-29,DAL,Columbus Blue Jackets,L,1,4,DAL,Oklahoma City Thunder,L,102,104
2012-01-05,DAL,Nashville Predators,W,4,1,DAL,San Antonio Spurs,L,71,93
2012-01-07,DAL,Edmonton Oilers,W,4,1,DAL,New Orleans Hornets,W,96,81
2012-01-10,DAL,Anaheim Ducks,L,2,5,DAL,Detroit Pistons,W,100,86
2012-01-14,DAL,Colorado Avalanche,L,1,2,DAL,Sacramento Kings,W,99,60
2012-01-16,DAL,St. Louis Blues,L,0,1,DAL,Los Angeles Lakers,L,70,73
2012-01-21,DAL,Minnesota Wild,L,2,5,DAL,New Orleans Hornets,W,83,81
2012-02-01,DAL,Anaheim Ducks,W,6,2,DAL,Oklahoma City Thunder,L,86,95
2012-02-04,DAL,Minnesota Wild,W,2,1,DAL,Cleveland Cavaliers,L,88,91
2012-02-10,DAL,Buffalo Sabres,L,2,3,DAL,Minnesota Timberwolves,W,104,97
2012-02-19,DAL,Nashville Predators,L,2,3,DAL,New York Knicks,L,97,104
2012-02-29,DAL,Pittsburgh Penguins,L,3,4,DAL,Memphis Grizzlies,L,85,96
2012-03-02,DAL,Edmonton Oilers,W,3,1,DAL,New Orleans Hornets,L,92,97
2012-03-06,DAL,Vancouver Canucks,W,5,2,DAL,New York Knicks,W,95,85
2012-03-08,DAL,San Jose Sharks,W,4,3,DAL,Phoenix Suns,L,94,96
2012-03-10,DAL,Anaheim Ducks,W,2,0,DAL,Golden State Warriors,L,87,111
2012-03-13,DAL,Minnesota Wild,W,1,0,DAL,Washington Wizards,W,107,98
2012-03-24,DAL,Calgary Flames,W,4,1,DAL,Houston Rockets,W,101,99
2012-03-30,DAL,Vancouver Canucks,L,2,5,DAL,Orlando Magic,W,100,98
2012-04-07,DAL,St. Louis Blues,L,2,3,DAL,Memphis Grizzlies,L,89,94
2013-01-20,DAL,Minnesota Wild,L,0,1,DAL,Orlando Magic,W,111,105
2013-01-29,DAL,Detroit Red Wings,L,1,4,DAL,Portland Trail Blazers,L,104,106
2013-02-01,DAL,Phoenix Coyotes,W,4,3,DAL,Phoenix Suns,W,109,99
2013-02-04,DAL,Colorado Avalanche,W,3,2,DAL,Oklahoma City Thunder,L,91,112
2013-02-06,DAL,Edmonton Oilers,W,3,2,DAL,Portland Trail Blazers,W,105,99
2013-02-13,DAL,Calgary Flames,L,4,7,DAL,Sacramento Kings,W,123,100
2013-02-26,DAL,Columbus Blue Jackets,W,5,4,DAL,Milwaukee Bucks,L,90,95
2013-03-03,DAL,St. Louis Blues,W,4,1,DAL,Houston Rockets,L,103,136
2013-03-12,DAL,Nashville Predators,L,0,4,DAL,Milwaukee Bucks,W,115,108
2013-03-14,DAL,Anaheim Ducks,L,1,2,DAL,San Antonio Spurs,L,91,92
2013-03-18,DAL,Calgary Flames,W,4,3,DAL,Atlanta Hawks,W,127,113
2013-03-20,DAL,Colorado Avalanche,L,3,4,DAL,Brooklyn Nets,L,96,113
2013-04-05,DAL,Anaheim Ducks,W,3,1,DAL,Sacramento Kings,W,117,108
2013-04-07,DAL,San Jose Sharks,W,5,4,DAL,Portland Trail Blazers,W,96,91
2013-04-12,DAL,Nashville Predators,W,5,2,DAL,Denver Nuggets,W,108,105
2013-04-15,DAL,Chicago Blackhawks,L,2,5,DAL,Memphis Grizzlies,L,97,103
2013-11-01,DAL,Colorado Avalanche,L,2,3,DAL,Houston Rockets,L,105,113
2013-11-05,DAL,Boston Bruins,W,3,2,DAL,Los Angeles Lakers,W,123,104
2013-11-09,DAL,Chicago Blackhawks,L,2,5,DAL,Milwaukee Bucks,W,91,83
2013-11-23,DAL,St. Louis Blues,L,1,6,DAL,Denver Nuggets,L,100,102
2013-11-29,DAL,Chicago Blackhawks,L,1,2,DAL,Atlanta Hawks,L,87,88
2013-12-03,DAL,Chicago Blackhawks,W,4,3,DAL,Charlotte Bobcats,W,89,82
2013-12-07,DAL,Philadelphia Flyers,W,5,1,DAL,Portland Trail Blazers,W,108,106
2013-12-14,DAL,Winnipeg Jets,W,6,4,DAL,Milwaukee Bucks,W,106,93
2013-12-21,DAL,San Jose Sharks,L,2,3,DAL,Phoenix Suns,L,108,123
2013-12-23,DAL,Los Angeles Kings,W,5,2,DAL,Houston Rockets,W,111,104
2014-01-10,DAL,New York Rangers,L,2,3,DAL,New Orleans Pelicans,W,107,90
2014-01-18,DAL,Minnesota Wild,L,2,3,DAL,Portland Trail Blazers,L,111,127
