Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-26,COL,Minnesota Wild,W,4,2,DEN,Dallas Mavericks,W,115,93
2011-12-29,COL,Phoenix Coyotes,W,3,2,DEN,Portland Trail Blazers,L,102,111
2011-12-31,COL,Anaheim Ducks,W,4,2,DEN,Los Angeles Lakers,L,89,92
2012-01-02,COL,Los Angeles Kings,W,2,1,DEN,Milwaukee Bucks,W,91,86
2012-01-06,COL,Chicago Blackhawks,W,4,0,DEN,New Orleans Hornets,W,96,88
2012-01-07,COL,St. Louis Blues,L,0,4,DEN,San Antonio Spurs,L,117,121
2012-01-18,COL,Florida Panthers,W,4,3,DEN,Philadelphia 76ers,W,108,104
2012-01-21,COL,Los Angeles Kings,W,3,1,DEN,New York Knicks,W,119,114
2012-01-31,COL,Edmonton Oilers,L,2,3,DEN,Memphis Grizzlies,L,97,100
2012-02-02,COL,Minnesota Wild,L,0,1,DEN,Los Angeles Clippers,W,112,91
2012-02-04,COL,Vancouver Canucks,L,2,3,DEN,Portland Trail Blazers,L,97,117
2012-02-11,COL,St. Louis Blues,L,2,3,DEN,Indiana Pacers,W,113,109
2012-02-15,COL,Vancouver Canucks,L,1,3,DEN,Dallas Mavericks,L,84,102
2012-02-17,COL,Edmonton Oilers,W,3,1,DEN,Memphis Grizzlies,L,102,103
2012-02-19,COL,Winnipeg Jets,L,1,5,DEN,Oklahoma City Thunder,L,118,124
2012-02-22,COL,Los Angeles Kings,W,4,1,DEN,Los Angeles Clippers,L,95,103
2012-03-04,COL,Minnesota Wild,W,2,0,DEN,San Antonio Spurs,W,99,94
2012-03-15,COL,New Jersey Devils,L,0,1,DEN,Oklahoma City Thunder,L,90,103
2012-03-17,COL,New York Rangers,W,3,1,DEN,Boston Celtics,W,98,91
2012-03-26,COL,San Jose Sharks,L,1,5,DEN,Chicago Bulls,W,108,91
2012-03-28,COL,Vancouver Canucks,L,0,1,DEN,Toronto Raptors,L,96,105
2012-03-30,COL,Calgary Flames,W,4,1,DEN,Charlotte Bobcats,W,99,88
2012-04-07,COL,Nashville Predators,L,1,6,DEN,Golden State Warriors,L,97,112
2013-01-26,COL,San Jose Sharks,L,0,4,DEN,Sacramento Kings,W,121,93
2013-01-28,COL,Edmonton Oilers,L,1,4,DEN,Indiana Pacers,W,102,101
2013-01-30,COL,Vancouver Canucks,L,0,3,DEN,Houston Rockets,W,118,110
2013-02-23,COL,Los Angeles Kings,L,1,4,DEN,Charlotte Bobcats,W,113,99
2013-03-05,COL,Detroit Red Wings,L,1,2,DEN,Sacramento Kings,W,120,113
2013-03-18,COL,Chicago Blackhawks,L,2,5,DEN,Chicago Bulls,W,119,118
2013-03-23,COL,Dallas Stars,L,2,5,DEN,Sacramento Kings,W,101,95
2013-03-27,COL,Calgary Flames,L,3,4,DEN,San Antonio Spurs,L,99,100
2013-04-06,COL,Phoenix Coyotes,L,0,4,DEN,Houston Rockets,W,132,114
2013-04-10,COL,Anaheim Ducks,W,4,1,DEN,San Antonio Spurs,W,96,86
2013-04-15,COL,Columbus Blue Jackets,L,3,4,DEN,Milwaukee Bucks,W,112,111
2013-11-01,COL,Dallas Stars,W,3,2,DEN,Portland Trail Blazers,L,98,113
2013-11-08,COL,Calgary Flames,W,4,2,DEN,Phoenix Suns,L,103,114
2013-11-16,COL,Florida Panthers,L,1,4,DEN,Houston Rockets,L,111,122
2013-11-21,COL,Phoenix Coyotes,W,4,3,DEN,Chicago Bulls,W,97,87
2013-11-23,COL,Los Angeles Kings,W,1,0,DEN,Dallas Mavericks,W,102,100
2013-11-27,COL,St. Louis Blues,L,1,4,DEN,Minnesota Timberwolves,W,117,110
2013-11-29,COL,Minnesota Wild,W,3,1,DEN,New York Knicks,W,97,95
2013-12-06,COL,Calgary Flames,W,3,2,DEN,Boston Celtics,L,98,106
