Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-26,DET,Nashville Predators,W,4,1,DET,Indiana Pacers,L,79,91
2011-12-30,DET,Chicago Blackhawks,L,2,3,DET,Boston Celtics,L,85,96
2011-12-31,DET,St. Louis Blues,W,3,0,DET,Indiana Pacers,W,96,88
2012-01-07,DET,Toronto Maple Leafs,L,3,4,DET,New York Knicks,L,80,103
2012-01-10,DET,New York Islanders,L,1,5,DET,Dallas Mavericks,L,86,100
2012-01-12,DET,Phoenix Coyotes,W,3,2,DET,Milwaukee Bucks,L,93,102
2012-01-17,DET,Dallas Stars,W,3,2,DET,Houston Rockets,L,80,97
2012-01-21,DET,Columbus Blue Jackets,W,3,2,DET,Portland Trail Blazers,W,94,91
2012-01-23,DET,St. Louis Blues,W,3,1,DET,Oklahoma City Thunder,L,79,99
2012-01-25,DET,Montreal Canadiens,L,2,7,DET,Miami Heat,L,98,101
2012-01-31,DET,Calgary Flames,W,3,1,DET,New York Knicks,L,86,113
2012-02-04,DET,Edmonton Oilers,L,4,5,DET,New Orleans Hornets,W,89,87
2012-02-08,DET,Edmonton Oilers,W,4,2,DET,New Jersey Nets,W,99,92
2012-02-10,DET,Anaheim Ducks,W,2,1,DET,New Jersey Nets,W,109,92
2012-02-12,DET,Philadelphia Flyers,W,4,3,DET,Washington Wizards,L,77,98
2012-02-14,DET,Dallas Stars,W,3,1,DET,San Antonio Spurs,L,95,99
2012-02-17,DET,Nashville Predators,W,2,1,DET,Sacramento Kings,W,114,108
2012-02-19,DET,San Jose Sharks,W,3,2,DET,Boston Celtics,W,96,81
2012-02-21,DET,Chicago Blackhawks,L,1,2,DET,Cleveland Cavaliers,L,100,101
2012-02-28,DET,Columbus Blue Jackets,W,5,2,DET,Philadelphia 76ers,L,68,97
2012-03-06,DET,Philadelphia Flyers,L,2,3,DET,Los Angeles Lakers,W,88,85
2012-03-09,DET,Los Angeles Kings,W,4,3,DET,Atlanta Hawks,W,86,85
2012-03-10,DET,Nashville Predators,L,2,3,DET,Toronto Raptors,W,105,86
2012-03-14,DET,Anaheim Ducks,L,0,4,DET,Sacramento Kings,W,124,112
2012-03-21,DET,New York Rangers,L,1,2,DET,Denver Nuggets,L,115,116
2012-03-24,DET,Carolina Hurricanes,W,5,4,DET,New York Knicks,L,79,101
2012-03-26,DET,Columbus Blue Jackets,W,7,2,DET,Washington Wizards,W,79,77
2012-03-28,DET,Columbus Blue Jackets,L,2,4,DET,Cleveland Cavaliers,W,87,75
2012-03-30,DET,Nashville Predators,L,1,4,DET,Chicago Bulls,L,71,83
2012-04-05,DET,New Jersey Devils,L,1,2,DET,Washington Wizards,W,99,94
2013-01-22,DET,Dallas Stars,L,1,2,DET,Orlando Magic,W,105,90
2013-01-25,DET,Minnesota Wild,W,5,3,DET,Miami Heat,L,88,110
2013-01-27,DET,Chicago Blackhawks,L,1,2,DET,Orlando Magic,W,104,102
2013-01-29,DET,Dallas Stars,W,4,1,DET,Milwaukee Bucks,L,90,117
2013-02-01,DET,St. Louis Blues,W,5,3,DET,Cleveland Cavaliers,W,117,99
2013-02-09,DET,Edmonton Oilers,W,2,1,DET,Milwaukee Bucks,W,105,100
2013-02-13,DET,St. Louis Blues,L,3,4,DET,Washington Wizards,W,96,85
2013-02-19,DET,Nashville Predators,L,3,4,DET,Memphis Grizzlies,L,91,105
2013-02-23,DET,Nashville Predators,W,4,0,DET,Indiana Pacers,L,72,90
2013-02-27,DET,Los Angeles Kings,L,1,2,DET,Washington Wizards,W,96,95
2013-03-03,DET,Chicago Blackhawks,L,1,2,DET,San Antonio Spurs,L,75,114
2013-03-10,DET,Columbus Blue Jackets,L,2,3,DET,Los Angeles Clippers,L,97,129
2013-03-13,DET,Calgary Flames,L,2,5,DET,Golden State Warriors,L,97,105
2013-03-16,DET,Vancouver Canucks,W,5,2,DET,Portland Trail Blazers,L,101,112
2013-03-22,DET,Anaheim Ducks,W,5,1,DET,Miami Heat,L,89,103
2013-03-31,DET,Chicago Blackhawks,L,1,7,DET,Chicago Bulls,L,94,95
2013-04-01,DET,Colorado Avalanche,W,3,2,DET,Toronto Raptors,W,108,98
2013-04-07,DET,St. Louis Blues,L,0,1,DET,Chicago Bulls,W,99,85
2013-04-12,DET,Chicago Blackhawks,L,2,3,DET,Charlotte Bobcats,W,113,93
2013-04-17,DET,Calgary Flames,L,2,3,DET,Brooklyn Nets,L,99,103
2013-10-30,DET,Vancouver Canucks,W,2,1,DET,Washington Wizards,W,113,102
2013-11-01,DET,Calgary Flames,W,4,3,DET,Memphis Grizzlies,L,108,111
2013-11-12,DET,Winnipeg Jets,L,2,3,DET,Golden State Warriors,L,95,113
2013-11-15,DET,Washington Capitals,L,3,4,DET,Sacramento Kings,W,97,90
2013-11-19,DET,Nashville Predators,L,0,2,DET,New York Knicks,W,92,86
2013-11-24,DET,Buffalo Sabres,W,3,1,DET,Brooklyn Nets,W,109,97
2013-11-27,DET,Boston Bruins,W,6,1,DET,Chicago Bulls,L,79,99
2013-11-29,DET,New York Islanders,W,5,0,DET,Los Angeles Lakers,L,102,106
2013-12-01,DET,Ottawa Senators,W,4,2,DET,Philadelphia 76ers,W,115,100
2013-12-04,DET,Philadelphia Flyers,L,3,6,DET,Milwaukee Bucks,W,105,98
2013-12-07,DET,Florida Panthers,L,1,2,DET,Chicago Bulls,W,92,75
