Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2012-01-04,ANA,San Jose Sharks,L,1,3,LAC,Houston Rockets,W,117,89
2012-01-10,ANA,Dallas Stars,W,5,2,LAC,Portland Trail Blazers,L,97,105
2012-01-18,ANA,Phoenix Coyotes,W,6,2,LAC,Dallas Mavericks,W,91,89
2012-01-22,ANA,Colorado Avalanche,W,3,2,LAC,Toronto Raptors,W,103,91
2012-02-01,ANA,Dallas Stars,L,2,6,LAC,Utah Jazz,W,107,105
2012-02-06,ANA,Calgary Flames,W,3,2,LAC,Orlando Magic,W,107,102
2012-02-08,ANA,Carolina Hurricanes,W,3,2,LAC,Cleveland Cavaliers,L,92,99
2012-02-10,ANA,Detroit Red Wings,L,1,2,LAC,Philadelphia 76ers,W,78,77
2012-02-15,ANA,Pittsburgh Penguins,W,2,1,LAC,Washington Wizards,W,102,84
2012-03-02,ANA,Calgary Flames,W,3,2,LAC,Phoenix Suns,L,78,81
2012-03-05,ANA,Edmonton Oilers,W,4,2,LAC,Minnesota Timberwolves,L,94,95
2012-03-12,ANA,Colorado Avalanche,L,2,3,LAC,Boston Celtics,L,85,94
2012-03-14,ANA,Detroit Red Wings,W,4,0,LAC,Atlanta Hawks,W,96,82
2012-03-18,ANA,Nashville Predators,L,1,3,LAC,Detroit Pistons,W,87,83
2012-03-21,ANA,St. Louis Blues,W,4,3,LAC,Oklahoma City Thunder,L,91,114
2012-03-28,ANA,San Jose Sharks,W,3,1,LAC,Phoenix Suns,W,103,86
2012-03-31,ANA,Phoenix Coyotes,L,0,4,LAC,Utah Jazz,W,105,96
2012-04-05,ANA,Edmonton Oilers,W,3,2,LAC,Sacramento Kings,W,93,85
2012-04-07,ANA,Calgary Flames,L,2,5,LAC,Sacramento Kings,W,109,94
2013-01-19,ANA,Vancouver Canucks,W,7,3,LAC,Washington Wizards,W,94,87
2013-01-21,ANA,Calgary Flames,W,5,4,LAC,Golden State Warriors,L,99,106
2013-01-26,ANA,Nashville Predators,W,3,2,LAC,Portland Trail Blazers,L,100,101
2013-02-01,ANA,Minnesota Wild,W,3,1,LAC,Toronto Raptors,L,73,98
2013-02-04,ANA,San Jose Sharks,W,2,1,LAC,Washington Wizards,L,90,98
2013-02-06,ANA,Colorado Avalanche,W,3,0,LAC,Orlando Magic,W,86,76
2013-02-08,ANA,Dallas Stars,L,1,3,LAC,Miami Heat,L,89,111
2013-03-01,ANA,Minnesota Wild,W,3,2,LAC,Cleveland Cavaliers,W,105,89
2013-03-06,ANA,Phoenix Coyotes,W,2,0,LAC,Milwaukee Bucks,W,117,101
2013-03-10,ANA,St. Louis Blues,W,4,2,LAC,Detroit Pistons,W,129,97
2013-03-20,ANA,Chicago Blackhawks,W,4,2,LAC,Philadelphia 76ers,W,101,72
2013-03-27,ANA,San Jose Sharks,L,0,4,LAC,New Orleans Hornets,W,105,91
2013-03-29,ANA,Chicago Blackhawks,W,2,1,LAC,San Antonio Spurs,L,102,104
2013-04-01,ANA,Dallas Stars,W,4,0,LAC,Indiana Pacers,L,106,109
2013-04-03,ANA,Dallas Stars,W,5,2,LAC,Phoenix Suns,W,126,101
2013-04-07,ANA,Los Angeles Kings,W,4,3,LAC,Los Angeles Lakers,W,109,95
2013-04-10,ANA,Colorado Avalanche,L,1,4,LAC,Minnesota Timberwolves,W,111,95
2013-04-13,ANA,Los Angeles Kings,L,1,2,LAC,Memphis Grizzlies,W,91,87
2013-04-17,ANA,Columbus Blue Jackets,L,2,3,LAC,Sacramento Kings,W,112,108
2013-10-29,ANA,Philadelphia Flyers,W,3,2,LAC,Los Angeles Lakers,L,103,116
2013-10-31,ANA,Boston Bruins,L,2,3,LAC,Golden State Warriors,W,126,115
2013-11-04,ANA,New York Rangers,W,2,1,LAC,Houston Rockets,W,137,118
2013-11-06,ANA,Phoenix Coyotes,W,5,2,LAC,Orlando Magic,L,90,98
