Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-26,LAK,Phoenix Coyotes,W,4,3,LAL,Sacramento Kings,L,91,100
2011-12-29,LAK,Winnipeg Jets,L,0,1,LAL,New York Knicks,W,99,82
2011-12-31,LAK,Vancouver Canucks,W,4,1,LAL,Denver Nuggets,W,92,89
2012-01-05,LAK,Phoenix Coyotes,W,1,0,LAL,Portland Trail Blazers,L,96,107
2012-01-14,LAK,Calgary Flames,W,4,1,LAL,Los Angeles Clippers,L,94,102
2012-01-19,LAK,Calgary Flames,L,1,2,LAL,Miami Heat,L,87,98
2012-02-03,LAK,St. Louis Blues,L,0,1,LAL,Denver Nuggets,W,93,89
2012-02-04,LAK,Carolina Hurricanes,L,1,2,LAL,Utah Jazz,L,87,96
2012-02-09,LAK,Florida Panthers,L,1,3,LAL,Boston Celtics,W,88,87
2012-02-12,LAK,Dallas Stars,W,4,2,LAL,Toronto Raptors,W,94,92
2012-02-22,LAK,Colorado Avalanche,L,1,4,LAL,Dallas Mavericks,W,96,91
2012-03-06,LAK,Nashville Predators,W,5,4,LAL,Detroit Pistons,L,85,88
2012-03-09,LAK,Detroit Red Wings,L,3,4,LAL,Minnesota Timberwolves,W,105,102
2012-03-11,LAK,Chicago Blackhawks,W,3,2,LAL,Boston Celtics,W,97,94
2012-03-13,LAK,Detroit Red Wings,W,5,2,LAL,Memphis Grizzlies,W,116,111
2012-03-16,LAK,Anaheim Ducks,W,4,2,LAL,Minnesota Timberwolves,W,97,92
2012-03-20,LAK,San Jose Sharks,W,5,2,LAL,Houston Rockets,L,104,107
2012-03-31,LAK,Minnesota Wild,L,3,4,LAL,New Orleans Hornets,W,88,85
2012-04-07,LAK,San Jose Sharks,L,2,3,LAL,Phoenix Suns,L,105,125
2013-02-05,LAK,Columbus Blue Jackets,W,4,2,LAL,Brooklyn Nets,W,92,83
2013-02-07,LAK,Nashville Predators,L,0,3,LAL,Boston Celtics,L,95,116
2013-02-10,LAK,Detroit Red Wings,L,2,3,LAL,Miami Heat,L,97,107
2013-02-20,LAK,Calgary Flames,W,3,1,LAL,Boston Celtics,W,113,99
2013-02-25,LAK,Anaheim Ducks,W,5,2,LAL,Denver Nuggets,L,108,119
2013-03-05,LAK,St. Louis Blues,W,6,4,LAL,Oklahoma City Thunder,L,105,122
2013-03-12,LAK,Phoenix Coyotes,L,2,5,LAL,Orlando Magic,W,106,97
2013-03-18,LAK,Phoenix Coyotes,W,4,0,LAL,Phoenix Suns,L,76,99
2013-03-25,LAK,Chicago Blackhawks,W,5,4,LAL,Golden State Warriors,L,103,109
2013-03-28,LAK,St. Louis Blues,W,4,2,LAL,Milwaukee Bucks,L,103,113
2013-03-30,LAK,Minnesota Wild,L,3,4,LAL,Sacramento Kings,W,103,98
2013-04-02,LAK,Phoenix Coyotes,L,1,3,LAL,Dallas Mavericks,W,101,81
2013-04-07,LAK,Anaheim Ducks,L,3,4,LAL,Los Angeles Clippers,L,95,109
2013-04-09,LAK,Dallas Stars,L,1,5,LAL,New Orleans Hornets,W,104,96
2013-10-29,LAK,Phoenix Coyotes,L,1,3,LAL,Los Angeles Clippers,W,116,103
