Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-27,FLA,Toronto Maple Leafs,W,5,3,MIA,Boston Celtics,W,115,107
2011-12-30,FLA,New York Rangers,L,1,4,MIA,Minnesota Timberwolves,W,103,101
2012-01-05,FLA,New York Rangers,L,2,3,MIA,Atlanta Hawks,W,116,109
2012-01-13,FLA,Pittsburgh Penguins,L,1,4,MIA,Denver Nuggets,L,104,117
2012-01-21,FLA,Winnipeg Jets,W,4,3,MIA,Philadelphia 76ers,W,113,92
2012-01-24,FLA,Philadelphia Flyers,L,2,3,MIA,Cleveland Cavaliers,W,92,85
2012-02-01,FLA,Washington Capitals,W,4,2,MIA,Milwaukee Bucks,L,97,105
2012-02-03,FLA,Winnipeg Jets,W,2,1,MIA,Philadelphia 76ers,W,99,79
2012-02-07,FLA,Washington Capitals,L,0,4,MIA,Cleveland Cavaliers,W,107,91
2012-02-12,FLA,New York Islanders,W,4,1,MIA,Atlanta Hawks,W,107,87
2012-02-17,FLA,Washington Capitals,L,1,2,MIA,Cleveland Cavaliers,W,111,87
2012-02-19,FLA,Anaheim Ducks,L,0,2,MIA,Orlando Magic,W,90,78
2012-02-23,FLA,Minnesota Wild,L,2,3,MIA,New York Knicks,W,102,88
2012-03-01,FLA,Winnipeg Jets,L,0,7,MIA,Portland Trail Blazers,W,107,93
2012-03-04,FLA,Ottawa Senators,W,4,2,MIA,Los Angeles Lakers,L,83,93
2012-03-13,FLA,Toronto Maple Leafs,W,5,2,MIA,Orlando Magic,L,98,104
2012-03-20,FLA,Philadelphia Flyers,W,2,1,MIA,Phoenix Suns,W,99,95
2012-03-23,FLA,Edmonton Oilers,L,1,2,MIA,Detroit Pistons,W,88,73
2012-03-25,FLA,New York Islanders,L,2,3,MIA,Oklahoma City Thunder,L,87,103
2012-03-29,FLA,Minnesota Wild,L,2,3,MIA,Dallas Mavericks,W,106,85
2012-03-30,FLA,Columbus Blue Jackets,L,1,4,MIA,Toronto Raptors,W,113,101
2012-04-01,FLA,Detroit Red Wings,L,1,2,MIA,Boston Celtics,L,72,91
2012-04-03,FLA,Winnipeg Jets,L,4,5,MIA,Philadelphia 76ers,W,99,93
2013-02-03,FLA,Buffalo Sabres,W,4,3,MIA,Toronto Raptors,W,100,85
2013-02-12,FLA,Washington Capitals,L,5,6,MIA,Portland Trail Blazers,W,117,104
2013-02-14,FLA,Montreal Canadiens,L,0,1,MIA,Oklahoma City Thunder,W,110,100
2013-02-21,FLA,Philadelphia Flyers,W,5,2,MIA,Chicago Bulls,W,86,67
2013-02-24,FLA,Boston Bruins,L,1,4,MIA,Cleveland Cavaliers,W,109,105
2013-02-26,FLA,Pittsburgh Penguins,W,6,4,MIA,Sacramento Kings,W,141,129
2013-03-03,FLA,Carolina Hurricanes,L,2,3,MIA,New York Knicks,W,99,93
2013-03-08,FLA,Winnipeg Jets,L,2,3,MIA,Philadelphia 76ers,W,102,93
2013-03-10,FLA,Montreal Canadiens,L,2,5,MIA,Indiana Pacers,W,105,91
2013-03-12,FLA,Tampa Bay Lightning,L,2,3,MIA,Atlanta Hawks,W,98,81
2013-03-24,FLA,New York Islanders,L,0,3,MIA,Charlotte Bobcats,W,109,77
2013-04-02,FLA,Tampa Bay Lightning,W,3,2,MIA,New York Knicks,L,90,102
2013-04-06,FLA,Washington Capitals,L,3,4,MIA,Philadelphia 76ers,W,106,87
2013-11-01,FLA,St. Louis Blues,L,0,4,MIA,Brooklyn Nets,L,100,101
2013-11-05,FLA,Edmonton Oilers,L,3,4,MIA,Toronto Raptors,W,104,95
2013-11-07,FLA,Boston Bruins,L,1,4,MIA,Los Angeles Clippers,W,102,97
2013-11-09,FLA,Ottawa Senators,L,2,3,MIA,Boston Celtics,L,110,111
2013-11-12,FLA,Anaheim Ducks,W,3,2,MIA,Milwaukee Bucks,W,118,95
2013-11-15,FLA,Minnesota Wild,L,2,3,MIA,Dallas Mavericks,W,110,104
2013-11-16,FLA,Colorado Avalanche,W,4,1,MIA,Charlotte Bobcats,W,97,81
2013-11-19,FLA,Vancouver Canucks,W,3,2,MIA,Atlanta Hawks,W,104,88
2013-11-25,FLA,Philadelphia Flyers,W,3,1,MIA,Phoenix Suns,W,107,92
2013-11-27,FLA,New York Rangers,L,2,5,MIA,Cleveland Cavaliers,W,95,84
2013-12-03,FLA,Ottawa Senators,L,2,4,MIA,Detroit Pistons,L,97,107
