Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-26,MIN,Colorado Avalanche,L,2,4,MIN,Oklahoma City Thunder,L,100,104
2012-01-04,MIN,Vancouver Canucks,L,0,3,MIN,Memphis Grizzlies,L,86,90
2012-01-10,MIN,San Jose Sharks,W,5,4,MIN,Chicago Bulls,L,100,111
2012-01-14,MIN,St. Louis Blues,L,2,3,MIN,Atlanta Hawks,L,91,93
2012-01-21,MIN,Dallas Stars,W,5,2,MIN,Utah Jazz,L,98,108
2012-02-04,MIN,Dallas Stars,L,1,2,MIN,Houston Rockets,W,100,91
2012-02-07,MIN,Columbus Blue Jackets,L,1,3,MIN,Sacramento Kings,W,86,84
2012-02-11,MIN,Columbus Blue Jackets,L,1,3,MIN,New York Knicks,L,98,100
2012-02-19,MIN,Boston Bruins,W,2,0,MIN,Philadelphia 76ers,W,92,91
2012-02-28,MIN,Los Angeles Kings,L,0,4,MIN,Los Angeles Clippers,W,109,97
2012-03-01,MIN,Montreal Canadiens,L,4,5,MIN,Phoenix Suns,L,95,104
2012-03-19,MIN,Vancouver Canucks,W,2,0,MIN,Golden State Warriors,W,97,93
2012-03-25,MIN,Washington Capitals,L,0,3,MIN,Denver Nuggets,W,117,100
2012-03-27,MIN,New York Rangers,L,2,3,MIN,Memphis Grizzlies,L,86,93
2012-04-01,MIN,Chicago Blackhawks,W,5,4,MIN,Portland Trail Blazers,L,106,119
2012-04-07,MIN,Phoenix Coyotes,L,1,4,MIN,New Orleans Hornets,L,90,99
2013-01-19,MIN,Colorado Avalanche,W,4,2,MIN,Houston Rockets,W,92,79
2013-01-25,MIN,Detroit Red Wings,L,3,5,MIN,Washington Wizards,L,101,114
2013-01-30,MIN,Chicago Blackhawks,W,3,2,MIN,Los Angeles Clippers,L,90,96
2013-02-01,MIN,Anaheim Ducks,L,1,3,MIN,Los Angeles Lakers,L,100,111
2013-02-04,MIN,Phoenix Coyotes,L,1,2,MIN,Portland Trail Blazers,L,98,100
2013-02-11,MIN,Calgary Flames,W,2,1,MIN,Cleveland Cavaliers,W,100,92
2013-02-26,MIN,Calgary Flames,W,2,1,MIN,Phoenix Suns,L,83,84
2013-02-28,MIN,Phoenix Coyotes,W,4,3,MIN,Los Angeles Lakers,L,94,116
2013-03-09,MIN,Nashville Predators,W,2,1,MIN,Denver Nuggets,L,88,111
2013-03-10,MIN,Vancouver Canucks,W,4,2,MIN,Dallas Mavericks,L,77,100
2013-03-12,MIN,Anaheim Ducks,L,1,2,MIN,San Antonio Spurs,W,107,83
2013-03-18,MIN,Vancouver Canucks,W,3,1,MIN,Memphis Grizzlies,L,77,92
2013-03-27,MIN,Phoenix Coyotes,W,4,3,MIN,Los Angeles Lakers,L,117,120
2013-03-29,MIN,Dallas Stars,L,3,5,MIN,Oklahoma City Thunder,W,101,93
2013-03-30,MIN,Los Angeles Kings,W,4,3,MIN,Memphis Grizzlies,L,86,99
2013-04-01,MIN,St. Louis Blues,L,1,4,MIN,Boston Celtics,W,110,100
2013-04-03,MIN,San Jose Sharks,L,2,4,MIN,Milwaukee Bucks,W,107,98
2013-04-09,MIN,Chicago Blackhawks,L,0,1,MIN,Golden State Warriors,L,89,105
2013-04-13,MIN,Columbus Blue Jackets,L,2,3,MIN,Phoenix Suns,W,105,93
2013-04-15,MIN,Calgary Flames,W,4,3,MIN,Utah Jazz,L,80,96
2013-11-01,MIN,Montreal Canadiens,W,4,3,MIN,Oklahoma City Thunder,W,100,81
