Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2013-01-21,NYI,Tampa Bay Lightning,W,4,3,BRK,New York Knicks,W,88,85
2013-01-25,NYI,Boston Bruins,L,2,4,BRK,Memphis Grizzlies,L,77,101
2013-02-05,NYI,Pittsburgh Penguins,L,2,4,BRK,Los Angeles Lakers,L,83,92
2013-02-11,NYI,Carolina Hurricanes,L,4,6,BRK,Indiana Pacers,W,89,84
2013-02-19,NYI,Ottawa Senators,L,1,3,BRK,Milwaukee Bucks,W,113,111
2013-02-24,NYI,Carolina Hurricanes,L,2,4,BRK,Memphis Grizzlies,L,72,76
2013-02-26,NYI,Boston Bruins,L,1,4,BRK,New Orleans Hornets,W,101,97
2013-03-09,NYI,Washington Capitals,W,5,2,BRK,Atlanta Hawks,W,93,80
2013-03-24,NYI,Florida Panthers,W,3,0,BRK,Phoenix Suns,W,102,100
2013-03-30,NYI,Pittsburgh Penguins,L,0,2,BRK,Utah Jazz,L,107,116
2013-04-04,NYI,Washington Capitals,L,1,2,BRK,Chicago Bulls,L,90,92
2013-04-06,NYI,Tampa Bay Lightning,W,4,2,BRK,Charlotte Bobcats,W,105,96
2013-04-09,NYI,Philadelphia Flyers,W,4,1,BRK,Philadelphia 76ers,W,104,83
2013-11-01,NYI,Ottawa Senators,W,5,4,BRK,Miami Heat,W,101,100
2013-11-05,NYI,Washington Capitals,L,2,6,BRK,Utah Jazz,W,104,88
2013-11-09,NYI,Columbus Blue Jackets,L,2,5,BRK,Indiana Pacers,L,91,96
2013-11-16,NYI,Detroit Red Wings,W,5,4,BRK,Los Angeles Clippers,L,103,110
2013-11-22,NYI,Pittsburgh Penguins,L,3,4,BRK,Minnesota Timberwolves,L,81,111
2013-11-27,NYI,Winnipeg Jets,L,2,3,BRK,Los Angeles Lakers,L,94,99
2013-11-29,NYI,Detroit Red Wings,L,0,5,BRK,Houston Rockets,L,95,114
2013-11-30,NYI,Washington Capitals,L,2,3,BRK,Memphis Grizzlies,W,97,88
2013-12-03,NYI,Pittsburgh Penguins,L,2,3,BRK,Denver Nuggets,L,87,111
2013-12-05,NYI,St. Louis Blues,L,1,5,BRK,New York Knicks,L,83,113
2013-12-07,NYI,Los Angeles Kings,L,0,3,BRK,Milwaukee Bucks,W,90,82
2013-12-10,NYI,San Jose Sharks,W,3,2,BRK,Boston Celtics,W,104,96
2013-12-12,NYI,Phoenix Coyotes,L,3,6,BRK,Los Angeles Clippers,W,102,93
2013-12-20,NYI,New York Rangers,W,5,3,BRK,Philadelphia 76ers,L,120,121
2013-12-23,NYI,Detroit Red Wings,W,3,0,BRK,Indiana Pacers,L,86,103
2013-12-28,NYI,New Jersey Devils,L,1,2,BRK,Indiana Pacers,L,91,105
2013-12-31,NYI,Boston Bruins,W,5,3,BRK,San Antonio Spurs,L,92,113
2014-01-02,NYI,Chicago Blackhawks,W,3,2,BRK,Oklahoma City Thunder,W,95,93
2014-01-04,NYI,Carolina Hurricanes,L,2,3,BRK,Cleveland Cavaliers,W,89,82
2014-01-06,NYI,Dallas Stars,W,7,3,BRK,Atlanta Hawks,W,91,86
2014-01-10,NYI,Colorado Avalanche,W,2,1,BRK,Miami Heat,W,104,95
2014-01-16,NYI,Tampa Bay Lightning,W,2,1,BRK,Atlanta Hawks,W,127,110
2014-01-20,NYI,Philadelphia Flyers,W,4,3,BRK,New York Knicks,W,103,80
2014-01-21,NYI,New York Rangers,W,5,3,BRK,Orlando Magic,W,101,90
2014-01-27,NYI,Boston Bruins,L,3,6,BRK,Toronto Raptors,L,103,104
2014-01-31,NYI,New York Rangers,L,1,4,BRK,Oklahoma City Thunder,L,95,120
2014-02-06,NYI,Calgary Flames,L,2,4,BRK,San Antonio Spurs,W,103,89
2014-02-27,NYI,Toronto Maple Leafs,W,5,4,BRK,Denver Nuggets,W,112,89
2014-03-01,NYI,New Jersey Devils,L,1,6,BRK,Milwaukee Bucks,W,107,98
2014-03-07,NYI,Calgary Flames,L,3,4,BRK,Boston Celtics,L,84,91
2014-03-10,NYI,Vancouver Canucks,W,7,4,BRK,Toronto Raptors,W,101,97
2014-03-15,NYI,Buffalo Sabres,W,4,1,BRK,Washington Wizards,L,94,101
2014-03-23,NYI,Columbus Blue Jackets,W,2,0,BRK,Dallas Mavericks,W,107,104
2014-04-01,NYI,Florida Panthers,W,4,2,BRK,Houston Rockets,W,105,96
2014-04-02,NYI,Ottawa Senators,W,2,1,BRK,New York Knicks,L,81,110
2014-04-05,NYI,Washington Capitals,L,3,4,BRK,Philadelphia 76ers,W,105,101
2014-04-08,NYI,Ottawa Senators,L,1,4,BRK,Miami Heat,W,88,87
2014-04-11,NYI,New Jersey Devils,W,3,2,BRK,Atlanta Hawks,L,88,93
2014-04-13,NYI,Buffalo Sabres,W,4,3,BRK,Orlando Magic,W,97,88
2014-11-01,NYI,San Jose Sharks,L,1,3,BRK,Detroit Pistons,W,102,90
2014-11-05,NYI,Anaheim Ducks,W,3,2,BRK,Minnesota Timberwolves,L,91,98
2014-11-15,NYI,Tampa Bay Lightning,L,2,5,BRK,Portland Trail Blazers,L,87,97
2014-11-21,NYI,Pittsburgh Penguins,W,5,4,BRK,Oklahoma City Thunder,W,94,92
2014-11-22,NYI,Pittsburgh Penguins,W,4,1,BRK,San Antonio Spurs,L,87,99
2014-11-26,NYI,Washington Capitals,W,3,2,BRK,Philadelphia 76ers,W,99,91
2014-12-02,NYI,Ottawa Senators,W,3,2,BRK,New York Knicks,W,98,93
2014-12-13,NYI,Chicago Blackhawks,W,3,2,BRK,Charlotte Hornets,W,114,87
2014-12-19,NYI,Detroit Red Wings,W,2,1,BRK,Cleveland Cavaliers,L,91,95
2014-12-23,NYI,Montreal Canadiens,L,1,3,BRK,Denver Nuggets,W,102,96
2014-12-27,NYI,Buffalo Sabres,L,3,4,BRK,Indiana Pacers,L,85,110
2014-12-29,NYI,Washington Capitals,W,4,3,BRK,Sacramento Kings,W,107,99
2015-01-02,NYI,Calgary Flames,W,2,1,BRK,Orlando Magic,W,100,98
2015-01-04,NYI,Edmonton Oilers,L,2,5,BRK,Miami Heat,L,84,88
2015-01-09,NYI,New Jersey Devils,W,3,2,BRK,Philadelphia 76ers,L,88,90
2015-01-10,NYI,Columbus Blue Jackets,W,5,2,BRK,Detroit Pistons,L,93,98
2015-01-16,NYI,Pittsburgh Penguins,W,6,3,BRK,Washington Wizards,W,102,80
2015-01-17,NYI,Montreal Canadiens,L,4,6,BRK,Washington Wizards,L,90,99
2015-02-07,NYI,Boston Bruins,L,1,2,BRK,Washington Wizards,L,77,114
2015-02-10,NYI,Edmonton Oilers,W,3,2,BRK,Memphis Grizzlies,L,86,95
2015-02-27,NYI,Calgary Flames,W,2,1,BRK,Houston Rockets,L,98,102
2015-02-28,NYI,Carolina Hurricanes,L,3,5,BRK,Dallas Mavericks,W,104,94
2015-03-10,NYI,New York Rangers,L,1,2,BRK,New Orleans Pelicans,L,91,111
2015-03-14,NYI,Montreal Canadiens,L,1,3,BRK,Philadelphia 76ers,W,94,87
2015-03-21,NYI,New Jersey Devils,W,3,0,BRK,Indiana Pacers,W,123,111
2015-03-29,NYI,Detroit Red Wings,W,5,4,BRK,Los Angeles Lakers,W,107,99
2015-04-04,NYI,Buffalo Sabres,W,3,0,BRK,Atlanta Hawks,L,99,131
