Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-28,NYR,Washington Capitals,L,1,4,NYK,Golden State Warriors,L,78,92
2012-01-02,NYR,Philadelphia Flyers,W,3,2,NYK,Toronto Raptors,L,85,90
2012-01-06,NYR,Pittsburgh Penguins,W,3,1,NYK,Washington Wizards,W,99,96
2012-01-12,NYR,Ottawa Senators,L,0,3,NYK,Memphis Grizzlies,L,83,94
2012-01-14,NYR,Toronto Maple Leafs,W,3,0,NYK,Oklahoma City Thunder,L,92,104
2012-01-21,NYR,Boston Bruins,W,3,2,NYK,Denver Nuggets,L,114,119
2012-01-24,NYR,Winnipeg Jets,W,3,0,NYK,Charlotte Bobcats,W,111,78
2012-01-31,NYR,New Jersey Devils,L,3,4,NYK,Detroit Pistons,W,113,86
2012-02-11,NYR,Philadelphia Flyers,W,5,2,NYK,Minnesota Timberwolves,W,100,98
2012-02-14,NYR,Boston Bruins,W,3,0,NYK,Toronto Raptors,W,90,87
2012-02-19,NYR,Columbus Blue Jackets,W,3,2,NYK,Dallas Mavericks,W,104,97
2012-03-04,NYR,Boston Bruins,W,4,3,NYK,Boston Celtics,L,111,115
2012-03-06,NYR,New Jersey Devils,L,1,4,NYK,Dallas Mavericks,L,85,95
2012-03-09,NYR,Chicago Blackhawks,L,3,4,NYK,Milwaukee Bucks,L,114,119
2012-03-11,NYR,New York Islanders,W,4,3,NYK,Philadelphia 76ers,L,94,106
2012-03-17,NYR,Colorado Avalanche,L,1,3,NYK,Indiana Pacers,W,102,88
2012-03-21,NYR,Detroit Red Wings,W,2,1,NYK,Philadelphia 76ers,W,82,79
2012-03-23,NYR,Buffalo Sabres,L,1,4,NYK,Toronto Raptors,L,79,96
2012-03-24,NYR,Toronto Maple Leafs,W,4,3,NYK,Detroit Pistons,W,101,79
2012-03-28,NYR,Winnipeg Jets,W,4,2,NYK,Orlando Magic,W,108,86
2012-03-30,NYR,Montreal Canadiens,W,4,1,NYK,Atlanta Hawks,L,90,100
2012-04-03,NYR,Philadelphia Flyers,W,5,3,NYK,Indiana Pacers,L,104,112
2012-04-05,NYR,Pittsburgh Penguins,L,2,5,NYK,Orlando Magic,W,96,80
2013-01-24,NYR,Philadelphia Flyers,L,1,2,NYK,Boston Celtics,W,89,86
2013-01-26,NYR,Toronto Maple Leafs,W,5,2,NYK,Philadelphia 76ers,L,80,97
2013-02-02,NYR,Tampa Bay Lightning,W,3,2,NYK,Sacramento Kings,W,120,81
