Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2012-01-07,PHI,Ottawa Senators,W,3,2,PHI,Toronto Raptors,W,97,62
2012-01-10,PHI,Carolina Hurricanes,W,2,1,PHI,Sacramento Kings,W,112,85
2012-01-14,PHI,Nashville Predators,L,2,4,PHI,Washington Wizards,W,103,90
2012-01-21,PHI,New Jersey Devils,W,4,1,PHI,Miami Heat,L,92,113
2012-02-04,PHI,New Jersey Devils,L,4,6,PHI,Atlanta Hawks,W,98,87
2012-02-11,PHI,New York Rangers,L,2,5,PHI,Cleveland Cavaliers,W,99,84
2012-02-21,PHI,Winnipeg Jets,W,5,4,PHI,Memphis Grizzlies,L,76,89
2012-02-28,PHI,San Jose Sharks,L,0,1,PHI,Detroit Pistons,W,97,68
2012-03-04,PHI,Washington Capitals,W,1,0,PHI,Chicago Bulls,L,91,96
2012-03-11,PHI,New Jersey Devils,L,1,4,PHI,New York Knicks,W,106,94
2012-03-17,PHI,Boston Bruins,L,2,3,PHI,Chicago Bulls,L,80,89
2012-03-31,PHI,Ottawa Senators,L,3,4,PHI,Atlanta Hawks,W,95,90
2012-04-03,PHI,New York Rangers,L,3,5,PHI,Miami Heat,L,93,99
2012-04-07,PHI,Pittsburgh Penguins,L,2,4,PHI,Orlando Magic,L,82,88
2013-01-22,PHI,New Jersey Devils,L,0,3,PHI,Milwaukee Bucks,L,102,110
2013-01-26,PHI,Florida Panthers,W,7,1,PHI,New York Knicks,W,97,80
2013-02-01,PHI,Washington Capitals,L,2,3,PHI,Sacramento Kings,W,89,80
2013-02-09,PHI,Carolina Hurricanes,W,4,3,PHI,Charlotte Bobcats,W,87,76
2013-02-11,PHI,Toronto Maple Leafs,L,2,5,PHI,Los Angeles Clippers,L,90,107
2013-02-20,PHI,Pittsburgh Penguins,W,6,5,PHI,Minnesota Timberwolves,L,87,94
2013-02-23,PHI,Winnipeg Jets,W,5,3,PHI,Miami Heat,L,90,114
2013-03-02,PHI,Ottawa Senators,W,2,1,PHI,Golden State Warriors,W,104,97
2013-03-05,PHI,New York Rangers,L,2,4,PHI,Boston Celtics,L,101,109
2013-03-10,PHI,Buffalo Sabres,W,3,2,PHI,Orlando Magic,L,91,99
2013-03-13,PHI,New Jersey Devils,L,2,5,PHI,Miami Heat,L,94,98
2013-03-18,PHI,Tampa Bay Lightning,L,2,4,PHI,Portland Trail Blazers,W,101,100
2013-03-24,PHI,Pittsburgh Penguins,L,1,2,PHI,Sacramento Kings,W,117,103
2013-03-30,PHI,Boston Bruins,W,3,1,PHI,Charlotte Bobcats,W,100,92
2013-04-03,PHI,Montreal Canadiens,W,5,3,PHI,Charlotte Bobcats,L,83,88
2013-04-06,PHI,Winnipeg Jets,L,1,4,PHI,Miami Heat,L,87,106
2013-04-09,PHI,New York Islanders,L,1,4,PHI,Brooklyn Nets,L,83,104
2013-04-15,PHI,Montreal Canadiens,W,7,3,PHI,Detroit Pistons,L,101,109
2013-11-01,PHI,Washington Capitals,L,0,7,PHI,Washington Wizards,W,109,102
2013-11-02,PHI,New Jersey Devils,W,1,0,PHI,Chicago Bulls,W,107,104
2013-11-09,PHI,Edmonton Oilers,W,4,2,PHI,Cleveland Cavaliers,L,125,127
2013-11-13,PHI,Pittsburgh Penguins,W,2,1,PHI,Houston Rockets,W,123,117
2013-11-15,PHI,Winnipeg Jets,L,2,3,PHI,Atlanta Hawks,L,103,113
2013-11-23,PHI,New York Islanders,W,5,2,PHI,Indiana Pacers,L,98,106
2013-11-27,PHI,Tampa Bay Lightning,L,2,4,PHI,Orlando Magic,L,94,105
2013-11-29,PHI,Winnipeg Jets,W,2,1,PHI,New Orleans Pelicans,L,105,121
2013-12-07,PHI,Dallas Stars,L,1,5,PHI,Denver Nuggets,L,92,103
2013-12-09,PHI,Ottawa Senators,L,4,5,PHI,Los Angeles Clippers,L,83,94
2013-12-11,PHI,Chicago Blackhawks,L,2,7,PHI,Minnesota Timberwolves,L,99,106
2013-12-21,PHI,Columbus Blue Jackets,L,3,6,PHI,Milwaukee Bucks,L,106,116
2013-12-28,PHI,Edmonton Oilers,W,4,3,PHI,Phoenix Suns,L,101,115
2014-01-02,PHI,Colorado Avalanche,L,1,2,PHI,Sacramento Kings,W,113,104
2014-01-04,PHI,Phoenix Coyotes,W,5,3,PHI,Portland Trail Blazers,W,101,99
2014-01-07,PHI,New Jersey Devils,W,3,2,PHI,Cleveland Cavaliers,L,93,111
2014-01-11,PHI,Tampa Bay Lightning,L,3,6,PHI,New York Knicks,L,92,102
2014-01-18,PHI,New York Islanders,W,6,4,PHI,Chicago Bulls,L,78,103
2014-01-20,PHI,New York Islanders,L,3,4,PHI,Washington Wizards,L,99,107
2014-01-22,PHI,Carolina Hurricanes,L,2,3,PHI,New York Knicks,W,110,106
2014-01-25,PHI,Boston Bruins,L,1,6,PHI,Oklahoma City Thunder,L,91,103
2014-02-01,PHI,Los Angeles Kings,W,2,0,PHI,Detroit Pistons,L,96,113
2014-02-03,PHI,San Jose Sharks,W,5,2,PHI,Brooklyn Nets,L,102,108
2014-03-01,PHI,New York Rangers,W,4,2,PHI,Washington Wizards,L,103,122
2014-03-02,PHI,Washington Capitals,W,5,4,PHI,Orlando Magic,L,81,92
2014-03-08,PHI,Toronto Maple Leafs,L,3,4,PHI,Utah Jazz,L,92,104
2014-03-15,PHI,Pittsburgh Penguins,W,4,0,PHI,Memphis Grizzlies,L,77,103
2014-03-22,PHI,St. Louis Blues,W,4,1,PHI,Chicago Bulls,L,81,91
2014-03-24,PHI,Los Angeles Kings,L,2,3,PHI,San Antonio Spurs,L,91,113
2014-04-05,PHI,Boston Bruins,L,2,5,PHI,Brooklyn Nets,L,101,105
2014-04-12,PHI,Pittsburgh Penguins,W,4,3,PHI,Charlotte Bobcats,L,105,111
2014-11-01,PHI,Florida Panthers,L,1,2,PHI,Miami Heat,L,96,114
2014-11-14,PHI,Columbus Blue Jackets,L,3,4,PHI,Houston Rockets,L,87,88
2014-11-19,PHI,New York Rangers,L,0,2,PHI,Boston Celtics,L,90,101
2014-11-22,PHI,Columbus Blue Jackets,W,4,2,PHI,New York Knicks,L,83,91
2014-11-24,PHI,New York Islanders,L,0,1,PHI,Portland Trail Blazers,L,104,114
