Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2012-01-07,TOR,Detroit Red Wings,W,4,3,TOR,Philadelphia 76ers,L,62,97
2012-01-10,TOR,Buffalo Sabres,W,2,0,TOR,Washington Wizards,L,78,93
2012-01-13,TOR,Buffalo Sabres,L,2,3,TOR,Indiana Pacers,L,90,95
2012-01-14,TOR,New York Rangers,L,0,3,TOR,Chicago Bulls,L,64,77
2012-01-24,TOR,New York Islanders,W,4,3,TOR,Phoenix Suns,W,99,96
2012-01-31,TOR,Pittsburgh Penguins,L,4,5,TOR,Atlanta Hawks,L,77,100
2012-02-01,TOR,Pittsburgh Penguins,W,1,0,TOR,Boston Celtics,L,64,100
2012-02-06,TOR,Edmonton Oilers,W,6,3,TOR,Washington Wizards,L,108,111
2012-02-14,TOR,Calgary Flames,L,1,5,TOR,New York Knicks,L,87,90
2012-02-15,TOR,Edmonton Oilers,W,4,3,TOR,San Antonio Spurs,L,106,113
2012-02-28,TOR,Florida Panthers,L,3,5,TOR,Houston Rockets,L,85,88
2012-02-29,TOR,Chicago Blackhawks,L,4,5,TOR,New Orleans Hornets,W,95,84
2012-03-07,TOR,Pittsburgh Penguins,L,2,3,TOR,Houston Rockets,W,116,98
2012-03-10,TOR,Philadelphia Flyers,L,0,1,TOR,Detroit Pistons,L,86,105
2012-03-11,TOR,Washington Capitals,L,0,2,TOR,Milwaukee Bucks,L,99,105
2012-03-13,TOR,Florida Panthers,L,2,5,TOR,Cleveland Cavaliers,W,96,88
2012-03-17,TOR,Ottawa Senators,W,3,1,TOR,Charlotte Bobcats,L,103,107
2012-03-20,TOR,New York Islanders,L,2,5,TOR,New York Knicks,L,87,106
2012-03-23,TOR,New Jersey Devils,W,4,3,TOR,New York Knicks,W,96,79
2012-03-24,TOR,New York Rangers,L,3,4,TOR,Chicago Bulls,L,101,102
2012-04-03,TOR,Buffalo Sabres,L,5,6,TOR,Charlotte Bobcats,W,92,87
2013-01-23,TOR,Pittsburgh Penguins,W,5,2,TOR,Miami Heat,L,116,123
2013-01-24,TOR,New York Islanders,L,4,7,TOR,Orlando Magic,W,97,95
2013-01-26,TOR,New York Rangers,L,2,5,TOR,Cleveland Cavaliers,L,98,99
2013-02-19,TOR,Tampa Bay Lightning,L,2,4,TOR,Washington Wizards,W,96,88
2013-02-25,TOR,Philadelphia Flyers,W,4,2,TOR,Washington Wizards,L,84,90
2013-02-27,TOR,Montreal Canadiens,L,2,5,TOR,Cleveland Cavaliers,L,92,103
2013-03-04,TOR,New Jersey Devils,W,4,2,TOR,Golden State Warriors,L,118,125
2013-03-06,TOR,Ottawa Senators,W,5,4,TOR,Phoenix Suns,W,98,71
2013-03-20,TOR,Tampa Bay Lightning,W,4,2,TOR,Charlotte Bobcats,L,101,107
2013-03-23,TOR,Boston Bruins,W,3,2,TOR,New York Knicks,L,84,110
2013-04-06,TOR,New Jersey Devils,W,2,1,TOR,Milwaukee Bucks,L,83,100
2013-04-16,TOR,Washington Capitals,L,1,5,TOR,Atlanta Hawks,W,113,96
2013-10-30,TOR,Calgary Flames,W,4,2,TOR,Boston Celtics,W,93,87
2013-11-02,TOR,Vancouver Canucks,L,0,4,TOR,Milwaukee Bucks,W,97,90
2013-11-08,TOR,New Jersey Devils,W,2,1,TOR,Indiana Pacers,L,84,91
2013-11-09,TOR,Boston Bruins,L,1,3,TOR,Utah Jazz,W,115,91
2013-11-13,TOR,Minnesota Wild,L,1,2,TOR,Memphis Grizzlies,W,103,87
2013-11-15,TOR,Buffalo Sabres,L,1,3,TOR,Chicago Bulls,L,80,96
