Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2011-12-26,WSH,Buffalo Sabres,L,2,4,WAS,New Jersey Nets,L,84,90
2011-12-28,WSH,New York Rangers,W,4,1,WAS,Atlanta Hawks,L,83,101
2011-12-30,WSH,Buffalo Sabres,W,3,1,WAS,Milwaukee Bucks,L,81,102
2012-01-11,WSH,Pittsburgh Penguins,W,1,0,WAS,Chicago Bulls,L,64,78
2012-01-13,WSH,Tampa Bay Lightning,W,4,3,WAS,Philadelphia 76ers,L,89,120
2012-01-18,WSH,Montreal Canadiens,W,3,0,WAS,Oklahoma City Thunder,W,105,102
2012-01-20,WSH,Carolina Hurricanes,L,0,3,WAS,Denver Nuggets,L,104,108
2012-01-22,WSH,Pittsburgh Penguins,L,3,4,WAS,Boston Celtics,L,94,100
2012-02-01,WSH,Florida Panthers,L,2,4,WAS,Orlando Magic,L,103,109
2012-02-04,WSH,Montreal Canadiens,W,3,0,WAS,Los Angeles Clippers,L,81,107
2012-02-12,WSH,New York Rangers,L,2,3,WAS,Detroit Pistons,W,98,77
2012-02-17,WSH,Florida Panthers,W,2,1,WAS,Utah Jazz,L,100,114
2012-02-20,WSH,Carolina Hurricanes,L,0,5,WAS,Phoenix Suns,L,88,104
2012-02-22,WSH,Ottawa Senators,L,2,5,WAS,Sacramento Kings,L,107,115
2012-02-28,WSH,New York Islanders,W,3,2,WAS,Milwaukee Bucks,L,118,119
2012-03-10,WSH,Boston Bruins,W,4,3,WAS,Portland Trail Blazers,L,99,110
2012-03-13,WSH,New York Islanders,W,5,4,WAS,Dallas Mavericks,L,98,107
2012-03-16,WSH,Winnipeg Jets,L,2,3,WAS,Atlanta Hawks,L,88,102
2012-03-18,WSH,Chicago Blackhawks,L,2,5,WAS,Memphis Grizzlies,L,92,97
2012-03-22,WSH,Philadelphia Flyers,L,1,2,WAS,Indiana Pacers,L,83,85
2012-03-25,WSH,Minnesota Wild,W,3,0,WAS,Boston Celtics,L,76,88
2012-03-29,WSH,Boston Bruins,W,3,2,WAS,Indiana Pacers,L,89,93
2012-04-02,WSH,Tampa Bay Lightning,L,2,4,WAS,Milwaukee Bucks,L,98,112
2012-04-05,WSH,Florida Panthers,W,4,2,WAS,Detroit Pistons,L,94,99
2013-01-19,WSH,Tampa Bay Lightning,L,3,6,WAS,Los Angeles Clippers,L,87,94
2013-01-25,WSH,New Jersey Devils,L,2,3,WAS,Minnesota Timberwolves,W,114,101
