Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-11-01,ARI,Carolina Hurricanes,L,0.0,3.0,PHO,Utah Jazz,L,91.0,118.0
2014-11-04,ARI,Toronto Maple Leafs,W,3.0,2.0,PHO,Los Angeles Lakers,W,112.0,106.0
2014-11-07,ARI,Anaheim Ducks,W,3.0,2.0,PHO,Sacramento Kings,L,112.0,114.0
2014-11-14,ARI,Vancouver Canucks,W,5.0,0.0,PHO,Charlotte Hornets,L,95.0,103.0
2014-11-22,ARI,San Jose Sharks,W,4.0,3.0,PHO,Indiana Pacers,W,106.0,83.0
2014-12-02,ARI,Calgary Flames,L,2.0,5.0,PHO,Indiana Pacers,W,116.0,99.0
2014-12-06,ARI,Boston Bruins,L,2.0,5.0,PHO,Houston Rockets,L,95.0,100.0
2014-12-20,ARI,Los Angeles Kings,L,2.0,4.0,PHO,New York Knicks,W,99.0,90.0
2014-12-23,ARI,Edmonton Oilers,W,5.0,1.0,PHO,Dallas Mavericks,W,124.0,115.0
2014-12-31,ARI,Dallas Stars,L,0.0,6.0,PHO,Oklahoma City Thunder,L,134.0,137.0
2015-01-06,ARI,St. Louis Blues,L,0.0,6.0,PHO,Milwaukee Bucks,W,102.0,96.0
2015-01-13,ARI,San Jose Sharks,L,2.0,3.0,PHO,Cleveland Cavaliers,W,107.0,100.0
2015-01-31,ARI,Ottawa Senators,L,2.0,7.0,PHO,Golden State Warriors,L,87.0,106.0
2015-02-05,ARI,Carolina Hurricanes,L,1.0,2.0,PHO,Portland Trail Blazers,L,87.0,108.0
2015-02-10,ARI,St. Louis Blues,L,1.0,2.0,PHO,Houston Rockets,L,118.0,127.0
2015-02-21,ARI,Tampa Bay Lightning,L,2.0,4.0,PHO,Chicago Bulls,L,107.0,112.0
2015-02-23,ARI,New Jersey Devils,L,0.0,3.0,PHO,Boston Celtics,L,110.0,115.0
2015-02-26,ARI,New York Rangers,L,3.0,4.0,PHO,Oklahoma City Thunder,W,117.0,113.0
2015-02-28,ARI,Boston Bruins,L,1.0,4.0,PHO,San Antonio Spurs,L,74.0,101.0
2015-03-07,ARI,Montreal Canadiens,L,0.0,2.0,PHO,Cleveland Cavaliers,L,79.0,89.0
2015-03-09,ARI,Nashville Predators,L,1.0,2.0,PHO,Golden State Warriors,L,80.0,98.0
2015-03-19,ARI,Colorado Avalanche,L,2.0,5.0,PHO,New Orleans Pelicans,W,74.0,72.0
